"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"64308200001003","Nodes","Gate 'O' Fleet RRI",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",259491.836766,556013.553506,,999998.967025,,,,,,,,17.276290,19.319998,,"",,,,,,,
"64308200000047","Nodes","47",21.000000,69.817656,"DDS demands","Known Flow",259471.911599,556031.802724,,0.000000,,,,,-11.029999,,,-9.863223,-11.029999,,"",,,,,"D1 PROFILE",,
"64308200000079","Nodes","Ramsey Wood RRI",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",258990.069371,556983.695787,,999998.967025,,,,,,,,23.982925,26.820001,,"",,,,,,,
"64308200000081","Nodes","81",21.000000,69.398773,"DDS demands","Known Flow",258986.381089,556959.206439,,0.000000,,,,,-5.280000,-15.540000,,-18.617616,-20.820000,,"",,,,,"","",
"64308200001005","Nodes","1005",21.000000,69.558768,"Default Known Flow Node","Known Flow",258937.461615,556677.928687,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308200000084","Nodes","84",21.000000,69.486653,"DDS demands","Known Flow",259301.586714,556148.428543,,0.000000,,,,,-4.349999,,,-3.889847,-4.349999,,"",,,,,"D1 PROFILE",,
"64308200000048","Nodes","48",21.000000,69.607968,"Default Known Flow Node","Known Flow",259144.336671,556271.303576,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308200000085","Nodes","85",21.000000,69.442212,"DDS demands","Known Flow",259301.211714,556078.803524,,0.000000,,,,,-3.940000,,,-3.523218,-3.940000,,"",,,,,"D1 PROFILE",,
"64308200000017","Nodes","17",21.000000,46.567578,"DDS demands","Known Flow",259464.461758,556358.428600,,0.000000,,,,,-7.629999,,,-6.822882,-7.629999,,"",,,,,"D1 PROFILE",,
"64308200000035","Nodes","35",21.000000,45.298868,"DDS demands","Known Flow",259934.086886,556414.053615,,0.000000,,,,,-4.269999,,,-3.818310,-4.269999,,"",,,,,"D1 PROFILE",,
"64308200000002","Nodes","2",21.000000,49.146382,"DDS demands","Known Flow",259776.211843,556189.428554,,0.000000,,,-0.129999,,-9.600000,,,-8.700740,-9.730000,,"",,,"C3  PROFILE",,"D1 PROFILE",,
"64308200000001","Nodes","1",21.000000,49.856290,"DDS demands","Known Flow",259589.086792,556091.303527,,0.000000,,,,-20.670000,-17.679999,,,-34.293256,-38.349999,,"",,,,"","D1 PROFILE",,
"64308200000003","Nodes","3",21.000000,48.873899,"DDS demands","Known Flow",259828.961858,556093.678528,,0.000000,,,,,-6.540000,,,-5.848185,-6.540000,,"",,,,,"D1 PROFILE",,
"64308200000004","Nodes","4",21.000000,48.873899,"Default Known Flow Node","Known Flow",259802.961850,556079.178524,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308200000007","Nodes","7",21.000000,48.116230,"Default Known Flow Node","Known Flow",259668.836814,556361.428601,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308200000082","Nodes","82",21.000000,47.354754,"DDS demands","Known Flow",259629.961803,556412.178614,,0.000000,,,,,-1.220000,,,-1.090945,-1.220000,,"",,,,,"D1 PROFILE",,
"64308200000083","Nodes","83",21.000000,46.758382,"DDS demands","Known Flow",259563.711785,556428.928619,,0.000000,,,,,-7.900000,,,-7.064321,-7.900000,,"",,,,,"D1 PROFILE",,
"64308200000008","Nodes","8",21.000000,47.605395,"DDS demands","Known Flow",259783.711845,556399.053611,,0.000000,,,,,-8.090000,,,-7.234223,-8.090000,,"",,,,,"D1 PROFILE",,
"64308200000011","Nodes","11",21.000000,47.378085,"DDS demands","Known Flow",259703.086823,556404.553612,,0.000000,,,,,-16.249999,,,-14.531040,-16.249999,,"",,,,,"D1 PROFILE",,
"64308200000005","Nodes","5",21.000000,48.860921,"DDS demands","Known Flow",259734.461832,556267.053575,,0.000000,,,,,-9.260000,,,-8.280457,-9.260000,,"",,,,,"D1 PROFILE",,
"64308200000016","Nodes","16",21.000000,47.533547,"DDS demands","Known Flow",259760.086839,556449.803625,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308200000036","Nodes","36",21.000000,45.298785,"DDS demands","Known Flow",259953.586891,556390.553609,,0.000000,,,,,-0.199999,,,-0.178843,-0.199999,,"",,,,,"D1 PROFILE",,
"64308200000044","Nodes","44",21.000000,45.405318,"DDS demands","Known Flow",259996.417678,556464.858209,,0.000000,,,,,-1.720000,,,-1.538054,-1.720000,,"",,,,,"D1 PROFILE",,
"64308200000006","Nodes","6",21.000000,48.519632,"DDS demands","Known Flow",259646.586808,556238.803567,,0.000000,,,,,-3.800000,,-4.153998,-7.112608,-7.953998,,"",,,,,"D1 PROFILE",,"PL-AF PROFILE"
"64308200000051","Nodes","51",21.000000,47.987061,"DDS demands","Known Flow",259634.961805,556340.678595,,0.000000,,-27.930000,,,,,,-24.975505,-27.930000,,"",,"C2 PROFILE",,,,,
"64308200000015","Nodes","15",21.000000,44.293069,"DDS demands","Known Flow",259645.336808,556682.178688,,0.000000,,,,,-10.239999,,,-9.156791,-10.239999,,"",,,,,"D1 PROFILE",,
"64308200000014","Nodes","14",21.000000,44.612816,"DDS demands","Known Flow",259641.586807,556643.928677,,0.000000,,,,,-10.229999,,,-9.147848,-10.229999,,"",,,,,"D1 PROFILE",,
"64308200000022","Nodes","22",21.000000,48.214207,"DDS demands","Known Flow",259964.586894,556566.928657,,0.000000,,,,,-2.570000,,,-2.298140,-2.570000,,"",,,,,"D1 PROFILE",,
"64308200000021","Nodes","21",21.000000,48.359448,"DDS demands","Known Flow",259997.461903,556595.678664,,0.000000,,,,,-5.059999,,,-4.524742,-5.059999,,"",,,,,"D1 PROFILE",,
"64308200000012","Nodes","12",21.000000,46.384984,"DDS demands","Known Flow",259623.843949,556528.682580,,0.000000,,,,-6.000000,-13.139999,,,-17.115329,-19.140001,,"",,,,"","D1 PROFILE",,
"64308200000013","Nodes","13",21.000000,46.381339,"DDS demands","Known Flow",259581.461790,556511.428641,,0.000000,,,,,-1.080000,,,-0.965755,-1.080000,,"",,,,,"D1 PROFILE",,
"64308200000009","Nodes","9",21.000000,47.213175,"DDS demands","Known Flow",259721.086828,556517.553643,,0.000000,,,,,-9.350000,,,-8.360937,-9.350000,,"",,,,,"D1 PROFILE",,
"64308200000010","Nodes","10",21.000000,46.986744,"DDS demands","Known Flow",259738.174833,556590.357663,,0.000000,,,,,-6.030000,,,-5.392134,-6.030000,,"",,,,,"",,
"64308200000034","Nodes","34",21.000000,43.037908,"DDS demands","Known Flow",259885.211873,556251.678571,,0.000000,,,,,-9.880000,,,-8.834873,-9.880000,,"",,,,,"D1 PROFILE",,
"64308200000032","Nodes","32",21.000000,44.003515,"DDS demands","Known Flow",260001.461904,556331.178592,,0.000000,,,,-1.620000,-20.520001,,,-19.797986,-22.140001,,"",,,,"C4 PROFILE","D1 PROFILE",,
"64308200000045","Nodes","45",21.000000,45.099133,"DDS demands","Known Flow",260018.211909,556435.178621,,0.000000,-3.160000,,,,-3.430000,,,-5.892896,-6.590000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"64308200000050","Nodes","50",21.000000,48.814409,"DDS demands","Known Flow",260425.712020,556188.678554,,0.000000,,,,,-11.270000,,,-10.077835,-11.270000,,"",,,,,"",,
"64308200000028","Nodes","28",21.000000,45.687113,"DDS demands","Known Flow",260144.836943,556454.053626,,0.000000,-7.880000,,-4.750000,-9.379999,-14.609999,,,-32.746258,-36.620000,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,
"64308200000038","Nodes","38",21.000000,45.301888,"DDS demands","Known Flow",260095.836930,556412.928615,,0.000000,,,,,-4.179999,,,-3.737830,-4.179999,,"",,,,,"D1 PROFILE",,
"64308200000030","Nodes","30",21.000000,44.609080,"DDS demands","Known Flow",260058.836920,556381.803606,,0.000000,-0.820000,,,,-13.560000,,,-12.858853,-14.380000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"64308200000031","Nodes","31",21.000000,44.559334,"DDS demands","Known Flow",260032.836913,556413.303615,,0.000000,,,,,-4.249999,,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",,
