"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64405100000068","Nodes","68",21.000000,49.449169,"DDS demands","Known Flow",283512.494046,687260.038255,,0.000000,,,,,-12.359999,,,,,,,,-11.052533,-12.359999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000057","Nodes","57",21.000000,44.169464,"DDS demands","Known Flow",283524.090925,687123.774356,,0.000000,,,,,-11.669999,,,,,,,,-10.435522,-11.669999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000071","Nodes","71",21.000000,58.162494,"DDS demands","Known Flow",283706.875000,687297.750000,,0.000000,,,,,-14.850000,,,,,,,,-13.279136,-14.850000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000079","Nodes","79",21.000000,58.075029,"DDS demands","Known Flow",283666.625000,687312.000000,,0.000000,,,,,-6.659999,,,,,,,,-5.955491,-6.659999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000075","Nodes","75",21.000000,56.743590,"DDS demands","Known Flow",283775.713215,687257.200293,,0.000000,,,,,-5.249999,,,,,,,,-4.694643,-5.249999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000076","Nodes","76",21.000000,56.623187,"DDS demands","Known Flow",283780.250000,687317.000000,,0.000000,,,,,-3.849999,,,,,,,,-3.442738,-3.849999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002062","Nodes","2062",21.000000,56.194174,"Default Known Flow Node","Known Flow",283837.407051,687239.426132,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000058","Nodes","58",21.000000,42.801380,"DDS demands","Known Flow",283541.712920,687093.527649,,0.000000,,,,,-10.220000,,,,,,,,-9.138907,-10.220000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000117","Nodes","117",21.000000,38.510527,"DDS demands","Known Flow",283569.236256,687189.399990,,0.000000,,,,,-17.139999,,,,,,,,-15.326894,-17.139999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002019","Nodes","2019",21.000000,42.286374,"Default Known Flow Node","Known Flow",283584.049316,687076.226978,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
