"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64301100000038","Nodes","38",21.000000,27.315045,"DDS demands","Known Flow",333035.535778,667189.280758,,0.000000,-24.999999,,-4.300000,,,,-3.370000,,,,,,-29.214098,-32.669998,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,
"64301100010738","Nodes","10738",21.000000,27.240918,"Default Known Flow Node","Known Flow",333023.994775,667201.595761,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010433","Nodes","10433",21.000000,27.957665,"Default Known Flow Node","Known Flow",333666.431654,667456.667292,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010412","Nodes","10412",21.000000,33.657629,"DDS demands","Known Flow",332485.323628,666373.548536,,0.000000,,,,,,,-2.259999,,,,,,-2.020932,-2.259999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010583","Nodes","10583",21.000000,26.940519,"Default Known Flow Node","Known Flow",333010.696443,667233.137909,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010511","Nodes","10511",21.000000,34.320944,"Default Known Flow Node","Known Flow",332490.147629,666505.749572,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010427","Nodes","10427",21.000000,34.320944,"Default Known Flow Node","Known Flow",332497.572883,666506.372426,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010721","Nodes","10721",21.000000,30.369576,"Default Known Flow Node","Known Flow",333347.356863,667094.708732,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010764","Nodes","10764",21.000000,23.344968,"DDS demands","Known Flow",332691.230616,665530.031554,,0.000000,,,,,,,-1.879999,,,,,,-1.681129,-1.879999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010452","Nodes","10452",21.000000,24.691557,"Default Known Flow Node","Known Flow",332931.247815,665782.107060,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
