"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64305100006084","Nodes","6084",21.000000,21.278536,"Default Known Flow Node","Known Flow",296533.185845,662032.053354,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000150","Nodes","150",21.000000,21.278536,"DDS demands","Known Flow",296582.895859,662050.446359,,0.000000,,,,-4.800000,,,,,,,-4.292246,-4.800000,,"",,,,"D1 PROFILE",,,,,,
"64305100000066","Nodes","66",21.000000,47.011784,"DDS demands","Known Flow",298365.409344,663028.899626,,0.000000,,,,-13.009999,,,,,,,-11.633774,-13.009999,,"",,,,"D1 PROFILE",,,,,,
"64305100001010","Nodes","1010",21.000000,48.094095,"Default Known Flow Node","Known Flow",298418.112580,663057.098965,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100006088","Nodes","6088",21.000000,48.308694,"Default Known Flow Node","Known Flow",298430.198872,663063.565843,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100006132","Nodes","6132",21.000000,44.429540,"Default Known Flow Node","Known Flow",298199.240298,662940.533602,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000226","Nodes","226",21.000000,44.246828,"Default Known Flow Node","Known Flow",298186.011880,662933.730502,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100001009","Nodes","Logger 10064, 8 Main Street",21.000000,44.155438,"Val Log Cath","Known Flow",298179.396067,662930.328127,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000069","Nodes","69",21.000000,43.184440,"DDS demands","Known Flow",298103.246162,662890.131865,,0.000000,,,,-6.880000,,,,,,,-6.152219,-6.880000,,"",,,,"D1 PROFILE",,,,,,
"64305100000211","Nodes","211",21.000000,35.540707,"DDS demands","Known Flow",297781.838185,662619.103514,,0.000000,-3.020000,,,-7.099999,,0.000000,,,,,-9.049484,-10.119999,,"","C1 PROFILE",,,"D1 PROFILE",,"DH PROFILE",,,,
"64305100001000","Nodes","Logger 10035, 44a Main Street",21.000000,35.838788,"Val Log Cath","Known Flow",297831.251614,662656.776416,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100006007","Nodes","6007",21.000000,36.235253,"Default Known Flow Node","Known Flow",297890.631214,662710.554539,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000130","Nodes","130",21.000000,22.656021,"DDS demands","Known Flow",297148.310012,662435.162464,,0.000000,,,-2.939999,-5.280000,,,,,,,-7.350471,-8.220000,,"",,,"C4 PROFILE","D1 PROFILE",,,,,,
"64305100001002","Nodes","1002",21.000000,22.809989,"Default Known Flow Node","Known Flow",297153.577592,662428.083699,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000131","Nodes","131",21.000000,23.089171,"DDS demands","Known Flow",297163.131016,662415.245459,,0.000000,,,,-16.280000,,,,,,,-14.557867,-16.280000,,"",,,,"D1 PROFILE",,,,,,
"64305100006138","Nodes","6138",21.000000,28.655038,"Default Known Flow Node","Known Flow",297234.209036,662254.110415,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100001007","Nodes","Logger 10047, 45 Burnlea Drive",21.000000,28.652996,"Val Log Cath","Known Flow",297225.480293,662249.501890,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000021","Nodes","21",21.000000,21.390064,"DDS demands","Known Flow",296677.018884,662090.391370,,0.000000,,,,-2.679999,,,,,,,-2.396503,-2.679999,,"",,,,"D1 PROFILE",,,,,,
"64305100001005","Nodes","Logger 10071, 4 Cannop Crescent",21.000000,21.413066,"Val Log Cath","Known Flow",296722.936637,662094.555598,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000148","Nodes","148",21.000000,21.436141,"DDS demands","Known Flow",296765.337632,662126.206693,,0.000000,,,,-1.929999,,,,,,,-1.725840,-1.929999,,"",,,,"D1 PROFILE",,,,,,
"64305100001001","Nodes","1001",21.000000,58.843626,"Default Known Flow Node","Known Flow",298419.336490,662077.132368,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100001011","Nodes","Logger 10068, 51 Mooreland Gardens",21.000000,58.689147,"Val Log Cath","Known Flow",298412.010059,662072.133223,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000166","Nodes","166",21.000000,58.024070,"DDS demands","Known Flow",298365.522344,662040.586357,,0.000000,,,,-35.950001,,,,,,,-32.147135,-35.950001,,"",,,,"D1 PROFILE",,,,,,
"64305100000165","Nodes","165",21.000000,60.467821,"DDS demands","Known Flow",298536.771396,662174.604661,,0.000000,,,,-19.190000,,,,,,,-17.160042,-19.190000,,"",,,,"D1 PROFILE",,,,,,
"64305100000194","Nodes","194",21.000000,49.827995,"DDS demands","Known Flow",299338.509177,662686.305317,,0.000000,,,,-9.159999,,,,,,,-8.191036,-9.159999,,"",,,,"D1 PROFILE",,,,,,
"64305100001006","Nodes","1006",21.000000,49.827995,"Default Known Flow Node","Known Flow",299341.897609,662691.400534,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100001003","Nodes","STATION COURT RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",299351.816612,662674.236529,,999998.967025,,,,,,,,,,,8.191036,9.159999,,"",,,,,,,,,,
"64305100001004","Nodes","1004",21.000000,49.919845,"Default Known Flow Node","Known Flow",299318.076874,662667.386281,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305100000151","Nodes","151",21.000000,20.993749,"DDS demands","Known Flow",296989.542969,662081.724368,,0.000000,,,,-3.170000,,,,,,,-2.834670,-3.170000,,"",,,,"D1 PROFILE",,,,,,
"64305100000147","Nodes","147",21.000000,21.450815,"DDS demands","Known Flow",296770.262910,662140.111384,,0.000000,,,,-19.110000,,,,,,,-17.088505,-19.110000,,"",,,,"D1 PROFILE",,,,,,
"64305100000149","Nodes","149",21.000000,21.415396,"DDS demands","Known Flow",296739.665901,662199.033400,,0.000000,,,,-2.730000,,,,,,,-2.441214,-2.730000,,"",,,,"D1 PROFILE",,,,,,
