"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000225","Nodes","P14134210, LANGTON ROAD CSEP, 129.23 SCMH",24.000000,33.212911,"CSEP Unmatched","Known Flow",308729.011146,667200.096076,,0.000000,,,,,,,,-32.400002,-28.972661,-32.400002,,"",,,,,,,,"DC PROFILE"
"64306400000226","Nodes","226",21.000000,26.721599,"DDS demands","Known Flow",306658.224600,667045.708719,,0.000000,,,,,-10.060000,,,,-8.995832,-10.060000,,"",,,,,"D1 PROFILE",,,
"64306400000227","Nodes","227",21.000000,26.461314,"DDS demands","Known Flow",306632.599593,667085.583730,,0.000000,,,,,-3.260000,,,,-2.915150,-3.260000,,"",,,,,"D1 PROFILE",,,
"64306400000228","Nodes","228",21.000000,25.860974,"DDS demands","Known Flow",306689.724609,667056.208722,,0.000000,,,,,-9.029999,,,,-8.074787,-9.029999,,"",,,,,"D1 PROFILE",,,
"64306400000229","Nodes","229",21.000000,25.357133,"DDS demands","Known Flow",306700.474612,667017.208711,,0.000000,,,,,-8.539999,,,,-7.636620,-8.539999,,"",,,,,"D1 PROFILE",,,
"64306400000231","Nodes","231",21.000000,25.054385,"DDS demands","Known Flow",306751.974626,667029.833714,,0.000000,,,,,-5.349999,,,,-4.784065,-5.349999,,"",,,,,"D1 PROFILE",,,
"64306400001158","Nodes","-404",21.000000,25.341714,"Default Known Flow Node","Known Flow",306694.224610,667012.208710,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000232","Nodes","232",21.000000,24.862163,"DDS demands","Known Flow",306723.349618,667082.958729,,0.000000,,,,,-7.829999,,,,-7.001726,-7.829999,,"",,,,,"D1 PROFILE",,,
"64306400000233","Nodes","233",21.000000,24.815312,"DDS demands","Known Flow",306714.224615,667106.958735,,0.000000,,,,,-3.849999,,,,-3.442738,-3.849999,,"",,,,,"D1 PROFILE",,,
"64306400000234","Nodes","234",21.000000,24.397382,"DDS demands","Known Flow",306751.849626,667100.208734,,0.000000,,,,,-5.559999,,,,-4.971851,-5.559999,,"",,,,,"D1 PROFILE",,,
"64306400001162","Nodes","-422",21.000000,24.395644,"Default Known Flow Node","Known Flow",306758.349627,667093.833732,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001064","Nodes","-1462561",21.000000,25.054385,"Default Known Flow Node","Known Flow",306750.724625,667030.083714,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
