"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64403700001170","Nodes","1170",21.000000,26.741615,"Atypical Load","Known Flow",301893.827304,681383.123620,,0.000000,,,,,,,,,,-437.070016,,-390.835848,-437.070016,,"",,,,,,,,,,"I2 PROFILE",
"64403700001133","Nodes","1133",21.000000,39.008338,"DDS demands","Known Flow",300043.131526,680684.430639,,0.000000,,,,,,-19.350001,,,,,,-17.303117,-19.350001,,"",,,,,,"D1 PROFILE",,,,,
"64403700000983","Nodes","983",21.000000,40.930154,"DDS demands","Known Flow",299857.288848,680506.474459,,0.000000,,,,,,-9.340000,,,,,,-8.351995,-9.340000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000976","Nodes","976",21.000000,49.889722,"DDS demands","Known Flow",299945.251757,680405.407836,,0.000000,,,,,,-1.320000,,,,,,-1.180367,-1.320000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000977","Nodes","977",21.000000,42.908386,"DDS demands","Known Flow",299879.303756,680397.248352,,0.000000,,,,,,-4.070000,,,,,,-3.639466,-4.070000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000619","Nodes","619",21.000000,30.359754,"Default Known Flow Node","Known Flow",301520.742441,681507.216883,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64403700000363","Nodes","363",21.000000,27.166216,"DDS demands","Known Flow",299379.757776,681299.094867,,0.000000,-23.190000,,,,,,,,,,,-20.736913,-23.190000,,"","C1 PROFILE",,,,,,,,,,
"64403700001012","Nodes","1012",21.000000,27.107909,"Default Known Flow Node","Known Flow",299389.984056,681298.908833,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64403700000649","Nodes","649",21.000000,45.424827,"DDS demands","Known Flow",300773.709797,681101.816313,,0.000000,,,,,,-8.649999,,,,,,-7.734984,-8.649999,,"",,,,,,"D1 PROFILE",,,,,
"64403700000257","Nodes","257",21.000000,44.579298,"DDS demands","Known Flow",300807.541941,681100.859914,,0.000000,,,,,,-2.460000,,,,,,-2.199776,-2.460000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000260","Nodes","260",21.000000,44.068015,"DDS demands","Known Flow",300831.647015,681100.222543,,0.000000,,,,,,-4.550000,,,,,,-4.068691,-4.550000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000648","Nodes","648",21.000000,46.795763,"Default Known Flow Node","Known Flow",300748.725992,681075.127536,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64403700000255","Nodes","255",21.000000,47.322182,"DDS demands","Known Flow",300733.895988,681025.813523,,0.000000,,,,,,-2.589999,,,,,,-2.316024,-2.589999,,"",,,,,,"D1 PROFILE",,,,,
"64403700000650","Nodes","650",21.000000,47.064707,"DDS demands","Known Flow",300727.824261,681000.178970,,0.000000,,,,,,-3.729999,,,,,,-3.335432,-3.729999,,"",,,,,,"D1 PROFILE",,,,,
"64403710000907","Nodes","10000907",21.000000,27.395439,"Default Known Flow Node","Known Flow",300027.547077,681762.803253,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64403700001714","Nodes","1714",21.000000,35.631307,"Default Known Flow Node","Known Flow",299522.655658,680493.395378,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64403700000520","Nodes","520",21.000000,27.992257,"DDS demands","Known Flow",298812.049964,679969.665656,,0.000000,,,,,,-13.930000,,,,,,-12.456455,-13.930000,,"",,,,,,"D1 PROFILE",,,,,
"64403700000118","Nodes","118",21.000000,32.902973,"Default Known Flow Node","Known Flow",297548.879830,680482.220055,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
