"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64404500001005","Nodes","1005,",21.000000,36.671437,"Default Known Flow Node","Known Flow",272445.070697,668500.096003,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001007","Nodes","1007,",21.000000,36.831292,"Default Known Flow Node","Known Flow",272459.424352,668485.315913,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007440","Nodes","7440,",21.000000,31.780994,"Default Known Flow Node","Known Flow",271894.158464,668519.858009,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001003","Nodes","1003,",21.000000,34.872787,"Default Known Flow Node","Known Flow",272177.245126,668591.275919,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007445","Nodes","Logger 9361, Main Street",21.000000,35.140412,"Val Log Post","Known Flow",272221.842305,668568.719231,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001704","Nodes","1704,",21.000000,39.657523,"DDS demands","Known Flow",272659.865882,668184.689059,,0.000000,,,,-9.639999,,,,,-8.620260,-9.639999,,"",,,,"D1 PROFILE",,,,
"64404500001004","Nodes","1004,",21.000000,41.158631,"Default Known Flow Node","Known Flow",272685.793248,668200.556755,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001705","Nodes","1705,",21.000000,43.291930,"DDS demands","Known Flow",272723.966552,668223.585822,,0.000000,,,,-5.500000,,,,,-4.918198,-5.500000,,"",,,,"D1 PROFILE",,,,
"64404500001721","Nodes","1721,",21.000000,22.496372,"DDS demands","Known Flow",271412.242187,668716.147226,,0.000000,,,,-6.260000,,,,,-5.597804,-6.260000,,"",,,,"D1 PROFILE",,,,
"64404500001023","Nodes","1023,",21.000000,25.117874,"DDS demands","Known Flow",271586.636057,668669.396161,,0.000000,,,,-7.610000,,,,,-6.804998,-7.610000,,"",,,,"D1 PROFILE",,,,
"64404500001002","Nodes","Logger 9003, Marnoch Drive",21.000000,24.750261,"Val Log Post","Known Flow",271650.837320,668705.926011,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001733","Nodes","1733,",21.000000,23.755272,"Default Known Flow Node","Known Flow",271737.112161,668844.929312,,0.000000,,,,0.000000,,,,,0.000000,0.000000,,"",,,,"D1 PROFILE",,,,
"64404500003059","Nodes","3059,",21.000000,35.992816,"DDS demands","Known Flow",273111.925550,669483.353947,,0.000000,,,,-8.229999,,,,,-7.359412,-8.229999,,"",,,,"D1 PROFILE",,,,
"64404500001001","Nodes","Logger 9466, Merson",21.000000,35.986549,"Val Log Post","Known Flow",273140.780065,669448.947857,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000920","Nodes","920,",21.000000,29.928392,"Default Known Flow Node","Known Flow",271809.197771,668483.993579,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000913","Nodes","913, P0061878, Main Street, 149.72",28.000000,28.262625,"CSEP DDS Matched","Known Flow",271787.813112,668483.795110,,0.000000,,,,-2.529999,-149.720003,,,,-136.144676,-152.249996,,"",,,,"D1 PROFILE","DC PROFILE",,,
