"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64303200020306","Nodes",,21.000000,25.031269,"Default Known Flow Node","Known Flow",324838.958547,641310.696716,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020334","Nodes",,21.000000,25.036509,"Default Known Flow Node","Known Flow",324845.259549,641300.691713,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020324","Nodes",,21.000000,28.905152,"Default Known Flow Node","Known Flow",324901.189564,641024.666638,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020325","Nodes",,21.000000,25.097195,"DDS demands","Known Flow",324775.225530,641272.871706,,0.000000,,,,,,-3.469999,,,,,,,,-3.102936,-3.469999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020327","Nodes",,21.000000,24.605533,"Default Known Flow Node","Known Flow",324644.791494,641322.707719,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020294","Nodes",,21.000000,27.822617,"Default Known Flow Node","Known Flow",324803.151538,640881.246599,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020330","Nodes",,21.000000,27.801940,"Default Known Flow Node","Known Flow",324778.258531,640952.187618,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020322","Nodes",,21.000000,25.241902,"Default Known Flow Node","Known Flow",324615.025486,641148.525672,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020299","Nodes",,21.000000,27.594701,"Default Known Flow Node","Known Flow",324820.844542,641214.168690,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020332","Nodes",,21.000000,25.816734,"DDS demands","Known Flow",324692.621507,640938.680615,,0.000000,,,,,,-6.670000,,,,,,,,-5.964433,-6.670000,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020333","Nodes",,21.000000,25.591922,"Default Known Flow Node","Known Flow",324730.398518,640965.150622,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020336","Nodes",,21.000000,25.030443,"Default Known Flow Node","Known Flow",324837.184547,641310.045716,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020339","Nodes",,21.000000,24.897902,"Default Known Flow Node","Known Flow",324652.725497,641270.051705,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020252","Nodes",,21.000000,25.270690,"DDS demands","Known Flow",324722.077516,641238.704696,,0.000000,,,,,,-1.279999,,,,,,,,-1.144598,-1.279999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020341","Nodes",,21.000000,28.973111,"Default Known Flow Node","Known Flow",324918.883569,641036.450641,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020254","Nodes",,21.000000,28.959553,"Default Known Flow Node","Known Flow",324915.041568,641034.012641,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020342","Nodes",,21.000000,28.561621,"Default Known Flow Node","Known Flow",324935.626574,640990.149629,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020344","Nodes",,21.000000,27.827456,"Default Known Flow Node","Known Flow",324790.413534,640869.951596,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020348","Nodes",,21.000000,25.155286,"Default Known Flow Node","Known Flow",324474.812448,641139.761670,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020349","Nodes",,21.000000,24.606318,"Default Known Flow Node","Known Flow",324664.192350,641333.822979,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
