"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"624042-550142","Nodes","-550142",21.000000,31.364328,"Default Known Flow Node","Known Flow",261635.500000,673847.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000106","Nodes","106",21.000000,31.539031,"DDS demands","Known Flow",261726.875000,673897.750000,,0.000000,,,-14.815999,,,-13.248732,-14.815999,,,"",,,"D1 PROFILE",,,
"62404200000107","Nodes","107",21.000000,31.491726,"DDS demands","Known Flow",261710.125000,673956.125000,,0.000000,,,-16.155000,,,-14.446090,-16.155000,,,"",,,"D1 PROFILE",,,
"624042-550159","Nodes","-550159",21.000000,31.491726,"Default Known Flow Node","Known Flow",261708.000000,673965.375000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000046","Nodes","46",21.000000,32.690314,"DDS demands","Known Flow",261728.375000,673831.750000,,0.000000,,,-4.481999,,,-4.007884,-4.481999,,,"",,,"D1 PROFILE",,,
"624042-164757","Nodes","-164757",21.000000,32.436259,"Default Known Flow Node","Known Flow",261708.875000,673834.625000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000045","Nodes","45",21.000000,33.917573,"DDS demands","Known Flow",261724.250000,673781.625000,,0.000000,,,-13.456999,,,-12.033489,-13.456999,,,"",,,"D1 PROFILE",,,
"62404200000002","Nodes","2, ""BALMORE PARK DG""",21.000000,33.999999,"Default Known Pressure Node","Known Pressure",261766.625000,673759.875000,,999998.967025,,,,,,218.109565,243.910992,,,"",,,,,,
"624042-164748","Nodes","-164748",21.000000,33.725357,"Default Known Flow Node","Known Flow",261575.625000,673792.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550145","Nodes","-550145",21.000000,33.725357,"Default Known Flow Node","Known Flow",261574.625000,673775.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550144","Nodes","-550144",21.000000,33.725357,"Default Known Flow Node","Known Flow",261573.375000,673810.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164740","Nodes","-164740",21.000000,33.761809,"Default Known Flow Node","Known Flow",261620.875000,673781.500000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550152","Nodes","-550152",21.000000,33.761809,"Default Known Flow Node","Known Flow",261623.500000,673781.250000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
