"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64305800000024","Nodes","24,",21.000000,26.981975,"DDS demands","Known Flow",345895.047125,679618.009410,,0.000000,,,,,,-15.899999,,-14.218064,-15.899999,,"",,,,,,"D1 PROFILE",
"64305800000214","Nodes","214,",21.000000,26.059703,"Default Known Flow Node","Known Flow",346400.492414,679571.562127,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800001004","Nodes","1004,",21.000000,26.058768,"Default Known Flow Node","Known Flow",346425.115444,679591.125473,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000215","Nodes","215,",21.000000,26.058512,"DDS demands","Known Flow",346433.833424,679592.461133,,0.000000,,,,,,-8.430000,,-7.538257,-8.430000,,"",,,,,,"D1 PROFILE",
"64305800001003","Nodes","Logger 9605, 2 Sinclair Court",21.000000,31.510599,"Val Log Post","Known Flow",346569.943394,679878.304027,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000025","Nodes","25,",21.000000,27.143073,"DDS demands","Known Flow",346161.405349,679717.908167,,0.000000,,-20.499999,,,,-13.359999,,-30.278218,-33.859998,,"",,"C2 PROFILE",,,,"D1 PROFILE",
"64305800001002","Nodes","1002,",21.000000,27.426214,"Default Known Flow Node","Known Flow",346162.716327,679750.552742,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000005","Nodes","5,",21.000000,26.145621,"DDS demands","Known Flow",346635.874062,679631.166458,,0.000000,,,,,,-11.579999,,-10.355043,-11.579999,,"",,,,,,"D1 PROFILE",
"64305800001000","Nodes","1000,",21.000000,27.500856,"Default Known Flow Node","Known Flow",346172.593518,679777.772575,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000200","Nodes","Logger 9297, 10 Kirk Road",21.000000,26.852861,"Val Log Post","Known Flow",346188.403958,679637.485214,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800001001","Nodes","1001,",21.000000,32.146499,"Default Known Flow Node","Known Flow",346646.318318,679902.680021,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000203","Nodes","203,",21.000000,26.197815,"Default Known Flow Node","Known Flow",346231.156370,679539.454390,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64305800000251","Nodes","251,",21.000000,27.260759,"Default Known Flow Node","Known Flow",346167.056351,679793.400188,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
