"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"64306100000156","Nodes","156",21.000000,24.791581,"DDS demands","Known Flow",343497.235405,675535.023145,,0.000000,,-3.370000,,-3.013514,-3.370000,,"",,"D1 PROFILE",
"64306100000155","Nodes","155",21.000000,24.611069,"DDS demands","Known Flow",343422.167141,675621.513312,,0.000000,,-15.940000,,-14.253833,-15.940000,,"",,"D1 PROFILE",
"64306100000162","Nodes","162",21.000000,24.440714,"DDS demands","Known Flow",343451.177083,675727.860234,,0.000000,,-12.539999,,-11.213492,-12.539999,,"",,"D1 PROFILE",
"64306101462497","Nodes","-1462497",21.000000,24.484450,"Default Known Flow Node","Known Flow",343431.059606,675716.520078,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000152","Nodes","152",21.000000,24.409201,"DDS demands","Known Flow",343398.810101,675794.652035,,0.000000,,-13.350000,,-11.937809,-13.350000,,"",,"D1 PROFILE",
"64306100000153","Nodes","153",21.000000,24.266038,"DDS demands","Known Flow",343351.437350,675860.551295,,0.000000,,-8.510000,,-7.609794,-8.510000,,"",,"D1 PROFILE",
"64306100000157","Nodes","157",21.000000,24.939216,"DDS demands","Known Flow",343524.812948,675521.594829,,0.000000,,-21.860000,,-19.547602,-21.860000,,"",,"D1 PROFILE",
"64306110000025","Nodes","-25",21.000000,24.488095,"Default Known Flow Node","Known Flow",343606.342606,675718.198947,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000051","Nodes","51",21.000000,25.822419,"DDS demands","Known Flow",343576.252646,675876.948122,,0.000000,,-15.970000,,-14.280660,-15.970000,,"",,"D1 PROFILE",
"64306100000046","Nodes","46",21.000000,28.220892,"DDS demands","Known Flow",343802.187707,675829.050109,,0.000000,,-8.390000,,-7.502488,-8.390000,,"",,"D1 PROFILE",
"64306100000045","Nodes","45",21.000000,28.412422,"DDS demands","Known Flow",343817.717712,675796.833100,,0.000000,,-7.400000,,-6.617212,-7.400000,,"",,"D1 PROFILE",
"64306100000047","Nodes","47",21.000000,27.585493,"DDS demands","Known Flow",343749.883693,675775.312094,,0.000000,,-7.510000,,-6.715576,-7.510000,,"",,"D1 PROFILE",
"64306110000023","Nodes","-23",21.000000,26.764744,"Default Known Flow Node","Known Flow",343744.767174,675684.333098,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000158","Nodes","158",21.000000,26.976289,"DDS demands","Known Flow",343689.882677,675721.209079,,0.000000,,-24.399999,,-21.818916,-24.399999,,"",,"D1 PROFILE",
"64306101462520","Nodes",,21.000000,26.818550,"DDS demands","Known Flow",343482.741439,676077.124966,,0.000000,,-22.769999,,-20.361342,-22.769999,,"",,"D1 PROFILE",
"64306100000048","Nodes","48",21.000000,26.955377,"DDS demands","Known Flow",343702.605680,675733.596083,,0.000000,,-3.640000,,-3.254953,-3.640000,,"",,"D1 PROFILE",
"64306100000054","Nodes","54",21.000000,25.288071,"DDS demands","Known Flow",343594.749541,675960.083981,,0.000000,,-15.380000,,-13.753071,-15.380000,,"",,"D1 PROFILE",
"64306100000055","Nodes","55",21.000000,25.263574,"DDS demands","Known Flow",343649.603456,675996.680832,,0.000000,,-5.630000,,-5.034446,-5.630000,,"",,"D1 PROFILE",
"64306100000043","Nodes","43",21.000000,29.650171,"DDS demands","Known Flow",343901.094734,675843.079113,,0.000000,,-10.779999,,-9.639668,-10.779999,,"",,"D1 PROFILE",
"64306100000044","Nodes","44",21.000000,28.306625,"DDS demands","Known Flow",343847.537720,675936.692138,,0.000000,,-12.109999,,-10.828979,-12.109999,,"",,"D1 PROFILE",
"64306100000166","Nodes","166",21.000000,28.975819,"DDS demands","Known Flow",343860.591723,675810.230104,,0.000000,,-7.269999,,-6.500963,-7.269999,,"",,"D1 PROFILE",
"64306110000033","Nodes","-33",21.000000,29.062644,"Default Known Flow Node","Known Flow",343893.280732,675772.857093,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000049","Nodes","49",21.000000,26.400792,"DDS demands","Known Flow",343651.453666,675790.879098,,0.000000,,-11.510000,,-10.292448,-11.510000,,"",,"D1 PROFILE",
"64306100000050","Nodes","50",21.000000,26.387805,"DDS demands","Known Flow",343680.685674,675818.083106,,0.000000,,-11.910000,,-10.650135,-11.910000,,"",,"D1 PROFILE",
"64306100000161","Nodes","161",21.000000,24.486067,"DDS demands","Known Flow",343612.060332,675710.673424,,0.000000,,-11.459999,,-10.247737,-11.459999,,"",,"D1 PROFILE",
"64306101462495","Nodes","-1462495",21.000000,24.488095,"Default Known Flow Node","Known Flow",343594.565651,675697.073073,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000022","Nodes","-22",21.000000,26.808344,"Default Known Flow Node","Known Flow",343725.423168,675660.554351,,0.000000,,,,0.000000,0.000000,,"",,,
"64306101462476","Nodes","-1462476",21.000000,26.808344,"Default Known Flow Node","Known Flow",343736.465690,675647.480059,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000021","Nodes","21",21.000000,26.718965,"DDS demands","Known Flow",343394.593473,676022.790933,,0.000000,,-19.489999,,-17.428306,-19.489999,,"",,"D1 PROFILE",
"64306100000118","Nodes","118",21.000000,28.619145,"DDS demands","Known Flow",343792.221334,676301.206270,,0.000000,,-18.469999,,-16.516204,-18.469999,,"",,"D1 PROFILE",
"64306100000073","Nodes","73",21.000000,25.620729,"DDS demands","Known Flow",343764.551364,676136.887337,,0.000000,,-4.780000,,-4.274362,-4.780000,,"",,"D1 PROFILE",
"64306100000024","Nodes","24",21.000000,29.351584,"DDS demands","Known Flow",343848.750728,676215.439563,,0.000000,,-15.580000,,-13.931915,-15.580000,,"",,"D1 PROFILE",
"64306100000028","Nodes","28",21.000000,31.269323,"DDS demands","Known Flow",343929.600008,676232.797677,,0.000000,,-12.149999,,-10.864747,-12.149999,,"",,"D1 PROFILE",
"64306100000151","Nodes","151",21.000000,31.671442,"DDS demands","Known Flow",343860.585212,676437.925934,,0.000000,,-1.860000,,-1.663245,-1.860000,,"",,"D1 PROFILE",
"64306100000117","Nodes","117",21.000000,27.637118,"Default Known Flow Node","Known Flow",343811.784989,676176.016410,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000023","Nodes","23",21.000000,28.552046,"DDS demands","Known Flow",343865.412356,676338.595916,,0.000000,,-6.829999,,-6.107508,-6.829999,,"",,"D1 PROFILE",
"64306100000173","Nodes","173",21.000000,31.919268,"DDS demands","Known Flow",343911.314734,676435.753699,,0.000000,,-7.450000,,-6.661923,-7.450000,,"",,"D1 PROFILE",
"64306100000033","Nodes","33",21.000000,35.903494,"DDS demands","Known Flow",344007.313763,676172.543202,,0.000000,,-7.080000,,-6.331062,-7.080000,,"",,"D1 PROFILE",
"64306100000214","Nodes","214",21.000000,38.369991,"Default Known Flow Node","Known Flow",344080.177360,676203.990149,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000183","Nodes","183",21.000000,33.562773,"DDS demands","Known Flow",344271.970747,676396.683930,,0.000000,,-8.169999,,-7.305760,-8.169999,,"",,"D1 PROFILE",
"64306110000196","Nodes",,21.000000,27.501360,"DDS demands","Known Flow",343640.003440,676190.889763,,0.000000,,-19.990000,,-17.875416,-19.990000,,"",,"D1 PROFILE",
"64306100000171","Nodes","171",21.000000,30.475567,"DDS demands","Known Flow",344265.521834,676202.379210,,0.000000,,-10.529999,,-9.416113,-10.529999,,"",,"D1 PROFILE",
"64306100000074","Nodes","74",21.000000,36.031454,"DDS demands","Known Flow",344045.347773,676143.515564,,0.000000,,-2.319999,,-2.074585,-2.319999,,"",,"D1 PROFILE",
"64306100000031","Nodes","31",21.000000,37.463989,"DDS demands","Known Flow",344092.046584,676187.200607,,0.000000,,-8.590000,,-7.681332,-8.590000,,"",,"D1 PROFILE",
"64306100000184","Nodes","184",21.000000,33.330560,"DDS demands","Known Flow",344369.292708,676416.759089,,0.000000,-2.769999,-3.810000,,-5.883953,-6.580000,,"","C1 PROFILE","D1 PROFILE",
