"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304100000150","Nodes","150",21.000000,27.731394,"DDS demands","Known Flow",357110.861329,638304.798898,,0.000000,,,,,-1.259999,,,,-1.126714,-1.259999,,"",,,,,"D1 PROFILE",,,
"64304100000151","Nodes","151",21.000000,27.970254,"DDS demands","Known Flow",357247.633366,638427.977932,,0.000000,-3.700000,,,,-6.939999,,,,-9.514478,-10.639999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"64304101462500","Nodes","-1462500",21.000000,28.074807,"Default Known Flow Node","Known Flow",357234.490000,638478.075000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000036","Nodes","36",21.000000,28.462066,"DDS demands","Known Flow",357324.990000,638463.825000,,0.000000,,-14.840000,,,-7.560000,,,,-20.030482,-22.400001,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"64304100001024","Nodes","-24",21.000000,25.190960,"DDS demands","Known Flow",357289.990000,638355.200000,,0.000000,,,,,-2.059999,,,,-1.842088,-2.059999,,"",,,,,"D1 PROFILE",,,
"64304100000165","Nodes","165",21.000000,34.934574,"DDS demands","Known Flow",357489.490000,638230.575000,,0.000000,,,,,-0.999999,,,,-0.894217,-0.999999,,"",,,,,"D1 PROFILE",,,
"64304100000166","Nodes","166",21.000000,33.665667,"DDS demands","Known Flow",357426.490000,638202.200000,,0.000000,,,,,-18.870000,,,,-16.873891,-18.870000,,"",,,,,"D1 PROFILE",,,
"64304100000190","Nodes","190",21.000000,27.781090,"DDS demands","Known Flow",357180.615000,638298.825000,,0.000000,,,,,-2.900000,,,,-2.593232,-2.900000,,"",,,,,"D1 PROFILE",,,
"64304100000037","Nodes","37",21.000000,24.969867,"Default Known Flow Node","Known Flow",357288.488377,638346.200909,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000167","Nodes","167",21.000000,32.669602,"DDS demands","Known Flow",357505.240000,638181.325000,,0.000000,,,,,-11.640000,,,,-10.408696,-11.640000,,"",,,,,"D1 PROFILE",,,
