"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"64303700000141","Nodes","141",21.000000,26.238438,"DDS demands","Known Flow",334569.215195,660907.114048,,0.000000,,,,,-17.959999,,,,-16.060153,-17.959999,,"",,,,,"D1 PROFILE",,,
"64303700000140","Nodes","140",21.000000,27.240651,"DDS demands","Known Flow",334649.331625,660949.012028,,0.000000,,,,,-11.920000,,,,-10.659077,-11.920000,,"",,,,,"D1 PROFILE",,,
"64303700000434","Nodes","P08118539, Harvieston Gate CSEP, FY1(-20.00) & Full (-292.25SCMH)",26.000000,27.273501,"CSEP DDS Matched","Known Flow",334557.835681,660746.012944,,0.000000,,,,,,0.000000,,,0.000000,0.000000,,"",,,,,,"DC PROFILE",,
"64303700000143","Nodes","143",21.000000,26.238814,"DDS demands","Known Flow",334540.586817,660874.664496,,0.000000,,,,,-9.790000,,,,-8.754393,-9.790000,,"",,,,,"D1 PROFILE",,,
"64303700000149","Nodes","149",21.000000,27.100806,"DDS demands","Known Flow",334596.664949,660777.932436,,0.000000,,,,,-15.420000,,,,-13.788840,-15.420000,,"",,,,,"D1 PROFILE",,,
"64303700000142","Nodes","142",21.000000,25.375030,"DDS demands","Known Flow",334539.380344,660960.224850,,0.000000,,,,,-12.319999,,,,-11.016764,-12.319999,,"",,,,,"D1 PROFILE",,,
"64303700000181","Nodes","181",21.000000,26.460329,"DDS demands","Known Flow",334750.522660,660946.412293,,0.000000,,,,,-7.530000,,,,-6.733460,-7.530000,,"",,,,,"D1 PROFILE",,,
"64303700000404","Nodes","404",21.000000,24.623348,"DDS demands","Known Flow",334498.938115,661022.292143,,0.000000,,,,,-5.440000,,,,-4.864545,-5.440000,,"",,,,,"D1 PROFILE",,,
"64303700000405","Nodes","405",21.000000,24.392658,"DDS demands","Known Flow",334495.811801,661060.481863,,0.000000,,,,,-0.930000,,,,-0.831622,-0.930000,,"",,,,,"D1 PROFILE",,,
"64303700000407","Nodes","407",21.000000,24.362636,"DDS demands","Known Flow",334462.144174,661074.834319,,0.000000,,,,,-9.409999,,,,-8.414590,-9.409999,,"",,,,,"D1 PROFILE",,,
