"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"64307000000029","Nodes","29",21.000000,23.587650,"DDS demands","Known Flow",351097.986693,683699.963251,,0.000000,,,,-1.440000,,,-1.287673,-1.440000,,"",,,,"D1 PROFILE",,
"64307000000030","Nodes","30",21.000000,22.064283,"DDS demands","Known Flow",351085.236689,683736.088260,,0.000000,,,,-14.380000,,,-12.858853,-14.380000,,"",,,,"D1 PROFILE",,
"64307000000159","Nodes","159",21.000000,28.486999,"DDS demands","Known Flow",351406.849548,683943.582587,,0.000000,,,,-3.749999,,,-3.353317,-3.749999,,"",,,,"D1 PROFILE",,
"64307000000157","Nodes","157",21.000000,28.711625,"DDS demands","Known Flow",351417.486780,683907.588307,,0.000000,,,-6.829999,,,,-6.107508,-6.829999,,"",,,"C4 PROFILE",,,
"64307000000154","Nodes","154",21.000000,28.753625,"DDS demands","Known Flow",351404.408138,683882.391774,,0.000000,,,,-2.700000,,,-2.414388,-2.700000,,"",,,,"D1 PROFILE",,
"64307000000158","Nodes","P00108274, Manse Road, -18.70",22.999998,26.608265,"CSEP DDS Matched","Known Flow",351337.272649,684248.472989,,0.000000,,,,,-18.700000,,-16.721875,-18.700000,,"",,,,,"DC PROFILE",
"64307000000031","Nodes","31",21.000000,21.545703,"DDS demands","Known Flow",351145.111706,683756.588266,,0.000000,,,,-8.669999,,,-7.752868,-8.669999,,"",,,,"D1 PROFILE",,
"64307000000032","Nodes","32",21.000000,21.934734,"DDS demands","Known Flow",351099.000967,683740.800873,,0.000000,,,,-3.130000,,,-2.798902,-3.130000,,"",,,,"D1 PROFILE",,
"64307000000033","Nodes","P09121355, Chapell Hill, -9.69",22.999998,23.379604,"CSEP DDS Matched","Known Flow",351075.111686,683690.463248,,0.000000,,,,-1.720000,-9.689999,,-10.203026,-11.409999,,"",,,,"D1 PROFILE","DC PROFILE",
"64307000000156","Nodes","156",21.000000,27.661942,"DDS demands","Known Flow",351151.736707,683709.838253,,0.000000,0.000000,,,-2.200000,,,-1.967279,-2.200000,,"","C1 PROFILE",,,"D1 PROFILE",,
"64307000000160","Nodes","160",21.000000,27.661942,"Default Known Flow Node","Known Flow",351160.236710,683655.338238,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000155","Nodes","155",21.000000,27.987638,"DDS demands","Known Flow",351204.589722,683741.175262,,0.000000,,,,-2.650000,,,-2.369677,-2.650000,,"",,,,"D1 PROFILE",,
"64307000000026","Nodes","26",21.000000,28.517459,"DDS demands","Known Flow",351262.518627,683774.659171,,0.000000,,,,-5.810000,,,-5.195405,-5.810000,,"",,,,"D1 PROFILE",,
"64307000000025","Nodes","25",21.000000,28.708048,"DDS demands","Known Flow",351306.140804,683689.551227,,0.000000,,,,-8.539999,,,-7.636620,-8.539999,,"",,,,"D1 PROFILE",,
"64307000000024","Nodes","24",21.000000,29.879166,"DDS demands","Known Flow",351407.986777,683745.213263,,0.000000,,,,-11.979999,,,-10.712730,-11.979999,,"",,,,"D1 PROFILE",,
"64307000000021","Nodes","21",21.000000,28.753315,"DDS demands","Known Flow",351473.111795,683849.838291,,0.000000,,,,-5.769999,,,-5.159637,-5.769999,,"",,,,"D1 PROFILE",,
"64307000000153","Nodes","153",21.000000,29.073537,"DDS demands","Known Flow",351382.611770,683856.088293,,0.000000,,,,-5.039999,,,-4.506857,-5.039999,,"",,,,"D1 PROFILE",,
"64307000000152","Nodes","152",21.000000,29.795934,"DDS demands","Known Flow",351436.611785,683760.963267,,0.000000,,,,-7.620000,,,-6.813940,-7.620000,,"",,,,"D1 PROFILE",,
"64307000000150","Nodes","150",21.000000,31.463591,"DDS demands","Known Flow",351460.861791,683773.463271,,0.000000,,,,-4.239999,,,-3.791483,-4.239999,,"",,,,"D1 PROFILE",,
"64307000000151","Nodes","151",21.000000,31.819291,"Default Known Flow Node","Known Flow",351499.611802,683793.963276,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000001","Nodes","Dirleton DG, Tel, Clocked, Site ID 6140",21.000000,32.000001,"Default Known Pressure Node","Known Pressure",351489.986799,683811.338281,,999998.967025,,,,,,,290.772828,325.170007,,"",,,,,,
"64307000000035","Nodes","35",21.000000,28.196724,"DDS demands","Known Flow",351370.132291,684021.851779,,0.000000,,,,-12.319999,,,-11.016764,-12.319999,,"",,,,"D1 PROFILE",,
"64307000000036","Nodes","36",21.000000,28.164283,"DDS demands","Known Flow",351336.611758,684016.838337,,0.000000,,,,-0.349999,,,-0.312976,-0.349999,,"",,,,"D1 PROFILE",,
"64307000000038","Nodes","38",21.000000,24.738212,"DDS demands","Known Flow",351557.111818,684060.588349,,0.000000,,-13.810000,,-8.699999,,,-20.128844,-22.510000,,"",,"C3  PROFILE",,"D1 PROFILE",,
"64307000000050","Nodes","50",21.000000,23.165362,"DDS demands","Known Flow",351702.736857,684123.338366,,0.000000,,,,-32.049999,,,-28.659683,-32.049999,,"",,,,"D1 PROFILE",,
"64307000000051","Nodes","51",21.000000,23.126367,"DDS demands","Known Flow",351737.986867,684059.963348,,0.000000,,,,-4.039999,,,-3.612640,-4.039999,,"",,,,"D1 PROFILE",,
"64307000000161","Nodes","161",21.000000,22.814853,"DDS demands","Known Flow",351760.486873,684139.963370,,0.000000,,,,-3.450000,,,-3.085051,-3.450000,,"",,,,"D1 PROFILE",,
"64307000000163","Nodes","163",21.000000,22.071209,"DDS demands","Known Flow",351916.111915,684265.338404,,0.000000,,,,-3.370000,,,-3.013514,-3.370000,,"",,,,"D1 PROFILE",,
