"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64307600000013","Nodes","13",21.000000,62.440040,"DDS demands","Known Flow",280784.842560,566289.556302,,0.000000,,-1.429999,,,-1.278731,-1.429999,,"",,"D1 PROFILE",,
"64307600000029","Nodes","-29",21.000000,62.237749,"Default Known Flow Node","Known Flow",280789.922640,566299.329654,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000015","Nodes","15",21.000000,61.965476,"DDS demands","Known Flow",280772.967557,566266.306296,,0.000000,,-6.190000,,,-5.535208,-6.190000,,"",,"D1 PROFILE",,
"64307600000016","Nodes","16",21.000000,61.470537,"DDS demands","Known Flow",280777.342558,566197.806277,,0.000000,-2.409999,-9.790000,,,-10.909459,-12.200000,,"","C3  PROFILE","D1 PROFILE",,
"64307600000017","Nodes","17",21.000000,62.045601,"DDS demands","Known Flow",280691.342534,566164.931268,,0.000000,,-0.460000,,,-0.411340,-0.460000,,"",,"D1 PROFILE",,
"64307600000012","Nodes","12",21.000000,65.559881,"Default Known Flow Node","Known Flow",280833.717573,566270.056297,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000030","Nodes","-30",21.000000,62.196769,"Default Known Flow Node","Known Flow",280765.467554,566312.556308,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307601462474","Nodes","-1462474",21.000000,62.319724,"Default Known Flow Node","Known Flow",280743.217548,566330.181313,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307601462479","Nodes","-1462479",21.000000,62.196769,"Default Known Flow Node","Known Flow",280766.342555,566314.306309,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000014","Nodes","14",21.000000,59.919465,"DDS demands","Known Flow",280866.092582,566412.931336,,0.000000,,-9.729999,-11.430000,,-18.921652,-21.160000,,"",,"D1 PROFILE","DM PROFILE",
"64307600000011","Nodes","11",21.000000,66.623391,"DDS demands","Known Flow",280919.710582,566231.409810,,0.000000,,-8.260000,,,-7.386240,-8.260000,,"",,"D1 PROFILE",,
"64307600000010","Nodes","10",21.000000,69.394959,"DDS demands","Known Flow",281025.967625,566182.806273,,0.000000,,-3.940000,,,-3.523218,-3.940000,,"",,"D1 PROFILE",,
"64307600000001","Nodes","Haugh of Urr DG, Constant, Site ID 6201",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",281022.467624,566176.556271,,429.999990,,,,,112.787709,126.130006,,"",,,,
"64307600000018","Nodes","18",21.000000,52.682364,"DDS demands","Known Flow",281172.342665,566127.056258,,0.000000,,-16.989999,,,-15.192761,-16.989999,,"",,"D1 PROFILE",,
"64307600000022","Nodes","22",21.000000,51.558082,"Point Loads","Known Flow",281240.342684,566084.681246,,0.000000,,-1.070000,,-11.100000,-10.882631,-12.170000,,"",,"D1 PROFILE",,"PL-AF PROFILE"
"64307600000019","Nodes","19",21.000000,49.102401,"DDS demands","Known Flow",281189.217670,566322.931311,,0.000000,,-6.099999,,,-19.368760,-21.660000,,"",,"D1 PROFILE",,
"64307600000020","Nodes","20",21.000000,51.615517,"DDS demands","Known Flow",281275.092693,566067.431242,,0.000000,,-3.150000,,,-2.816786,-3.150000,,"",,"D1 PROFILE",,
"64307600000023","Nodes","23",21.000000,51.615513,"DDS demands","Known Flow",281264.592690,566267.056296,,0.000000,,-3.450000,,,-3.085051,-3.450000,,"",,"D1 PROFILE",,
"64307600000021","Nodes","21",21.000000,65.320057,"DDS demands","Known Flow",280913.842595,566381.931327,,0.000000,,-15.070000,,,-13.475863,-15.070000,,"",,"D1 PROFILE",,
"64307600000047","Nodes","47",21.000000,66.100699,"Default Known Flow Node","Known Flow",280936.717601,566296.431304,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307601000023","Nodes","-23",21.000000,66.600660,"Default Known Flow Node","Known Flow",280918.592596,566231.931286,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000028","Nodes","-28",21.000000,66.100699,"Default Known Flow Node","Known Flow",280972.717611,566297.056304,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000046","Nodes","46",21.000000,66.182209,"Default Known Flow Node","Known Flow",280980.467613,566292.931303,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307601462486","Nodes","-1462486",21.000000,66.100699,"Default Known Flow Node","Known Flow",280966.967609,566281.056300,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64307600000002","Nodes","Hardgate RRI",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",281525.763761,567055.112510,,999998.967025,,,,,27.747581,31.030000,,"",,,,
"64307600000024","Nodes","24",21.000000,51.897797,"DDS demands","Known Flow",281160.967662,566751.681428,,0.000000,,-31.030000,,,-27.747581,-31.030000,,"",,"D1 PROFILE",,
