"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64300588800001","Nodes","329",21.000000,26.652110,"Default Known Flow Node","Known Flow",318490.125000,673386.625000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64300588800002","Nodes","330",21.000000,26.646708,"DDS","Known Flow",318486.000000,673356.000000,,0.000000,,,,-1.249999,,,,-1.117772,-1.249999,,"",,,,"D1 PROFILE",,,
"64300588800003","Nodes","1012",21.000000,49.872194,"DDS","Known Flow",318088.812500,673470.875000,,0.000000,,,,-7.570000,,,,-6.769229,-7.570000,,"",,,,"D1 PROFILE",,,
"64300588800004","Nodes","1013, ""EAST CRAIGS RRI""",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",318028.843750,673469.000000,,999998.967025,,,,,,,,43.676462,48.843201,,"",,,,,,,
"64300588800005","Nodes","1010",21.000000,41.835243,"DDS","Known Flow",318115.312500,673360.125000,,0.000000,,,,-21.969998,,,,-19.645966,-21.969998,,"",,,,"D1 PROFILE",,,
"64300588800006","Nodes","1011",21.000000,41.832576,"DDS","Known Flow",318132.031250,673425.125000,,0.000000,,,,-2.970000,,,,-2.655827,-2.970000,,"",,,,"D1 PROFILE",,,
"64300588800007","Nodes","1007",21.000000,41.062783,"DDS","Known Flow",318137.718750,673310.812500,,0.000000,,,,-8.310000,,,,-7.430950,-8.310000,,"",,,,"D1 PROFILE",,,
"64300588800008","Nodes","1006",21.000000,41.068080,"DDS","Known Flow",318097.625000,673268.812500,,0.000000,,,,-6.179999,,,,-5.526266,-6.179999,,"",,,,"D1 PROFILE",,,
"64300588800009","Nodes","1009",21.000000,40.707948,"DDS","Known Flow",318078.687500,673314.312500,,0.000000,,,,-9.540000,,,,-8.530839,-9.540000,,"",,,,"D1 PROFILE",,,
"64300588800010","Nodes","1008",21.000000,40.889424,"DDS","Known Flow",318184.750000,673314.937500,,0.000000,,,,-9.149999,,,,-8.182093,-9.149999,,"",,,,"D1 PROFILE",,,
