"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64303400000495","Nodes","495",21.000000,35.795317,"Default Known Flow Node","Known Flow",354278.112558,634089.949751,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000044","Nodes","44",21.000000,28.976725,"Default Known Flow Node","Known Flow",354026.737490,634122.949760,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000045","Nodes","45",21.000000,28.656816,"DDS demands","Known Flow",354194.862535,634125.074761,,0.000000,,,,,,-12.010000,,,,,-10.739556,-12.010000,,"",,,,,,"D1 PROFILE",,,,
"64303400000059","Nodes","59",21.000000,34.117885,"DDS demands","Known Flow",354200.809537,634370.743828,,0.000000,,,,,,-10.310000,,,,,-9.219387,-10.310000,,"",,,,,,"D1 PROFILE",,,,
"64303400002297","Nodes","2297",21.000000,34.773059,"Default Known Flow Node","Known Flow",354246.987550,634378.949830,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002290","Nodes","2290",21.000000,37.255649,"Default Known Flow Node","Known Flow",354387.204476,634155.913766,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000251","Nodes","251",21.000000,37.737598,"DDS demands","Known Flow",354393.487589,634171.949774,,0.000000,,,,,,-0.460000,,,,,-0.411340,-0.460000,,"",,,,,,"D1 PROFILE",,,,
"64303400002283","Nodes","2283",21.000000,37.737890,"Default Known Flow Node","Known Flow",354391.487589,634172.574774,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000295","Nodes","295",21.000000,35.828054,"DDS demands","Known Flow",354270.362556,634078.574748,,0.000000,,-25.850000,,,,,,,,,-23.115534,-25.850000,,"",,"C2 PROFILE",,,,,,,,
"64303400000296","Nodes","296",21.000000,35.828054,"Default Known Flow Node","Known Flow",354253.987551,634048.074740,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000047","Nodes","47",21.000000,36.488856,"DDS demands","Known Flow",354114.237513,634227.949789,,0.000000,,,,,,-9.590000,,,,,-8.575549,-9.590000,,"",,,,,,"D1 PROFILE",,,,
"64303400000041","Nodes","41",21.000000,27.618874,"DDS demands","Known Flow",354026.862490,634008.074729,,0.000000,,,,,,-12.740000,,,,,-11.392336,-12.740000,,"",,,,,,"D1 PROFILE",,,,
"64303400000042","Nodes","42",21.000000,27.608367,"Default Known Flow Node","Known Flow",354027.862490,634001.824727,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002233","Nodes","2233",21.000000,27.692639,"DDS demands","Known Flow",353953.755291,634029.516960,,0.000000,-5.519999,,,,,-16.850000,,,,,-20.003653,-22.369999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,
