"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404400000072","Nodes","72",21.000000,67.398099,"DDS demands","Known Flow",281873.635010,651927.525119,,0.000000,,,-11.669999,,,,,-10.435522,-11.669999,,"",,,"D1 PROFILE",,,,
"64404400000070","Nodes","70",21.000000,67.695313,"DDS demands","Known Flow",281911.848209,651949.732206,,0.000000,,,-18.549999,,,,,-16.587741,-18.549999,,"",,,"D1 PROFILE",,,,
"64404400000033","Nodes","WATERLANDS ROAD RRI",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",282618.400711,652992.755752,,999998.967025,,,,,,,,15.630926,17.480000,,"",,,,,,,
"64404400000066","Nodes","66",21.000000,74.949407,"Default Known Flow Node","Known Flow",282620.924161,652989.884239,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000225","Nodes","225",21.000000,73.601270,"Default Known Flow Node","Known Flow",282684.706555,652926.362891,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000048","Nodes","48",21.000000,74.021781,"DDS demands","Known Flow",281942.523391,651991.547588,,0.000000,,,-16.079999,,,,,-14.379023,-16.079999,,"",,,"D1 PROFILE",,,,
"64404400000047","Nodes","47",21.000000,74.940111,"DDS demands","Known Flow",281952.047586,652065.090870,,0.000000,,,-9.260000,,,,,-8.280457,-9.260000,,"",,,"D1 PROFILE",,,,
"64404400000032","Nodes","BIRKS COURT RRI",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",281953.829739,652066.657960,,999998.967025,,,,,,,,22.659479,25.339999,,"",,,,,,,
"64404400000028","Nodes","28",21.000000,21.802955,"DDS demands","Known Flow",281936.769663,651769.384207,,0.000000,,,-14.290000,,,,,-12.778373,-14.290000,,"",,,"D1 PROFILE",,,,
"64404400000027","Nodes","27",21.000000,21.862308,"DDS demands","Known Flow",281978.767327,651765.348845,,0.000000,,,-6.619999,,,,,-5.919722,-6.619999,,"",,,"D1 PROFILE",,,,
"64404400000222","Nodes","222",21.000000,74.021781,"Default Known Flow Node","Known Flow",281944.094874,651989.784461,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000071","Nodes","71",21.000000,67.022416,"DDS demands","Known Flow",281925.773787,651895.607447,,0.000000,,,-12.040000,,,,,-10.766383,-12.040000,,"",,,"D1 PROFILE",,,,
"64404400000029","Nodes","29",21.000000,21.933906,"DDS demands","Known Flow",281989.827210,651711.095635,,0.000000,,,-15.060000,,,,,-13.466921,-15.060000,,"",,,"D1 PROFILE",,,,
"64404400000161","Nodes","161",21.000000,73.735934,"DDS demands","Known Flow",281807.608910,651988.485235,,0.000000,,,-4.980000,,,,,-4.453205,-4.980000,,"",,,"D1 PROFILE",,,,
"64404400000230","Nodes","230",21.000000,73.701873,"Default Known Flow Node","Known Flow",281797.473515,651991.370494,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000162","Nodes","162",21.000000,72.015690,"DDS demands","Known Flow",281849.873923,651919.283935,,0.000000,,,-16.969999,,,,,-15.174876,-16.969999,,"",,,"D1 PROFILE",,,,
"64404400000163","Nodes","163",21.000000,71.916172,"DDS demands","Known Flow",281889.782436,651860.400257,,0.000000,,,-4.280000,,,,,-3.827252,-4.280000,,"",,,"D1 PROFILE",,,,
"64404400000030","Nodes","30",21.000000,21.907830,"DDS demands","Known Flow",282066.387008,651781.210062,,0.000000,,,-11.689999,,,,,-10.453406,-11.689999,,"",,,"D1 PROFILE",,,,
"64404400000221","Nodes","221",21.000000,22.043911,"Default Known Flow Node","Known Flow",282068.395000,651773.205000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000022","Nodes","22",21.000000,21.521082,"DDS demands","Known Flow",282030.856184,651974.535839,,0.000000,,,-11.000000,,,,,-9.836397,-11.000000,,"",,,"D1 PROFILE",,,,
"64404400000223","Nodes","223",21.000000,21.430437,"Default Known Flow Node","Known Flow",282027.520000,651993.080000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000023","Nodes","23",21.000000,21.468508,"DDS demands","Known Flow",281993.270000,651962.705000,,0.000000,,,-10.280000,,,,,-9.192560,-10.280000,,"",,,"D1 PROFILE",,,,
"64404400000026","Nodes","26",21.000000,21.997695,"DDS demands","Known Flow",282058.876749,651816.519486,,0.000000,,,-2.880000,,,,,-2.575347,-2.880000,,"",,,"D1 PROFILE",,,,
"64404400000024","Nodes","24",21.000000,21.776905,"DDS demands","Known Flow",282051.520000,651856.580000,,0.000000,,,-14.569999,,,,,-13.028754,-14.569999,,"",,,"D1 PROFILE",,,,
"64404400000025","Nodes","25",21.000000,21.749985,"DDS demands","Known Flow",282000.770000,651847.205000,,0.000000,,,-19.190000,,,,,-17.160042,-19.190000,,"",,,"D1 PROFILE",,,,
"64404400000220","Nodes","220",21.000000,21.997695,"Default Known Flow Node","Known Flow",282063.696766,651817.304139,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000219","Nodes","219",21.000000,21.430437,"Default Known Flow Node","Known Flow",282026.895000,651998.205000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000058","Nodes","58",21.000000,70.348131,"DDS demands","Known Flow",281450.520000,652117.205000,,0.000000,,,-27.799998,,,,,-24.859255,-27.799998,,"",,,"D1 PROFILE",,,,
"64404400000059","Nodes","59",21.000000,69.549053,"DDS demands","Known Flow",281378.895000,652078.080000,,0.000000,,,-12.780000,,,,,-11.428104,-12.780000,,"",,,"D1 PROFILE",,,,
"64404400000164","Nodes","164",21.000000,73.572314,"DDS demands","Known Flow",281772.172019,652015.747228,,0.000000,,,-4.460000,,,,,-3.988211,-4.460000,,"",,,"D1 PROFILE",,,,
"64404400000073","Nodes","73",21.000000,73.809931,"DDS demands","Known Flow",281815.746818,652003.133470,,0.000000,,,-8.960000,,,,,-8.012192,-8.960000,,"",,,"D1 PROFILE",,,,
"64404400000069","Nodes","69",21.000000,74.109956,"Default Known Flow Node","Known Flow",281853.192529,652036.406528,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000050","Nodes","50",21.000000,74.445299,"DDS demands","Known Flow",281742.467596,652281.630550,,0.000000,,,-18.969999,,,,,-16.963314,-18.969999,,"",,,"D1 PROFILE",,,,
"64404400000229","Nodes","229",21.000000,74.418028,"Default Known Flow Node","Known Flow",281746.214313,652284.968622,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000049","Nodes","BROWNLEE ROAD RRI",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",281748.708633,652270.401199,,999998.967025,,,,,,,,78.181459,87.429999,,"",,,,,,,
"64404400000061","Nodes","61",21.000000,69.864851,"DDS demands","Known Flow",281822.254939,652445.517001,,0.000000,,,-7.210000,,,,,-6.447311,-7.210000,,"",,,"D1 PROFILE",,,,
"64404400000062","Nodes","62",21.000000,69.936481,"Default Known Flow Node","Known Flow",281833.230796,652433.051626,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64404400000051","Nodes","51",21.000000,74.378017,"DDS demands","Known Flow",281752.145000,652289.330000,,0.000000,,,-2.740000,,,,,-2.450157,-2.740000,,"",,,"D1 PROFILE",,,,
"64404400000052","Nodes","52",21.000000,74.367718,"DDS demands","Known Flow",281800.020000,652362.705000,,0.000000,,,-5.789999,,,,,-5.177521,-5.789999,,"",,,"D1 PROFILE",,,,
