"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404000000098","Nodes","98",21.000000,35.491819,"DDS demands","Known Flow",277617.124813,701136.117426,,0.000000,,,,,,-14.120000,,,,,,-12.626357,-14.120000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000080","Nodes","80",21.000000,31.633123,"DDS demands","Known Flow",278791.784157,701101.904402,,0.000000,,,,,,-14.970000,,,,,,-13.386442,-14.970000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000085","Nodes","85",21.000000,31.637939,"DDS demands","Known Flow",278701.529732,701376.443023,,0.000000,,,,,,-17.600000,,,,,,-15.738235,-17.600000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000127","Nodes","127",21.000000,29.448365,"DDS demands","Known Flow",278494.171673,701780.704655,,0.000000,,,,,,-6.269999,,,,,,-5.606746,-6.269999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000120","Nodes","120",21.000000,27.829731,"DDS demands","Known Flow",278379.102364,701714.494885,,0.000000,,,,,,-11.649999,,,,,,-10.417637,-11.649999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000109","Nodes","109",21.000000,25.325853,"DDS demands","Known Flow",279047.233010,701452.859757,,0.000000,,,,,,-12.090000,,,,,,-10.811094,-12.090000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000134","Nodes","134",21.000000,31.027619,"DDS demands","Known Flow",278578.081482,701820.465237,,0.000000,,,,,,-3.829999,,,,,,-3.424854,-3.829999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000099","Nodes","99",21.000000,27.065630,"DDS demands","Known Flow",279012.541162,701429.186645,,0.000000,,,,,,-14.060000,,,,,,-12.572704,-14.060000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000115","Nodes","115",21.000000,27.569109,"DDS demands","Known Flow",278344.448454,701699.487276,,0.000000,,,,,,-8.409999,,,,,,-7.520372,-8.409999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000153","Nodes","153",21.000000,24.116485,"DDS demands","Known Flow",277849.187643,701352.299434,,0.000000,,,,,,-24.360000,,,,,,-21.783148,-24.360000,,"",,,,,,"D1 PROFILE",,,,,
