"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64303900000223","Nodes","223",21.000000,36.373007,"DDS demands","Known Flow",276137.830295,561848.089094,,0.000000,,,,,,,-13.279999,,,,,-11.875213,-13.279999,,"",,,,,,,"D1 PROFILE",,,,
"64303900000023","Nodes","23",21.000000,28.091072,"Default Known Flow Node","Known Flow",277058.719536,563248.805709,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64303900000076","Nodes","P00078009, (ERNESPIE LODGE) ERNESPIE ROAD, -112.25",24.000000,27.894679,"CSEP DDS Matched","Known Flow",277066.466427,563260.231871,,0.000000,,,,,-35.080002,,,-77.169994,,,,-100.375958,-112.249994,,"",,,,,"CC PROFILE",,,"DC PROFILE",,,
"64303900000022","Nodes","22",21.000000,27.646749,"Default Known Flow Node","Known Flow",277115.778591,563404.073756,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64303900001594","Nodes","1594",21.000000,39.547632,"Default Known Flow Node","Known Flow",277231.148593,562551.991285,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64303900000304","Nodes","304",21.000000,39.542401,"Default Known Flow Node","Known Flow",277260.707875,562524.457226,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64303900000516","Nodes","516",21.000000,35.476260,"Default Known Flow Node","Known Flow",275761.931861,563108.703529,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64303900000204","Nodes","204 - C1 -12.61, Garage",21.000000,35.194975,"DDS demands","Known Flow",276330.042348,562377.122238,,0.000000,-15.979999,,,,,,-10.580000,,,,,-23.750427,-26.559999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,
"64303900000307","Nodes","307",21.000000,34.302921,"DDS demands","Known Flow",276413.821255,562478.651236,,0.000000,,,,,,,-5.099999,,,,,-4.560511,-5.099999,,"",,,,,,,"D1 PROFILE",,,,
"64303900001591","Nodes","1591",21.000000,34.201246,"Default Known Flow Node","Known Flow",276422.288373,562488.912268,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
