"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"64307300000028","Nodes","28",21.000000,58.669762,"DDS demands","Known Flow",344670.359944,636375.200373,,0.000000,,-0.689999,,,,-0.617010,-0.689999,,"",,"D1 PROFILE",,,
"64307300000026","Nodes","26",21.000000,58.714441,"Default Known Flow Node","Known Flow",344705.025953,636410.253383,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307310000033","Nodes","-33",21.000000,58.799234,"Default Known Flow Node","Known Flow",344710.966955,636433.197389,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307301462497","Nodes","-1462497",21.000000,53.892443,"Default Known Flow Node","Known Flow",345126.906068,636744.190473,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000107","Nodes",,21.000000,56.067841,"Default Known Flow Node","Known Flow",344945.135928,636500.450281,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000109","Nodes",,21.000000,53.760167,"Default Known Flow Node","Known Flow",344973.209950,636526.375531,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000112","Nodes",,21.000000,51.073511,"Default Known Flow Node","Known Flow",345005.502196,636555.637887,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000110","Nodes",,21.000000,53.371264,"Default Known Flow Node","Known Flow",344977.889535,636530.616043,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000111","Nodes",,21.000000,53.453057,"Default Known Flow Node","Known Flow",344976.905471,636529.724311,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000131","Nodes","31",21.000000,50.933620,"Default Known Flow Node","Known Flow",345007.293827,636557.020661,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000068","Nodes","P10125230, Clovenfords Development, Vine Street, 169.30",25.000000,46.404875,"CSEP DDS Matched","Known Flow",345077.823158,636578.449495,,0.000000,,,-91.500000,,,-81.820940,-91.500000,,"",,,"DC PROFILE",,
"64307300000137","Nodes",,21.000000,69.211680,"Default Known Flow Node","Known Flow",344874.191999,636282.312348,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000156","Nodes",,21.000000,68.083357,"Default Known Flow Node","Known Flow",344864.470996,636328.574360,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000157","Nodes",,21.000000,68.249891,"Default Known Flow Node","Known Flow",344911.956009,636330.134361,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307300000002","Nodes",,21.000000,62.545706,"Default Known Flow Node","Known Flow",344867.795312,636432.189140,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
