"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401500001048","Nodes","1048",21.000000,33.126761,"DDS demands","Known Flow",271306.339981,654547.205318,,0.000000,0.000000,,,,,,-6.459999,,,,,,,,-5.776647,-6.459999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,
"64401500004502","Nodes","4502",25.000000,42.424892,"Default Known Flow Node","Known Flow",271682.215083,653710.205090,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001070","Nodes","1070",21.000000,42.427436,"DDS demands","Known Flow",271684.090083,653710.205090,,0.000000,,,,,,,-3.729999,,,,,,,,-3.335432,-3.729999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500004537","Nodes","4537,",21.000000,39.726622,"DDS demands","Known Flow",271710.465091,653803.205115,,0.000000,,,,-13.720000,,,-0.110000,,,,,,,,-12.367034,-13.830001,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,
"64401500004538","Nodes","4538,",21.000000,40.299902,"DDS demands","Known Flow",271711.840091,653801.955115,,0.000000,,,,-13.720000,,,,,,,,,,,-12.268670,-13.720000,,"",,,,"C4 PROFILE",,,,,,,,,,
"64401500032974","Nodes","32974",21.000000,33.412501,"Default Known Flow Node","Known Flow",270967.909890,654284.423659,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001018","Nodes","1018",21.000000,33.084225,"DDS demands","Known Flow",271009.819129,654189.478193,,0.000000,,,,,,,-18.079999,,,,,,,,-16.167459,-18.079999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500007209","Nodes","P09121404, DEV@Earls Gate, Uddingston, -37.02",24.000000,35.021838,"CSEP DDS Matched","Known Flow",269155.157395,659303.412612,,0.000000,,,,,,,,-37.020001,,,,,,,-33.103947,-37.020001,,"",,,,,,,,"DC PROFILE",,,,,,
"64401500002487","Nodes","2487",21.000000,40.253875,"Default Known Flow Node","Known Flow",269771.964563,659729.331728,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500006947","Nodes","6947",21.000000,44.241543,"Default Known Flow Node","Known Flow",269879.339592,656199.205767,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000374","Nodes","374",21.000000,39.335212,"DDS demands","Known Flow",269886.464594,656206.330769,,0.000000,-6.000000,,,,,,-11.549999,,,,,,,,-15.693524,-17.549999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,
"64401500005808","Nodes","5808",21.000000,36.341178,"DDS demands","Known Flow",270692.714814,661322.082161,,0.000000,,,,,,,-1.309999,,,,,,,,-1.171425,-1.309999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500034030","Nodes","34030",21.000000,39.754707,"Default Known Flow Node","Known Flow",272568.935485,655247.358787,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500034054","Nodes","34054",21.000000,38.074379,"DDS demands","Known Flow",272692.582358,655306.838524,,0.000000,,,,,,,-3.020000,,,,,,,,-2.700538,-3.020000,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500000408","Nodes","408",21.000000,37.285045,"Default Known Flow Node","Known Flow",269331.464443,662141.207384,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500034530","Nodes","34530",21.000000,30.266742,"Default Known Flow Node","Known Flow",272967.465433,654849.705400,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001166","Nodes","1166",21.000000,30.266742,"Default Known Flow Node","Known Flow",272936.215424,654817.580391,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500007925","Nodes","7925",21.000000,31.546548,"DDS demands","Known Flow",272944.340426,655056.330456,,0.000000,,,,,,,-21.629998,,,,,,,,-19.341931,-21.629998,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500002063","Nodes","2063",21.000000,42.197911,"Default Known Flow Node","Known Flow",269112.589384,661533.332219,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001089","Nodes","1089",21.000000,31.224244,"Default Known Flow Node","Known Flow",271753.529701,653277.325877,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500004511","Nodes","4511,",21.000000,31.245575,"DDS demands","Known Flow",271761.872105,653274.032971,,0.000000,-15.999999,,,,,,-17.020000,,,,,,,,-29.527074,-33.019999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,
"64401500030031","Nodes","30031",21.000000,31.247599,"Default Known Flow Node","Known Flow",271745.266979,653279.112294,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
