"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64310300000080","Nodes","80",21.000000,51.817529,"DDS demands","Known Flow",340749.487372,668947.938849,,0.000000,,,,-3.420000,,,,,-3.058225,-3.420000,,"",,,,"D1 PROFILE",,,,
"64310300000081","Nodes",,21.000000,50.907607,"DDS demands","Known Flow",340727.170090,668987.890874,,0.000000,,,,-5.030000,,,,,-4.497916,-5.030000,,"",,,,"D1 PROFILE",,,,
"64310300000051","Nodes","51",21.000000,51.975078,"DDS demands","Known Flow",340805.470980,668718.951976,,0.000000,,,,-10.629999,,,,,-9.505536,-10.629999,,"",,,,"D1 PROFILE",,,,
"64310300000052","Nodes","52",21.000000,51.402566,"DDS demands","Known Flow",340738.702892,668766.488807,,0.000000,,,,-16.790000,,,,,-15.013919,-16.790000,,"",,,,"D1 PROFILE",,,,
"64310300000053","Nodes","53",21.000000,52.789066,"DDS demands","Known Flow",340822.757897,668821.042202,,0.000000,,,,-7.989999,,,,,-7.144800,-7.989999,,"",,,,"D1 PROFILE",,,,
"64310310000002","Nodes","-2",21.000000,56.037496,"Default Known Flow Node","Known Flow",340913.016921,668836.258206,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310310000049","Nodes","-49",21.000000,60.489527,"Default Known Flow Node","Known Flow",341130.202980,669180.289300,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310300000030","Nodes","30",21.000000,58.324334,"DDS demands","Known Flow",341173.480508,669140.210793,,0.000000,,,,-14.270000,,,,,-12.760490,-14.270000,,"",,,,"D1 PROFILE",,,,
"64310300000031","Nodes","31",21.000000,55.981244,"DDS demands","Known Flow",341233.289008,669142.967289,,0.000000,,-69.720002,,,,,,,-62.344873,-69.720002,,"",,"C2 PROFILE",,,,,,
"64310300000054","Nodes","54",21.000000,52.070795,"DDS demands","Known Flow",340770.988883,668848.943209,,0.000000,,,,-7.860000,,,,,-7.028552,-7.860000,,"",,,,"D1 PROFILE",,,,
"64310310000010","Nodes","-10",21.000000,52.044855,"Default Known Flow Node","Known Flow",340773.506958,668878.347122,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310310000003","Nodes","-3",21.000000,56.487320,"Default Known Flow Node","Known Flow",340929.400926,668842.467208,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310300000042","Nodes","42",21.000000,56.409661,"DDS demands","Known Flow",340921.746924,668848.038209,,0.000000,,,,-9.350000,,,,,-8.360937,-9.350000,,"",,,,"D1 PROFILE",,,,
"64310300000062","Nodes","62",21.000000,50.134514,"DDS demands","Known Flow",340632.320845,668933.614232,,0.000000,,,,-7.280000,,,,,-6.509906,-7.280000,,"",,,,"D1 PROFILE",,,,
"64310300000064","Nodes","P08120310, Moffat Road, -11.63",22.999998,50.829578,"CSEP DDS Matched","Known Flow",340724.050870,668993.196249,,0.000000,,,,-5.270000,-11.629999,,,,-15.112282,-16.899999,,"",,,,"D1 PROFILE","DC PROFILE",,,
"64310300000063","Nodes","63",21.000000,50.058322,"DDS demands","Known Flow",340660.357852,668890.931221,,0.000000,,,,-4.790000,,,,,-4.283303,-4.790000,,"",,,,"D1 PROFILE",,,,
"64310300000060","Nodes","60",21.000000,50.413444,"DDS demands","Known Flow",340662.912853,668950.987237,,0.000000,,,,-6.569999,,,,,-5.875011,-6.569999,,"",,,,"D1 PROFILE",,,,
"64310310000019","Nodes","-19",21.000000,51.157030,"Default Known Flow Node","Known Flow",340688.644860,668934.466233,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310301462512","Nodes","-1462512",21.000000,51.157030,"Default Known Flow Node","Known Flow",340715.006867,668950.246237,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310300000059","Nodes","59",21.000000,51.493931,"DDS demands","Known Flow",340701.853777,668927.358040,,0.000000,,,,-4.060000,,,,,-3.630524,-4.060000,,"",,,,"D1 PROFILE",,,,
"64310300000058","Nodes","58",21.000000,51.773400,"DDS demands","Known Flow",340726.934871,668863.769213,,0.000000,,,,-4.960000,,,,,-4.435321,-4.960000,,"",,,,"D1 PROFILE",,,,
"64310301462507","Nodes","-1462507",21.000000,51.773400,"Default Known Flow Node","Known Flow",340702.735864,668848.735209,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310300000082","Nodes","82",21.000000,51.089086,"DDS demands","Known Flow",340762.543880,668872.236216,,0.000000,,,,-12.080000,,,,,-10.802152,-12.080000,,"",,,,"D1 PROFILE",,,,
"64310300000057","Nodes","57",21.000000,51.874562,"DDS demands","Known Flow",340742.445875,668851.482210,,0.000000,,,,-6.469999,,,,,-5.785589,-6.469999,,"",,,,"D1 PROFILE",,,,
"64310301462484","Nodes","-1462484",21.000000,52.044855,"Default Known Flow Node","Known Flow",340806.589892,668877.546217,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310310000014","Nodes","-14",21.000000,52.014498,"Default Known Flow Node","Known Flow",340784.998886,668911.511226,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64310300000056","Nodes","P09120325, Cockburn Drive, -14.95",22.999998,51.402381,"CSEP DDS Matched","Known Flow",340759.201016,668734.885800,,0.000000,,,,,-14.949999,,,,-13.368557,-14.949999,,"",,,,,"DC PROFILE",,,
