"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64403200000091","Nodes","91",21.000000,31.974558,"DDS demands","Known Flow",288378.359170,697096.913129,,0.000000,,,,,-3.170000,,,,-2.834670,-3.170000,,"",,,,,"D1 PROFILE",,,
"64403200005147","Nodes","5147",21.000000,31.039257,"Default Known Flow Node","Known Flow",288394.673630,696912.243846,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200001009","Nodes","1009",21.000000,29.900698,"DDS demands","Known Flow",288109.932553,697163.884914,,0.000000,,-24.999999,,,,,,,-22.355447,-24.999999,,"",,"C2 PROFILE",,,,,,
"64403200000402","Nodes","402",21.000000,30.763429,"DDS demands","Known Flow",288397.757631,696882.602838,,0.000000,,,,,-22.299999,,,,-19.941059,-22.299999,,"",,,,,"D1 PROFILE",,,
"64403200001000","Nodes","1000",21.000000,28.865123,"Default Known Flow Node","Known Flow",288244.301854,696718.352081,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005099","Nodes","5099",21.000000,28.825868,"Default Known Flow Node","Known Flow",288203.778579,696714.449792,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005140","Nodes","5140",21.000000,29.523605,"Default Known Flow Node","Known Flow",288339.178615,697323.585958,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005119","Nodes","5119",21.000000,29.498755,"Default Known Flow Node","Known Flow",288284.551600,697312.154955,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005071","Nodes","5071",21.000000,29.592813,"Default Known Flow Node","Known Flow",288046.107536,697056.691885,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200001006","Nodes","1006, Council Offices OPR, Site ID 0038",21.000000,29.566072,"OPR","Known Flow",288041.212222,697056.701010,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000238","Nodes","Logger 9540",21.000000,29.496106,"DDS demands","Known Flow",288028.404531,697056.724885,,0.000000,,,,,-4.730000,,,,-4.229650,-4.730000,,"",,,,,"D1 PROFILE",,,
"64403200000465","Nodes","465",21.000000,23.910806,"DDS demands","Known Flow",287661.022127,696808.961808,,0.000000,,,,,-4.909999,,,,-4.390609,-4.909999,,"",,,,,"D1 PROFILE",,,
"64403200001004","Nodes","1004",21.000000,23.774705,"Default Known Flow Node","Known Flow",287660.831667,696837.849828,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000030","Nodes","30",21.000000,30.767081,"DDS demands","Known Flow",287399.717360,697179.375918,,0.000000,,,,,-8.879999,,,,-7.940654,-8.879999,,"",,,,,"D1 PROFILE",,,
"64403200000115","Nodes","115",21.000000,28.569507,"DDS demands","Known Flow",288585.705682,697040.701881,,0.000000,,,,,-4.610000,,,,-4.122344,-4.610000,,"",,,,,"D1 PROFILE",,,
"64403200001002","Nodes","1002",21.000000,30.100102,"Default Known Flow Node","Known Flow",288589.909923,697079.859155,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005309","Nodes","5309",21.000000,30.083511,"Default Known Flow Node","Known Flow",288592.755860,697080.148457,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000038","Nodes","38",21.000000,30.931865,"DDS demands","Known Flow",287314.953337,697029.128877,,0.000000,,,,,-8.979999,,,,-8.030076,-8.979999,,"",,,,,"D1 PROFILE",,,
"64403200001001","Nodes","1001",21.000000,32.504439,"Default Known Flow Node","Known Flow",287227.842620,697027.017467,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000155","Nodes","155",21.000000,28.933998,"DDS demands","Known Flow",288268.328596,696730.105796,,0.000000,,,,,-2.619999,,,,-2.342850,-2.619999,,"",,,,,"D1 PROFILE",,,
"64403200000436","Nodes","436",21.000000,28.611230,"DDS demands","Known Flow",287456.233375,696945.467855,,0.000000,,,,,-7.099999,,,,-6.348946,-7.099999,,"",,,,,"D1 PROFILE",,,
"64403200005033","Nodes","5033",21.000000,28.608742,"Default Known Flow Node","Known Flow",287456.589375,696940.121853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000209","Nodes","209",21.000000,28.790343,"DDS demands","Known Flow",287420.045584,696945.281330,,0.000000,,,,,-6.170000,,,,-5.517324,-6.170000,,"",,,,,"D1 PROFILE",,,
"64403200005321","Nodes","5321",21.000000,28.734477,"Default Known Flow Node","Known Flow",287428.147928,696945.189704,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000023","Nodes","23",21.000000,29.038386,"DDS demands","Known Flow",287378.395354,696929.751850,,0.000000,,,,,-9.909999,,,,-8.861699,-9.909999,,"",,,,,"D1 PROFILE",,,
"64403200000024","Nodes","24",21.000000,28.500378,"DDS demands","Known Flow",287355.999348,696875.954836,,0.000000,,,,,-2.130000,,,,-1.904684,-2.130000,,"",,,,,"D1 PROFILE",,,
"64403200000210","Nodes","210",21.000000,28.330125,"DDS demands","Known Flow",287347.191345,696869.190834,,0.000000,,,,,-1.630000,,,,-1.457575,-1.630000,,"",,,,,"D1 PROFILE",,,
"64403200000025","Nodes","25",21.000000,28.320382,"DDS demands","Known Flow",287336.056342,696881.437837,,0.000000,,,,,-2.910000,,,,-2.602174,-2.910000,,"",,,,,"D1 PROFILE",,,
"64403200000449","Nodes","449",21.000000,28.320382,"Default Known Flow Node","Known Flow",287328.144340,696891.288840,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000022","Nodes","22",21.000000,31.395058,"DDS demands","Known Flow",287286.466329,696878.096836,,0.000000,,,,,-4.829999,,,,-4.319072,-4.829999,,"",,,,,"D1 PROFILE",,,
"64403200005032","Nodes","5032",21.000000,31.395058,"Default Known Flow Node","Known Flow",287297.952332,696884.871838,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005031","Nodes","5031",21.000000,31.396975,"Default Known Flow Node","Known Flow",287266.404323,696955.054857,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000437","Nodes","437",21.000000,28.563029,"DDS demands","Known Flow",287458.166833,696841.791070,,0.000000,,,,,-4.039999,,,,-3.612640,-4.039999,,"",,,,,"D1 PROFILE",,,
"64403200005035","Nodes","5035",21.000000,25.372172,"Default Known Flow Node","Known Flow",287493.805385,696836.408825,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005036","Nodes","5036",21.000000,25.346954,"Default Known Flow Node","Known Flow",287493.745963,696849.548677,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000059","Nodes","59",21.000000,25.300577,"DDS demands","Known Flow",287497.551386,696870.168834,,0.000000,,,,,-9.069999,,,,-8.110555,-9.069999,,"",,,,,"D1 PROFILE",,,
"64403200005034","Nodes","5034",21.000000,25.346954,"Default Known Flow Node","Known Flow",287491.525385,696849.923829,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005162","Nodes","5162",21.000000,30.217519,"Default Known Flow Node","Known Flow",287348.819346,696986.040866,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000029","Nodes","29",21.000000,30.217486,"DDS demands","Known Flow",287348.819346,696984.667865,,0.000000,,,,,-3.329999,,,,-2.977745,-3.329999,,"",,,,,"D1 PROFILE",,,
