"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64301500001081","Nodes","P00078158, Rosevale Street CSEP, 56.40",24.000000,34.212864,"CSEP DDS Matched","Known Flow",298213.626574,575810.005334,,0.000000,,,,,,,,-35.869998,,,,,,-32.075595,-35.869998,,"",,,,,,,,"DC PROFILE",,,,,
"64301500000819","Nodes","819",21.000000,34.273893,"DDS demands","Known Flow",298191.722296,575793.433888,,0.000000,,,,,,,-3.209999,,,,,,,-2.870439,-3.209999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500224823","Nodes","224823",21.000000,30.864051,"Default Known Flow Node","Known Flow",294968.191419,578587.581649,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500375950","Nodes","375950",21.000000,30.254076,"Default Known Flow Node","Known Flow",294701.916186,578784.508749,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002217","Nodes","2217",21.000000,27.375392,"DDS demands","Known Flow",298018.189249,573829.940354,,0.000000,,,,,,,-9.109999,,,,,,,-8.146324,-9.109999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500000541","Nodes","541",21.000000,31.192940,"DDS demands","Known Flow",298233.472308,576563.059098,,0.000000,-5.169999,,,,,,-21.120001,,,,,,,-23.508988,-26.290000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"64301500000707","Nodes","707",21.000000,32.927115,"DDS demands","Known Flow",297090.096997,575224.683733,,0.000000,,,,,,,-11.019999,,,,,,,-9.854281,-11.019999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001079","Nodes","1079",21.000000,32.511972,"Default Known Flow Node","Known Flow",297078.265901,575202.035117,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500072839","Nodes","72839",21.000000,41.444363,"Default Known Flow Node","Known Flow",297192.347024,575531.183817,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001846","Nodes","1846",21.000000,42.791977,"Default Known Flow Node","Known Flow",297232.972035,575556.433824,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002181","Nodes","2181",21.000000,31.562497,"DDS demands","Known Flow",296693.971889,576016.808949,,0.000000,,,,,,,-18.989999,,,,,,,-16.981198,-18.989999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001078","Nodes","1078",21.000000,31.546143,"Default Known Flow Node","Known Flow",296684.129867,576006.436030,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002182","Nodes","2182",21.000000,31.685912,"DDS demands","Known Flow",296588.596860,575901.308918,,0.000000,,,,,,,-13.910000,,,,,,,-12.438570,-13.910000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001077","Nodes","1077",21.000000,23.320405,"Default Known Flow Node","Known Flow",299542.481016,579365.423862,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000040","Nodes","40",21.000000,23.325252,"DDS demands","Known Flow",299611.691683,579365.506860,,0.000000,,,,,,,-10.939999,,,,,,,-9.782743,-10.939999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500000277","Nodes","277",21.000000,27.019337,"DDS demands","Known Flow",298041.097255,577500.559353,,0.000000,,,,,,,-8.680000,,,,,,,-7.761811,-8.680000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001076","Nodes","1076",21.000000,27.004995,"Default Known Flow Node","Known Flow",298087.225404,577493.709929,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001035","Nodes","1035",21.000000,26.976542,"Default Known Flow Node","Known Flow",298112.686393,577555.583289,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001369","Nodes","1369",21.000000,32.962260,"DDS demands","Known Flow",298867.972480,575054.808687,,0.000000,,,,,,,-6.159999,,,,,,,-5.508382,-6.159999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001075","Nodes","1075",21.000000,32.949851,"Default Known Flow Node","Known Flow",298852.472138,575074.987225,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500156869","Nodes","156869",21.000000,32.699433,"Default Known Flow Node","Known Flow",298826.722469,575140.808711,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
