"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400500001005","Nodes","1005",21.000000,31.881566,"Default Known Flow Node","Known Flow",290904.812500,677522.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-416","Nodes","-416",21.000000,32.380403,"Default Known Flow Node","Known Flow",290949.875000,677557.375000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-144","Nodes","-144",21.000000,26.181602,"Default Known Flow Node","Known Flow",290211.625000,676941.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010871","Nodes","10871",21.000000,26.181072,"DDS demands","Known Flow",290213.000000,676935.500000,,0.000000,,,,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500010944","Nodes","10944",21.000000,27.642872,"DDS demands","Known Flow",292685.500000,677916.750000,,0.000000,,,,,-21.829999,,,,,,,,-19.520775,-21.829999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500010252","Nodes","10252",21.000000,27.879264,"DDS demands","Known Flow",292667.375000,677860.125000,,0.000000,-6.869999,,,,-49.760000,,,,-6.000000,,,,-56.004869,-62.630001,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,"I2 PROFILE",,,,
"64400500010943","Nodes","10943",21.000000,27.982135,"DDS demands","Known Flow",292657.375000,677835.250000,,0.000000,-2.750000,,,,-46.579999,,,,,,,,-44.111768,-49.329999,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,,
"64400500001261","Nodes","1261",21.000000,31.812956,"DDS demands","Known Flow",292968.000000,677633.750000,,0.000000,,,,,-0.360000,,,,,,,,-0.321918,-0.360000,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500014320","Nodes","Logger 9404, Torwood, Maddiston Road",21.000000,34.877850,"Val Log Cath","Known Flow",293050.093750,677510.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010274","Nodes","10274",21.000000,36.206963,"DDS demands","Known Flow",293106.375000,677471.375000,,0.000000,,,,,-42.290002,,,,,,,,-37.816479,-42.290002,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000057","Nodes","57",21.000000,23.574183,"DDS demands","Known Flow",291752.351017,679336.269959,,,,,,,-46.769998,,,,,,,,-41.822568,-46.769998,,,,,,,,"D1 PROFILE",,,,,,,,
