"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64400900046984","Nodes","MAXIMO 457589 - DIVERSIFIED LOAD ADDED",21.000000,25.450370,"Point Loads","Known Flow",279003.206238,691411.413008,,0.000000,,,,,,,,,,,,,-15.999999,,,-14.307486,-15.999999,,"",,,,,,,,,,,,,"PL-AF PROFILE",,
"64400900049249","Nodes","-5023",21.000000,36.338868,"Default Known Flow Node","Known Flow",281662.091798,689461.590818,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"64400900000650","Nodes","P10125520, St Modans CSEP, 145.02",21.000000,25.126895,"CSEP DDS Matched","Known Flow",281498.115803,693521.140778,,0.000000,,,,,-145.020001,,,,,,,,,,,-129.679480,-145.020001,,"",,,,,"CC PROFILE",,,,,,,,,,
"64400900003494","Nodes","P08119200, Borrowmeadow Road CSEP, 10.62",22.999998,64.981841,"CSEP DDS Matched","Known Flow",281118.092650,693211.465839,,0.000000,,,,,-10.620000,,,,,,,,,,,-9.496594,-10.620000,,"",,,,,"CC PROFILE",,,,,,,,,,
"64400900003630","Nodes","P09121026, Museum Hall Henderson Street CSEP, 14.40",22.999998,32.264650,"CSEP DDS Matched","Known Flow",279859.305585,697156.564220,,0.000000,,,,,,,,-14.399999,,,,,,,,-12.876737,-14.399999,,"",,,,,,,,"DC PROFILE",,,,,,,
"64400900048952","Nodes","-4584",21.000000,38.820271,"Default Known Flow Node","Known Flow",281163.342663,690306.590048,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"64400900048753","Nodes","-38880",21.000000,39.397283,"Default Known Flow Node","Known Flow",281112.379015,690310.558021,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"64400900003036","Nodes","3036",21.000000,39.667781,"DDS demands","Known Flow",281090.217643,690305.965048,,0.000000,-1.830000,,,,,,,,,,,,,,,-1.636418,-1.830000,,"","C1 PROFILE",,,,,,,,,,,,,,
"64400900000822","Nodes","822",21.000000,37.126440,"DDS demands","Known Flow",279429.342191,691896.215481,,0.000000,,,,,,,-24.310000,,,,,,,,,-21.738438,-24.310000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"64400900046469","Nodes",,21.000000,39.880251,"DDS demands","Known Flow",279615.342242,691718.340432,,0.000000,-8.930000,,,,,,-16.500000,,,,,,,,,-22.739961,-25.430000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,
