"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"82011600001676","Nodes","1676","21.000000","34.596540","Default Known Flow Node","Known Flow","449470.755059","104918.436673","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600001373","Nodes","1373","21.000000","43.121222","DDS demands","Known Flow","452756.389355","108128.181633","","0.000000","","","","","","","","","-1.080000","","","","-0.965755","-1.080000","","","","","","","","","","","","I2 PROFILE","","","",""
"82011600005352","Nodes","5352","21.000000","43.179282","Default Known Flow Node","Known Flow","452765.514358","108121.931631","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600001374","Nodes","1374","21.000000","43.116475","DDS demands","Known Flow","452734.889349","108129.306633","","0.000000","","","","","","","","","-7.889999","","","","-7.055379","-7.889999","","","","","","","","","","","","I2 PROFILE","","","",""
"82011600005358","Nodes","5358","21.000000","59.073250","Default Known Flow Node","Known Flow","452989.389419","109038.681880","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600002155","Nodes","2155","21.000000","59.702585","Default Known Flow Node","Known Flow","453026.889429","109086.806894","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600001402","Nodes","1402","21.000000","59.702449","DDS demands","Known Flow","453046.264434","109102.056898","","0.000000","","","","-11.239999","","","","","","","","","-10.051008","-11.239999","","","","","","","C4 PROFILE","","","","","","","","",""
"82011600001343","Nodes","1343","21.000000","41.566229","DDS demands","Known Flow","452478.014279","106765.306262","","0.000000","","","","","","","-6.070000","","","","","","-5.427902","-6.070000","","","","","","","","","","D1 PROFILE","","","","","",""
"82011600002138","Nodes","2138","21.000000","56.994374","Default Known Flow Node","Known Flow","453110.764452","108861.681832","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600002137","Nodes","2137","21.000000","52.142869","DDS demands","Known Flow","453156.993574","108893.550051","","0.000000","-130.570003","","","","","","-6.459999","","-26.530001","","","","-146.258281","-163.560011","","","","C1 PROFILE","","","","","","D1 PROFILE","","I2 PROFILE","","","",""
"82011600001404","Nodes","1404","21.000000","56.720202","Default Known Flow Node","Known Flow","453196.889475","108805.181817","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82011600001403","Nodes","1403","21.000000","57.214730","DDS demands","Known Flow","453086.764445","108890.931840","","0.000000","-10.719999","","","","","","","","-13.319999","","","","-21.496997","-24.039999","","","","C1 PROFILE","","","","","","","","I2 PROFILE","","","",""
"82011600000558","Nodes","558","21.000000","32.243508","DDS demands","Known Flow","452883.389390","107472.056454","","0.000000","","","","","","","-16.129999","","","","","","-14.423734","-16.129999","","","","","","","","","","D1 PROFILE","","","","","",""
"82011600002129","Nodes","2129","21.000000","34.917861","DDS demands","Known Flow","452863.264384","107415.556439","","0.000000","","","","","","","-36.930000","","","","","","-33.023467","-36.930000","","","","","","","","","","D1 PROFILE","","","","","",""
