"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"82061400000041","Nodes","41",21.000000,59.925798,"DDS demands","Known Flow",442759.926250,125197.161562,,0.000000,,,,-23.320000,,-20.853161,-23.320000,,"",,,,"D1 PROFILE",
"82061400000040","Nodes","40",21.000000,63.721165,"Default Known Flow Node","Known Flow",442790.113750,125051.958437,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"82061400000022","Nodes","22",21.000000,69.004803,"DDS demands","Known Flow",442790.886750,125358.810395,,0.000000,,,-6.130000,-8.800000,,-13.350673,-14.930000,,"",,,"C4 PROFILE","D1 PROFILE",
"82061400000021","Nodes","21",21.000000,69.977544,"DDS demands","Known Flow",442638.332500,125374.356875,,0.000000,-13.149999,,,-3.520000,,-14.906612,-16.669999,,"","",,,"D1 PROFILE",
"82061400000001","Nodes","HURSLEY PARK DG",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",442636.613750,125379.958437,,1699.999960,,,,,,169.418495,189.460001,,"",,,,,
"82061400000023","Nodes","23",21.000000,68.291089,"DDS demands","Known Flow",442680.885493,125592.558449,,0.000000,,,,-18.909999,,-16.909660,-18.909999,,"",,,,"D1 PROFILE",
"82061400000043","Nodes","43",21.000000,68.320136,"DDS demands","Known Flow",442684.832500,125579.458437,,0.000000,,,,-5.099999,,-4.560511,-5.099999,,"",,,,"D1 PROFILE",
"82061400000033","Nodes","33",21.000000,63.337066,"DDS demands","Known Flow",442910.926250,125320.060000,,0.000000,,,,-0.820000,,-0.733258,-0.820000,,"",,,,"D1 PROFILE",
"82061400000032","Nodes","32",21.000000,63.338122,"DDS demands","Known Flow",442920.886878,125341.063283,,0.000000,,,,-6.370000,,-5.696168,-6.370000,,"",,,,"D1 PROFILE",
"82061400000035","Nodes","35",21.000000,64.170689,"DDS demands","Known Flow",442962.426250,125495.661562,,0.000000,,,,-4.159999,,-3.719946,-4.159999,,"",,,,"D1 PROFILE",
"82061400000034","Nodes","34",21.000000,63.069860,"DDS demands","Known Flow",442990.832500,125359.958437,,0.000000,,,,-9.229999,,-8.253630,-9.229999,,"",,,,"D1 PROFILE",
