"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82060300000352","Nodes","352",21.000000,69.250310,"Default Known Flow Node","Known Flow",480647.595179,96754.427391,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000233","Nodes","233",21.000000,65.744065,"DDS demands","Known Flow",480652.896946,96465.303459,,0.000000,,,,,-8.560000,,,,,,,-7.654505,-8.560000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000216","Nodes","216",21.000000,58.727612,"DDS demands","Known Flow",480810.813989,96745.169535,,0.000000,,,,,-7.699999,,,,,,,-6.885477,-7.699999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000230","Nodes","230",21.000000,66.716354,"DDS demands","Known Flow",480745.807971,96605.157497,,0.000000,,,,,-5.099999,,,,,,,-4.560511,-5.099999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000231","Nodes","231",21.000000,66.628914,"DDS demands","Known Flow",480795.260985,96583.161491,,0.000000,,,,,-5.099999,,,,,,,-4.560511,-5.099999,,"",,,,,"D1 PROFILE",,,,,,
"82060300043750","Nodes","43750",21.000000,55.348678,"Default Known Flow Node","Known Flow",480778.748980,96999.296604,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000222","Nodes","222",21.000000,51.260415,"DDS demands","Known Flow",480816.396991,96909.053580,,0.000000,,,,,-8.120000,,,,,,,-7.261049,-8.120000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000224","Nodes","224",21.000000,50.818334,"DDS demands","Known Flow",480902.147014,96887.678574,,0.000000,,,,,-8.989999,,,,,,,-8.039018,-8.989999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000223","Nodes","223",21.000000,51.239304,"DDS demands","Known Flow",480799.771986,96898.553577,,0.000000,,,,,-3.489999,,,,,,,-3.120820,-3.489999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000218","Nodes","P14133505, BEECH AVENUE CSEP, 40.89 SCMH",22.999998,52.063776,"CSEP Unmatched","Known Flow",480865.331518,96721.454043,,0.000000,,,,,-5.260000,,,,,,-40.889998,-41.268154,-46.149998,,"",,,,,"D1 PROFILE",,,,,,"DC PROFILE"
