"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82011400000137","Nodes","137",21.000000,44.646202,"DDS demands","Known Flow",446141.214555,148222.139543,,0.000000,,,,,,-4.770000,,,,,-4.265419,-4.770000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000196","Nodes","196",21.000000,31.852565,"DDS demands","Known Flow",446940.679125,148329.688137,,0.000000,,,,,,-22.870001,,,,,-20.450765,-22.870001,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000193","Nodes","193",21.000000,32.289238,"DDS demands","Known Flow",447059.261209,148289.167063,,0.000000,,,,,,-4.130000,,,,,-3.693120,-4.130000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000437","Nodes","437",21.000000,29.830833,"DDS demands","Known Flow",446286.844735,148759.118674,,0.000000,,,,,,-16.850000,,,,,-15.067571,-16.850000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400008001","Nodes","8001",21.000000,29.805863,"DDS demands","Known Flow",446319.385840,148679.916820,,0.000000,,,,,,-4.449999,,,,,-3.979269,-4.449999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000418","Nodes","418",21.000000,34.045700,"Default Known Flow Node","Known Flow",443461.635628,146424.269584,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000419","Nodes","419",21.000000,34.801678,"Default Known Flow Node","Known Flow",443185.664991,146373.968587,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000411","Nodes","411",21.000000,31.174730,"DDS demands","Known Flow",443735.106440,146258.253971,,0.000000,,,,,,-13.999999,,,,,-12.519050,-13.999999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000314","Nodes","314",21.000000,29.920107,"DDS demands","Known Flow",446447.719734,148782.118579,,0.000000,,,,,,-7.539999,,,,,-6.742402,-7.539999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000042","Nodes","Logger 3641, Dellands Lane",21.000000,40.638746,"Val Log Post","Known Flow",450977.225767,149551.671381,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000554","Nodes","554",21.000000,36.183801,"Default Known Flow Node","Known Flow",438780.754013,146001.941871,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000414","Nodes","414",21.000000,30.245209,"DDS demands","Known Flow",443788.836084,145956.358825,,0.000000,,,,,,-4.389999,,,,,-3.925616,-4.389999,,,"",,,,,,"D1 PROFILE",,,,,
