"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82009000000114","Nodes","114","21.000000","28.179231","DDS demands","Known Flow","460859.969560","86932.443865","","0.000000","","","","","-3.339999","","","-2.986687","-3.339999","","","","","","","D1 PROFILE","",""
"82009000000122","Nodes","122","21.000000","32.993528","Default Known Flow Node","Known Flow","460303.763409","85955.764599","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000491","Nodes","-4904544","21.000000","33.016817","Default Known Flow Node","Known Flow","460297.770335","85960.565251","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000121","Nodes","121","21.000000","29.513484","Default Known Flow Node","Known Flow","460290.701427","85962.940302","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000200","Nodes","Morton Road DG","21.000000","33.999999","Default Known Pressure Node","Known Pressure","460297.413407","85963.438602","","359.999986","","","","","","","","125.475105","140.318271","","","","","","","","",""
"82009000000498","Nodes","","21.000000","33.019659","Default Known Flow Node","Known Flow","460297.642407","85961.582601","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000124","Nodes","124","21.000000","32.796662","DDS demands","Known Flow","460352.436422","85932.476593","","0.000000","","","","","-6.900000","","","-6.170103","-6.900000","","","","","","","D1 PROFILE","",""
"82009000000126","Nodes","126","21.000000","29.227581","DDS demands","Known Flow","460322.485414","85868.220576","","0.000000","","","","","-7.150000","","","-6.393657","-7.150000","","","","","","","D1 PROFILE","",""
"82009000000125","Nodes","125","21.000000","32.993528","Default Known Flow Node","Known Flow","460288.535405","85926.783592","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000112","Nodes","112","21.000000","26.768354","DDS demands","Known Flow","460448.375891","86434.532278","","0.000000","","","","","-5.169999","","","-4.623106","-5.169999","","","","","","","D1 PROFILE","",""
"82009000000476","Nodes","-1462489","21.000000","26.991174","Default Known Flow Node","Known Flow","460475.883305","86481.372839","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000070","Nodes","70","21.000000","26.987870","DDS demands","Known Flow","460478.398456","86485.319744","","0.000000","","","","","-6.510000","","","-5.821358","-6.510000","","","","","","","D1 PROFILE","",""
"82009000000488","Nodes","-32","21.000000","25.796932","Default Known Flow Node","Known Flow","460362.669097","86247.025441","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000487","Nodes","-29","21.000000","25.796932","Default Known Flow Node","Known Flow","460363.558425","86241.148677","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000081","Nodes","81","21.000000","25.341063","DDS demands","Known Flow","460385.680431","86197.174665","","0.000000","","","","","-9.310000","","","-8.325168","-9.310000","","","","","","","D1 PROFILE","",""
"82009000000484","Nodes","-1462531","21.000000","25.358672","Default Known Flow Node","Known Flow","460392.904923","86192.087634","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000118","Nodes","118","21.000000","25.776010","DDS demands","Known Flow","460413.962439","86242.028677","","0.000000","","","","","-5.539999","","","-4.953967","-5.539999","","","","","","","D1 PROFILE","",""
"82009000000120","Nodes","120","21.000000","29.060129","DDS demands","Known Flow","460428.728443","86181.250661","","0.000000","","","","","-7.730000","","","-6.912304","-7.730000","","","","","","","D1 PROFILE","",""
"82009000000486","Nodes","-28","21.000000","29.103366","Default Known Flow Node","Known Flow","460458.311451","86226.232673","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000078","Nodes","78","21.000000","27.414758","Default Known Flow Node","Known Flow","460433.175444","86177.548660","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000479","Nodes","-1462509","21.000000","27.414758","Default Known Flow Node","Known Flow","460430.984443","86174.449659","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000077","Nodes","77","21.000000","27.248971","DDS demands","Known Flow","460442.030446","86190.349663","","0.000000","","","","","-2.259999","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","",""
"82009000000076","Nodes","76","21.000000","27.196736","DDS demands","Known Flow","460498.637462","86173.709659","","0.000000","","","","","-5.689999","","","-5.088099","-5.689999","","","","","","","D1 PROFILE","",""
"82009000000485","Nodes","-1462536","21.000000","26.241152","DDS demands","Known Flow","460414.514439","86356.273708","","0.000000","-5.650000","","","","","","","-5.052331","-5.650000","","","C1 PROFILE","","","","","",""
"82009000000104","Nodes","","0.000000","26.616313","DDS demands","Known Flow","460569.958726","86456.875134","","0.000000","","","","","-17.809999","","","-15.926020","-17.809999","","","","","","","D1 PROFILE","",""
"82009000000113","Nodes","113","21.000000","26.368613","DDS demands","Known Flow","460492.742460","86417.238725","","0.000000","","","","","-1.510000","","","-1.350269","-1.510000","","","","","","","D1 PROFILE","",""
"82009000000080","Nodes","80","21.000000","26.899485","DDS demands","Known Flow","460458.515061","86215.747202","","0.000000","","","","","-14.850000","","","-13.279136","-14.850000","","","","","","","D1 PROFILE","",""
"82009000000074","Nodes","74","21.000000","26.779090","DDS demands","Known Flow","460485.842458","86258.632682","","0.000000","","","","","-3.980000","","","-3.558987","-3.980000","","","","","","","D1 PROFILE","",""
"82009000000079","Nodes","79","21.000000","27.196060","DDS demands","Known Flow","460483.261458","86128.206646","","0.000000","","","","","-2.499999","","","-2.235544","-2.499999","","","","","","","D1 PROFILE","",""
"82009000000117","Nodes","-36","21.000000","26.574617","DDS demands","Known Flow","460517.806467","86344.632705","","0.000000","","","","","-18.319999","","","-16.382072","-18.319999","","","","","","","D1 PROFILE","",""
"82009000000075","Nodes","75","21.000000","26.777128","DDS demands","Known Flow","460517.692467","86231.872675","","0.000000","","","","","-4.090000","","","-3.657351","-4.090000","","","","","","","D1 PROFILE","",""
"82009000000482","Nodes","-1462522","21.000000","27.196736","Default Known Flow Node","Known Flow","460503.569463","86172.638658","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000489","Nodes","","0.000000","27.415856","DDS demands","Known Flow","460712.187903","86751.485025","","0.000000","","","","","-5.389999","","","-4.819834","-5.389999","","","","","","","D1 PROFILE","",""
"82009000000490","Nodes","-45","21.000000","27.281455","DDS demands","Known Flow","460499.747754","86567.684346","","0.000000","","","","","-11.740000","","","-10.498118","-11.740000","","","","","","","D1 PROFILE","",""
"82009000000029","Nodes","29","21.000000","27.071126","DDS demands","Known Flow","460581.130228","86815.785640","","0.000000","","","","","-21.170001","","","-18.930594","-21.170001","","","","","","","D1 PROFILE","",""
"82009000000030","Nodes","30","21.000000","27.284803","DDS demands","Known Flow","460541.259718","86691.805478","","0.000000","","","","","-10.150000","","","-9.076311","-10.150000","","","","","","","D1 PROFILE","",""
"82009000000103","Nodes","103","21.000000","31.554572","DDS demands","Known Flow","460675.230173","86994.422476","","0.000000","","","","","-2.219999","","","-1.985163","-2.219999","","","","","","","D1 PROFILE","",""
"82009000000034","Nodes","34","21.000000","29.034964","DDS demands","Known Flow","460693.012515","86928.141864","","0.000000","","","","","-5.330000","","","-4.766181","-5.330000","","","","","","","D1 PROFILE","",""
"82009000000067","Nodes","67","21.000000","27.850643","DDS demands","Known Flow","460667.162508","86895.200855","","0.000000","","","","","-11.060000","","","-9.890050","-11.060000","","","","","","","D1 PROFILE","",""
