"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"82922900000040","Nodes","40",21.000000,29.518881,"Default Known Flow Node","Known Flow",425436.906250,148946.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000041","Nodes","41",21.000000,29.599298,"DDS demands","Known Flow",425436.093750,148952.906250,,0.000000,-27.009999,,,,-24.152825,-27.009999,,"","C1 PROFILE",,,
"82922900000110","Nodes","-12354",21.000000,26.789494,"Default Known Flow Node","Known Flow",425898.250000,148981.437500,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000102","Nodes","-105917",21.000000,26.789494,"Default Known Flow Node","Known Flow",425876.125000,148979.250000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000093","Nodes",,21.000000,29.975174,"DDS demands","Known Flow",425708.536269,149147.693089,,0.000000,-15.999999,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,
"82922900000100","Nodes","-1000",21.000000,25.862266,"Default Known Flow Node","Known Flow",425835.812500,149217.250000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000031","Nodes","31",21.000000,25.545022,"DDS demands","Known Flow",425899.281250,149205.671875,,0.000000,,,-3.000000,,-2.682653,-3.000000,,"",,,"D1 PROFILE",
"82922900000092","Nodes","92",21.000000,26.800388,"Default Known Flow Node","Known Flow",425824.406250,148998.562500,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000049","Nodes","49",21.000000,26.578063,"Default Known Flow Node","Known Flow",425896.218750,149008.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000006","Nodes",,21.000000,22.852139,"DDS demands","Known Flow",425712.487827,149022.321916,,0.000000,-15.999999,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,
"82922900000077","Nodes","77",21.000000,25.001168,"DDS demands","Known Flow",425904.500000,149234.296875,,0.000000,,,-1.429999,,-1.278731,-1.429999,,"",,,"D1 PROFILE",
"82922900000091","Nodes","91",21.000000,26.489173,"Default Known Flow Node","Known Flow",425948.406250,149000.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000090","Nodes","90",21.000000,26.622517,"Default Known Flow Node","Known Flow",425906.093750,149095.250000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000089","Nodes",,21.000000,26.307417,"DDS demands","Known Flow",425745.495916,149093.663212,,0.000000,-15.999999,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,
"82922900000087","Nodes","87",21.000000,26.578063,"Default Known Flow Node","Known Flow",425951.437500,149111.437500,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000088","Nodes","88",21.000000,26.622517,"Default Known Flow Node","Known Flow",425906.875000,149109.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000032","Nodes","32",21.000000,26.578063,"Default Known Flow Node","Known Flow",425909.656250,149167.921875,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000086","Nodes","86",21.000000,26.666976,"Default Known Flow Node","Known Flow",425856.468750,149171.218750,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000085","Nodes","85",21.000000,26.533616,"Default Known Flow Node","Known Flow",425950.687500,149157.531250,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000067","Nodes","67",21.000000,22.142059,"DDS demands","Known Flow",425843.406250,149332.406250,,0.000000,,,-4.460000,,-3.988211,-4.460000,,"",,,"D1 PROFILE",
"82922900000069","Nodes","69",21.000000,22.721074,"DDS demands","Known Flow",425920.906250,149297.906250,,0.000000,,,-5.719999,,-5.114926,-5.719999,,"",,,"D1 PROFILE",
"82922900000065","Nodes","65",21.000000,22.000138,"DDS demands","Known Flow",425814.406250,149352.406250,,0.000000,,,-3.589999,,-3.210242,-3.589999,,"",,,"D1 PROFILE",
"82922900000079","Nodes","79",21.000000,37.354929,"DDS demands","Known Flow",425236.906250,148996.203125,,0.000000,,,-3.410000,,-3.049283,-3.410000,,"",,,"D1 PROFILE",
"82922900000080","Nodes","80",21.000000,35.866179,"DDS demands","Known Flow",425151.812500,149083.796875,,0.000000,,,-2.440000,,-2.181891,-2.440000,,"",,,"D1 PROFILE",
"82922900000081","Nodes","81",21.000000,34.713203,"DDS demands","Known Flow",425084.312500,149168.093750,,0.000000,,,-2.339999,,-2.092469,-2.339999,,"",,,"D1 PROFILE",
"82922900000005","Nodes","5, ""LAMBDOWN TERRACE SL22D""",21.000000,37.499998,"Default Known Pressure Node","Known Pressure",425245.250000,148991.625000,,349.999985,,,,,16.659277,18.629999,,"",,,,
"82922900000001","Nodes","1, ""SWINTON BARRACKS SS07D""",21.000000,30.500000,"Default Known Pressure Node","Known Pressure",425446.250000,148954.375000,,2099.999985,,,,,362.587439,405.479994,,"",,,,
"82922900000039","Nodes","39",21.000000,29.336559,"Default Known Flow Node","Known Flow",425451.906250,148947.406250,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000023","Nodes","23",21.000000,25.328015,"DDS demands","Known Flow",425819.906250,148727.000000,,0.000000,,,-1.919999,,-1.716898,-1.919999,,"",,,"D1 PROFILE",
"82922900000022","Nodes","22",21.000000,25.241612,"DDS demands","Known Flow",425869.406250,148733.796875,,0.000000,,,-2.200000,,-1.967279,-2.200000,,"",,,"D1 PROFILE",
"82922900000034","Nodes","34",21.000000,26.882946,"Default Known Flow Node","Known Flow",425826.312500,148972.593750,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000011","Nodes","11",21.000000,26.398445,"DDS demands","Known Flow",425841.593750,148861.000000,,0.000000,,,-2.079999,,-1.859973,-2.079999,,"",,,"D1 PROFILE",
"82922900000013","Nodes","13",21.000000,26.374476,"DDS demands","Known Flow",425843.093750,148850.000000,,0.000000,,,-2.769999,,-2.476983,-2.769999,,"",,,"D1 PROFILE",
"82922900000014","Nodes","14",21.000000,26.140418,"DDS demands","Known Flow",425845.500000,148833.296875,,0.000000,,,-2.109999,,-1.886799,-2.109999,,"",,,"D1 PROFILE",
"82922900000016","Nodes","16",21.000000,25.960586,"DDS demands","Known Flow",425847.500000,148818.796875,,0.000000,,,-3.910000,,-3.496392,-3.910000,,"",,,"D1 PROFILE",
"82922900000025","Nodes","25",21.000000,25.130092,"DDS demands","Known Flow",425897.593750,148698.593750,,0.000000,,,-2.019999,,-1.806320,-2.019999,,"",,,"D1 PROFILE",
"82922900000024","Nodes","24",21.000000,25.131463,"DDS demands","Known Flow",425874.500000,148695.906250,,0.000000,,,-3.380000,,-3.022456,-3.380000,,"",,,"D1 PROFILE",
"82922900000038","Nodes","38",21.000000,28.468796,"Default Known Flow Node","Known Flow",425522.312500,148968.406250,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000111","Nodes","-175314",21.000000,28.468796,"Default Known Flow Node","Known Flow",425509.250000,148969.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000036","Nodes","36",21.000000,27.900891,"DDS demands","Known Flow",425578.000000,148982.093750,,0.000000,,-25.620001,,,-22.909863,-25.620001,,"",,"C4 PROFILE",,
"82922900000113","Nodes","-175322",21.000000,27.900891,"Default Known Flow Node","Known Flow",425579.000000,148973.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000026","Nodes","26",21.000000,25.138714,"DDS demands","Known Flow",425817.812500,148687.796875,,0.000000,,,-3.170000,,-2.834670,-3.170000,,"",,,"D1 PROFILE",
"82922900000027","Nodes","27",21.000000,25.048361,"DDS demands","Known Flow",425757.312500,148704.593750,,0.000000,,,-3.749999,,-3.353317,-3.749999,,"",,,"D1 PROFILE",
"82922900000007","Nodes","7",21.000000,26.533901,"DDS demands","Known Flow",425839.312500,148878.093750,,0.000000,,,-1.529999,,-1.368153,-1.529999,,"",,,"D1 PROFILE",
"82922900000035","Nodes","35",21.000000,27.782972,"DDS demands","Known Flow",425606.312500,148984.500000,,0.000000,-12.529999,-11.249999,,,-21.264501,-23.779999,,"","C1 PROFILE","C4 PROFILE",,
"82922900000009","Nodes","9",21.000000,26.429012,"DDS demands","Known Flow",425840.000000,148872.906250,,0.000000,,,-1.949999,,-1.743724,-1.949999,,"",,,"D1 PROFILE",
"82922900000008","Nodes","8",21.000000,26.563153,"DDS demands","Known Flow",425798.000000,148865.125000,,0.000000,,,-1.679999,,-1.502286,-1.679999,,"",,,"D1 PROFILE",
"82922900000010","Nodes","10",21.000000,26.332546,"DDS demands","Known Flow",425889.593750,148879.000000,,0.000000,,,-2.970000,,-2.655827,-2.970000,,"",,,"D1 PROFILE",
"82922900000012","Nodes","12",21.000000,26.508066,"DDS demands","Known Flow",425806.000000,148856.796875,,0.000000,,,-2.369999,,-2.119296,-2.369999,,"",,,"D1 PROFILE",
"82922900000015","Nodes","15",21.000000,26.048246,"DDS demands","Known Flow",425914.000000,148841.796875,,0.000000,,,-0.629999,,-0.563357,-0.629999,,"",,,"D1 PROFILE",
"82922900000101","Nodes","-105910",21.000000,25.949373,"Default Known Flow Node","Known Flow",425847.625000,148817.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"82922900000017","Nodes","17",21.000000,26.018301,"DDS demands","Known Flow",425810.093750,148813.500000,,0.000000,,,-2.650000,,-2.369677,-2.650000,,"",,,"D1 PROFILE",
"82922900000018","Nodes","18",21.000000,25.342339,"DDS demands","Known Flow",425865.593750,148765.406250,,0.000000,,,-1.949999,,-1.743724,-1.949999,,"",,,"D1 PROFILE",
"82922900000021","Nodes","21",21.000000,25.406569,"DDS demands","Known Flow",425815.000000,148759.093750,,0.000000,,,-2.030000,,-1.815262,-2.030000,,"",,,"D1 PROFILE",
"82922900000019","Nodes","19",21.000000,25.226008,"DDS demands","Known Flow",425919.812500,148771.593750,,0.000000,,,-4.419999,,-3.952443,-4.419999,,"",,,"D1 PROFILE",
"82922900000033","Nodes","33",21.000000,25.196629,"DDS demands","Known Flow",425891.906250,148736.093750,,0.000000,,,-1.190000,,-1.064119,-1.190000,,"",,,"D1 PROFILE",
"82922900000030","Nodes","30",21.000000,26.922825,"DDS demands","Known Flow",425874.000000,148979.000000,,0.000000,,,-22.759999,,-20.352399,-22.759999,,"",,,"D1 PROFILE",
