"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82420900000001","Nodes","DULLAR LANE DG,",21.000000,33.999993,"Default Known Pressure Node","Known Pressure",394666.498548,99236.304213,,0.000000,,,,,,,,38.590424,43.155504,,"",,,,,,,
"82420900000033","Nodes","33,",21.000000,33.990541,"DDS demands","Known Flow",394668.873549,99234.179213,,0.000000,,,-2.460000,,-12.180000,,,-13.091350,-14.640000,,"",,,"C3  PROFILE",,"D1 PROFILE",,
"82420900000016","Nodes","16,",21.000000,22.099566,"DDS demands","Known Flow",394780.956559,100071.459310,,0.000000,,,,,-9.319999,,,-8.334110,-9.319999,,"",,,,,"D1 PROFILE",,
"82420900262943","Nodes","262943,",21.000000,22.007811,"DDS demands","Known Flow",394695.248556,99946.554406,,0.000000,,,,,-11.790000,,,-10.542829,-11.790000,,"",,,,,"D1 PROFILE",,
"82420900000017","Nodes","17,",21.000000,21.961058,"DDS demands","Known Flow",394548.259376,99890.026337,,0.000000,,,,,-13.090000,,,-11.705312,-13.090000,,"",,,,,"D1 PROFILE",,
"82420900000604","Nodes","604,",21.000000,29.492802,"Default Known Flow Node","Known Flow",394559.248519,99468.929276,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000603","Nodes","603,",21.000000,29.492802,"Default Known Flow Node","Known Flow",394525.748510,99503.929286,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000070","Nodes","70,",21.000000,29.336152,"DDS demands","Known Flow",394551.498517,99444.179270,,0.000000,,,,,-5.709999,,,-5.105984,-5.709999,,"",,,,,"D1 PROFILE",,
"82420900310137","Nodes","310137,",21.000000,29.492547,"Default Known Flow Node","Known Flow",394520.998509,99501.429285,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900001000","Nodes","1000,",21.000000,29.132797,"DDS demands","Known Flow",394690.998555,99433.554267,,0.000000,,,,,-6.730000,,,-6.018086,-6.730000,,"",,,,,"D1 PROFILE",,
"82420900000049","Nodes","49,",21.000000,29.317028,"DDS demands","Known Flow",394635.623540,99497.929284,,0.000000,,,,,-9.850000,,,-8.808046,-9.850000,,"",,,,,"D1 PROFILE",,
"82420910001001","Nodes","10001001,",21.000000,29.176213,"Default Known Flow Node","Known Flow",394704.873559,99421.429264,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900001001","Nodes","1001,",21.000000,29.121153,"DDS demands","Known Flow",394665.498548,99391.554255,,0.000000,,,,,-12.799999,,,-11.445988,-12.799999,,"",,,,,"D1 PROFILE",,
"82420900001002","Nodes","1002,",21.000000,29.121153,"Default Known Flow Node","Known Flow",394684.123553,99359.929247,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000010","Nodes","10,",21.000000,22.859165,"DDS demands","Known Flow",394965.297187,99956.668548,,0.000000,,,,,-13.300000,,,-11.893098,-13.300000,,"",,,,,"D1 PROFILE",,
"82420900000022","Nodes","22,",21.000000,22.657558,"DDS demands","Known Flow",394980.498634,100007.804423,,0.000000,,,,,-10.719999,,,-9.586015,-10.719999,,"",,,,,"D1 PROFILE",,
"82420900000011","Nodes","11,",21.000000,22.886331,"DDS demands","Known Flow",394877.163905,100005.364221,,0.000000,,,,,-9.899999,,,-8.852757,-9.899999,,"",,,,,"D1 PROFILE",,
"82420900000027","Nodes","27,",21.000000,23.152119,"DDS demands","Known Flow",394858.123600,99968.179412,,0.000000,,,,,-2.640000,,,-2.360735,-2.640000,,"",,,,,"D1 PROFILE",,
"82420900008002","Nodes","8002,",21.000000,33.314233,"Default Known Flow Node","Known Flow",394952.350667,99472.387901,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900008003","Nodes","8003,",21.000000,33.310933,"DDS demands","Known Flow",394958.123628,99507.054287,,0.000000,,,,,,-14.970000,,-13.386442,-14.970000,,"",,,,,,"I2 PROFILE",
"82420900000054","Nodes","54,",21.000000,33.346140,"Default Known Flow Node","Known Flow",394883.498607,99480.054279,,0.000000,,,,0.000000,0.000000,0.000000,,0.000000,0.000000,,"",,,,"C4 PROFILE","D1 PROFILE","I2 PROFILE",
"82420900000063","Nodes","63,",21.000000,29.493357,"DDS demands","Known Flow",394534.968941,99510.854465,,0.000000,,,,,-10.150000,,,-9.076311,-10.150000,,"",,,,,"D1 PROFILE",,
"82420900000032","Nodes","32,",21.000000,32.675735,"DDS demands","Known Flow",394720.873563,99506.929287,,0.000000,,,,,-14.120000,,,-12.626357,-14.120000,,"",,,,,"D1 PROFILE",,
"82420900000007","Nodes","7,",21.000000,33.734215,"DDS demands","Known Flow",394803.354023,99430.242909,,0.000000,,,,,-3.099999,,,-2.772075,-3.099999,,"",,,,,"D1 PROFILE",,
"82420900000006","Nodes","6,",21.000000,33.883441,"DDS demands","Known Flow",394811.623588,99422.554264,,0.000000,,,,,-11.890000,,,-10.632251,-11.890000,,"",,,,,"D1 PROFILE",,
"82420900000013","Nodes","13,",21.000000,24.014894,"DDS demands","Known Flow",394750.123571,99924.304400,,0.000000,,,,,-7.280000,,,-6.509906,-7.280000,,"",,,,,"D1 PROFILE",,
"82420900000014","Nodes","14,",21.000000,24.338547,"DDS demands","Known Flow",394650.589817,99806.741877,,0.000000,-7.909999,,,,-11.890000,,,-17.705514,-19.799999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"82420900000034","Nodes","34,",21.000000,25.089689,"DDS demands","Known Flow",394742.998569,99672.679332,,0.000000,,,,,-6.320000,,,-5.651457,-6.320000,,"",,,,,"D1 PROFILE",,
"82420900000052","Nodes","52,",21.000000,33.924150,"Default Known Flow Node","Known Flow",394830.873593,99459.929274,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420910000002","Nodes","10000002,",21.000000,32.858300,"Default Known Flow Node","Known Flow",394513.397407,99064.148793,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420901462500","Nodes","1462500,",21.000000,32.858300,"Default Known Flow Node","Known Flow",394509.623506,99061.179166,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000048","Nodes","48,",21.000000,32.763231,"DDS demands","Known Flow",394501.623503,99078.554170,,0.000000,,,,,-9.469999,0.000000,,-8.468243,-9.469999,,"",,,,,"D1 PROFILE","I2 PROFILE",
"82420901462482","Nodes","1462482,",21.000000,33.029442,"Default Known Flow Node","Known Flow",394543.123515,99084.429172,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000005","Nodes","5,",21.000000,33.924839,"DDS demands","Known Flow",394688.623554,99258.179219,,0.000000,,,,,-17.219999,,,-15.398431,-17.219999,,"",,,,,"D1 PROFILE",,
"82420900000002","Nodes","STATION ROAD DG, Site 9222",21.000000,33.999999,"Default Known Pressure Node","Known Pressure",394833.248594,99458.054274,,5149.999957,,,,,,,,481.513545,538.474500,,"",,,,,,,
"82420900000053","Nodes","53,",21.000000,33.365981,"DDS demands","Known Flow",394844.623597,99480.554280,,0.000000,,,,,-1.230000,,,-1.099888,-1.230000,,"",,,,,"D1 PROFILE",,
"82420901462523","Nodes","1462523,",21.000000,21.961058,"Default Known Flow Node","Known Flow",394545.748515,99889.054391,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82420900000039","Nodes","39,",21.000000,29.533612,"DDS demands","Known Flow",394618.248535,99537.929295,,0.000000,,,,,-3.899999,,,-3.487449,-3.899999,,"",,,,,"D1 PROFILE",,
"82420900000065","Nodes","65,",21.000000,29.497569,"DDS demands","Known Flow",394612.998534,99541.929296,,0.000000,,,,,-3.260000,,,-2.915150,-3.260000,,"",,,,,"D1 PROFILE",,
"82420900000043","Nodes","43,",21.000000,30.202998,"DDS demands","Known Flow",394665.373548,99582.679307,,0.000000,,,,,-2.329999,,,-2.083527,-2.329999,,"",,,,,"D1 PROFILE",,
"82420900000050","Nodes","50,",21.000000,29.696445,"DDS demands","Known Flow",394630.288036,99549.513247,,0.000000,,,,,-2.380000,,,-2.128238,-2.380000,,"",,,,,"D1 PROFILE",,
