"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82009900000038","Nodes","38","21.000000","32.555951","DDS demands","Known Flow","373874.665891","118047.767332","","0.000000","","","","","","","","-8.319999","","","-7.439892","-8.319999","","","","","","","","","","I2 PROFILE","",""
"82009900000068","Nodes","68","21.000000","31.997728","DDS demands","Known Flow","373797.735130","118013.908428","","0.000000","","","","","","-16.709999","","","","","-14.942380","-16.709999","","","","","","","","D1 PROFILE","","","",""
"82009900001007","Nodes","1007","21.000000","39.865662","Default Known Flow Node","Known Flow","377346.996835","118484.102451","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82009900001010","Nodes","1010","21.000000","39.908784","DDS demands","Known Flow","377326.688043","118472.799201","","0.000000","","","","","","-1.059999","","","","","-0.947870","-1.059999","","","","","","","","D1 PROFILE","","","",""
"82009900000004","Nodes","YEW HOUSE DG, HUSSEYS BY04M","21.000000","40.000000","Default Known Pressure Node","Known Pressure","377343.551058","118423.485215","","349.999985","","","","","","","","","","","0.947870","1.059999","","","","","","","","","","","",""
"82009900001005","Nodes","1005","21.000000","23.035744","Default Known Flow Node","Known Flow","376703.762660","115615.593670","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82009900001006","Nodes","P08117594, STATION ROAD, 15.69 SCMH","22.999998","32.318628","CSEP DDS Matched","Known Flow","373691.701927","117789.439207","","0.000000","","","","","","","-15.689999","","","","-14.030278","-15.689999","","","","","","","","","DC PROFILE","","",""
"82009900001009","Nodes","1009","21.000000","39.607057","Default Known Flow Node","Known Flow","377271.870815","118513.528459","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82009900001004","Nodes","1004","21.000000","22.947885","Default Known Flow Node","Known Flow","375970.188202","116082.253085","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82009900000029","Nodes","29","21.000000","25.523409","DDS demands","Known Flow","373496.249854","117829.552715","","0.000000","","","","-2.750000","","-12.440000","","","","","-13.583169","-15.190000","","","","","","C4 PROFILE","","D1 PROFILE","","","",""
