"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82000400015916","Nodes","15916",21.000000,22.275939,"Default Known Flow Node","Known Flow",435623.894569,141984.297728,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015776","Nodes","15776",21.000000,30.435422,"Default Known Flow Node","Known Flow",434996.512366,145522.065608,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015934","Nodes","15934",21.000000,30.449703,"Default Known Flow Node","Known Flow",435020.259529,145514.941806,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001543","Nodes","1543",21.000000,30.555342,"DDS demands","Known Flow",435091.759548,145498.316801,,0.000000,,,0.000000,,,-21.080000,,,,,,-18.850112,-21.080000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,
"82000400001960","Nodes","1960",21.000000,31.490729,"DDS demands","Known Flow",435334.634614,146062.191955,,0.000000,,,,,,-1.749999,,,,,,-1.564881,-1.749999,,"",,,,,,"D1 PROFILE",,,,,
"82000400006004","Nodes","6004",21.000000,32.110674,"Default Known Flow Node","Known Flow",435368.652959,146136.681749,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001916","Nodes","P10124885-PJRF129, Shepherd's Row, 14.77",22.999998,31.797942,"CSEP DDS Matched","Known Flow",437096.404043,145380.925179,,0.000000,,,,,,,-14.770000,,,,,-13.207598,-14.770000,,"",,,,,,,"DC PROFILE",,,,
"82000400001828","Nodes","1828",21.000000,32.232014,"Default Known Flow Node","Known Flow",436895.294714,145487.092563,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001237","Nodes","P10124828-9009336, New Street, 13.57",22.999998,26.086718,"CSEP DDS Matched","Known Flow",436697.343249,145940.364196,,0.000000,,,,,,,-13.569999,,,,,-12.134536,-13.569999,,"",,,,,,,"DC PROFILE",,,,
"82000400001826","Nodes","1826",21.000000,32.331294,"DDS demands","Known Flow",436907.760043,145470.316794,,0.000000,,,,,,-3.160000,,,,,,-2.825728,-3.160000,,"",,,,,,"D1 PROFILE",,,,,
"82000400000116","Nodes","116",21.000000,34.649249,"DDS demands","Known Flow",436490.134929,145525.316809,,0.000000,-18.290000,,,-10.549999,,-5.630000,,,,,,-30.823692,-34.470001,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,
"82000400000113","Nodes","113",21.000000,35.193204,"DDS demands","Known Flow",436484.659798,145446.780776,,0.000000,,,-2.049999,,,,,,,,,-1.833146,-2.049999,,"",,,"C3  PROFILE",,,,,,,,
"82000400000120","Nodes","120",21.000000,35.847932,"DDS demands","Known Flow",436491.404090,145366.504397,,0.000000,-35.279999,,-12.979999,,,-9.790000,,,,,,-51.909347,-58.050001,,"","C1 PROFILE",,"C3  PROFILE",,,"D1 PROFILE",,,,,
"82000400001087","Nodes","1087",21.000000,36.427837,"Default Known Flow Node","Known Flow",434017.100922,145605.558215,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015037","Nodes","15037",21.000000,36.243522,"Default Known Flow Node","Known Flow",434037.495285,145569.069070,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001060","Nodes","1060",21.000000,36.018949,"Default Known Flow Node","Known Flow",434063.634269,145496.066801,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015045","Nodes","15045",21.000000,36.572569,"Default Known Flow Node","Known Flow",433994.137495,145642.436522,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015210","Nodes","15210",21.000000,35.875713,"Default Known Flow Node","Known Flow",434829.259477,144726.441591,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000408","Nodes","408",21.000000,36.398186,"Default Known Flow Node","Known Flow",434839.132333,144752.061027,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000425","Nodes","425",21.000000,37.838201,"DDS demands","Known Flow",434905.384498,144732.691593,,0.000000,,,,,,-3.880000,,,,,,-3.469565,-3.880000,,"",,,,,,"D1 PROFILE",,,,,
"82000400000229","Nodes","229",21.000000,39.259907,"DDS demands","Known Flow",434994.384522,144816.566616,,0.000000,,,,,,-0.340000,,,,,,-0.304034,-0.340000,,"",,,,,,"D1 PROFILE",,,,,
"82000400000432","Nodes","P00083326-N3065, 124, Weyhill Road, 12.74",22.999998,30.403049,"CSEP DDS Matched","Known Flow",434939.135507,145545.397814,,0.000000,,,,,,,-12.740000,,,,,-11.392336,-12.740000,,"",,,,,,,"DC PROFILE",,,,
"82000400015213","Nodes","15213",21.000000,39.060099,"Default Known Flow Node","Known Flow",434999.262870,144810.062152,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000347","Nodes","347",21.000000,29.739805,"DDS demands","Known Flow",434828.634477,145581.816824,,0.000000,,,,,,-2.450000,,,,,,-2.190834,-2.450000,,"",,,,,,"D1 PROFILE",,,,,
"82000400001554","Nodes","1554",21.000000,32.386066,"DDS demands","Known Flow",437321.510155,145144.316705,,0.000000,,,,,,-5.650000,,,,,,-5.052331,-5.650000,,"",,,,,,"D1 PROFILE",,,,,
"82000400001557","Nodes","1557",21.000000,32.600864,"Default Known Flow Node","Known Flow",437351.382985,145152.190973,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001556","Nodes","1556",21.000000,32.809755,"DDS demands","Known Flow",437409.135179,145160.566710,,0.000000,,,,,,-7.750000,,,,,,-6.930188,-7.750000,,"",,,,,,"D1 PROFILE",,,,,
"82000400015483","Nodes","15483",21.000000,69.797453,"Default Known Flow Node","Known Flow",435792.866739,147299.339291,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400015266","Nodes","15266",21.000000,69.172976,"DDS demands","Known Flow",435718.918719,147366.596310,,0.000000,,,,,,-0.600000,,,,,,-0.536530,-0.600000,,"",,,,,,"D1 PROFILE",,,,,
"82000400015487","Nodes","15487",21.000000,68.895578,"Default Known Flow Node","Known Flow",435657.415702,147375.954312,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400002414","Nodes","2414",21.000000,28.135177,"Default Known Flow Node","Known Flow",433227.832462,145406.627854,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400002412","Nodes","2412",21.000000,28.135177,"Default Known Flow Node","Known Flow",433210.012013,145438.311044,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000704","Nodes","704",21.000000,28.135177,"Default Known Flow Node","Known Flow",433251.381695,145463.940335,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000559","Nodes","559",21.000000,33.915228,"DDS demands","Known Flow",434767.509460,144843.441623,,0.000000,,,,,,-5.219999,,,,,,-4.667817,-5.219999,,"",,,,,,"D1 PROFILE",,,,,
"82000400000560","Nodes","560",21.000000,33.420127,"DDS demands","Known Flow",434684.259437,144881.066633,,0.000000,,,,,,-9.479999,,,,,,-8.477185,-9.479999,,"",,,,,,"D1 PROFILE",,,,,
"82000400001315","Nodes","1315",21.000000,35.693543,"DDS demands","Known Flow",436236.259860,147559.692362,,0.000000,,,,,,-5.400000,,,,,,-4.828776,-5.400000,,"",,,,,,"D1 PROFILE",,,,,
"82000400002407","Nodes","2407",21.000000,36.139619,"Default Known Flow Node","Known Flow",436203.584536,147473.255905,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400001314","Nodes","1314",21.000000,36.516296,"DDS demands","Known Flow",436196.634849,147411.192322,,0.000000,,,,,,-10.889999,,,,,,-9.738032,-10.889999,,"",,,,,,"D1 PROFILE",,,,,
"82000400015044","Nodes","15044",21.000000,37.126842,"Default Known Flow Node","Known Flow",433997.536958,145801.375158,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000433","Nodes","433",21.000000,28.506972,"DDS demands","Known Flow",434943.282792,146249.822041,,0.000000,,,,,,-9.050000,,,,,,-8.092672,-9.050000,,"",,,,,,"D1 PROFILE",,,,,
"82000400000851","Nodes","851",21.000000,28.509154,"DDS demands","Known Flow",434945.134508,146246.317005,,0.000000,,,,,,-3.780000,,,,,,-3.380143,-3.780000,,"",,,,,,"D1 PROFILE",,,,,
"82000400002302","Nodes","2302",21.000000,30.435804,"Default Known Flow Node","Known Flow",434668.249583,147038.180494,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82000400000823","Nodes","823",21.000000,31.405889,"DDS demands","Known Flow",434770.884461,146983.942206,,0.000000,,,,,,-6.489999,,,,,,-5.803474,-6.489999,,"",,,,,,"D1 PROFILE",,,,,
"82000400015908","Nodes","15908",21.000000,37.024694,"Default Known Flow Node","Known Flow",434932.259505,144891.441636,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
