"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000900001389","Nodes","1389",21.000000,27.864806,"DDS demands","Known Flow",366641.312500,84290.898437,,0.000000,,,-10.369999,0.000000,,,-10.710000,,,,,,,,,-18.850112,-21.080000,,"",,,"C3  PROFILE","C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"82000900000600","Nodes","600",21.000000,32.394885,"DDS demands","Known Flow",365796.906250,78595.296875,,0.000000,,,,,,,-14.489999,,,,,,,,,-12.957217,-14.489999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001068","Nodes","1068, ""PB4801 - 51383.01"", ""Lanehouse Farm,Lanehouse Rocks Road""",24.000000,32.390597,"CSEP DDS Matched","Known Flow",365789.312500,78638.000000,,0.000000,,,,,,,,-19.290000,,,,,,,,-17.249463,-19.290000,,"",,,,,,,,"DC PROFILE",,,,,,,
"82000900001839","Nodes","1839",21.000000,32.458407,"DDS demands","Known Flow",365775.406250,78696.398437,,0.000000,,,,,,,-2.259999,,,,,,,,,-2.020932,-2.259999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001689","Nodes","1689",21.000000,24.091287,"DDS demands","Known Flow",368100.093750,80204.000000,,0.000000,,,,-5.480000,,,-1.230000,,,,,,,,,-6.000202,-6.710000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"82000900001066","Nodes","1066, ""PPS16833 - 56442.01"", ""WEYMOUTH COLLEGE SITE,DORCHESTER R",25.000000,24.042650,"CSEP DDS Matched","Known Flow",368070.375000,80232.500000,,0.000000,,,,,,,,-37.259997,,,,,,,,-33.318557,-37.259997,,"",,,,,,,,"DC PROFILE",,,,,,,
"82000900000397","Nodes","397",21.000000,23.583956,"DDS demands","Known Flow",367970.406250,80370.101562,,0.000000,-0.970000,,-32.810001,0.000000,,,-27.250000,,,,,,,,,-54.574122,-61.030002,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"82000900003133","Nodes","3133",21.000000,32.039268,"Default Known Flow Node","Known Flow",365480.156250,79180.812500,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001039","Nodes","1039",21.000000,32.000695,"Default Known Flow Node","Known Flow",365444.781250,79141.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900003134","Nodes","3134, ""JA2449A  53194.01"", ""BUDMOUTH COLLEGE,EVERDENE DR,WEYMOUT",24.000000,31.908576,"CSEP DDS Matched","Known Flow",365488.625000,79085.781250,,0.000000,,,,,,,,-18.329999,,,,,,,,-16.391014,-18.329999,,"",,,,,,,,"DC PROFILE",,,,,,,
