"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82108000001634","Nodes","1634,""LOWTHER ROAD P07115630"" 10.43",22.999998,34.892176,"CSEP Unmatched","Known Flow",409353.152066,92683.290140,,0.000000,,,,,,,,,,,,-10.430000,,-9.326693,-10.430000,,"",,,,,,,,,,,,"DC PROFILE",
"82108000031633","Nodes","31633",21.000000,36.474818,"DDS demands","Known Flow",402191.000000,93376.601562,,0.000000,,,,,,,-2.470999,,,,,,,-2.209612,-2.470999,,"",,,,,,,"D1 PROFILE",,,,,,
"821080-7659","Nodes","-7659",21.000000,30.494380,"Default Known Flow Node","Known Flow",408642.125000,91276.882812,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"821080-91594","Nodes","-91594",21.000000,30.494947,"Default Known Flow Node","Known Flow",408645.052402,91283.074823,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82108000014738","Nodes","14738",21.000000,30.530547,"DDS demands","Known Flow",408653.375000,91299.632812,,0.000000,-20.649998,,,,,,-12.016999,,-110.929997,,,,,-128.407001,-143.596998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,"I2 PROFILE",,,,
"821080-981595","Nodes","-981595",21.000000,31.676129,"Default Known Flow Node","Known Flow",408671.531250,91338.289062,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"821080-7694","Nodes","-7694",21.000000,31.560395,"Default Known Flow Node","Known Flow",408676.625000,91349.132812,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82108000014546","Nodes","14546, P08118995, 10-12(FLATS1-14) ST.CATHERINES ROAD, -13.57",22.999998,28.538075,"CSEP Unmatched","Known Flow",414509.862054,91263.772822,,0.000000,,,,,,,,,,,,-13.569999,,-12.134536,-13.569999,,"",,,,,,,,,,,,"DC PROFILE",
"82108000014549","Nodes","14549",21.000000,32.671149,"DDS demands","Known Flow",408530.875000,91470.882812,,0.000000,-53.419997,-14.689999,,,,,-21.280001,,,,,,,-79.934135,-89.389997,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,,,
"82108000013322","Nodes","13322",21.000000,38.705211,"DDS demands","Known Flow",407965.000000,92938.882812,,0.000000,,,,,,,-7.817999,,,,,,,-6.990995,-7.817999,,"",,,,,,,"D1 PROFILE",,,,,,
"821080-6927","Nodes","-6927",21.000000,38.517521,"Default Known Flow Node","Known Flow",407965.500000,92931.250000,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"821080-1465235","Nodes","-1465235",21.000000,36.369884,"Default Known Flow Node","Known Flow",412258.250000,91769.632812,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82108000023809","Nodes","23809",21.000000,36.372362,"DDS demands","Known Flow",412257.906250,91766.296875,,0.000000,,,,,,,-5.460000,,,,,,,-4.882429,-5.460000,,"",,,,,,,"D1 PROFILE",,,,,,
"82108000024198","Nodes","24198",21.000000,36.416203,"DDS demands","Known Flow",412259.593750,91757.601562,,0.000000,,,,,,,-3.009000,,,,,,,-2.690701,-3.009000,,"",,,,,,,"D1 PROFILE",,,,,,
"82108000001143","Nodes","1143",21.000000,29.344507,"DDS demands","Known Flow",405141.093750,92917.796875,,0.000000,,,,,,,-17.162000,,,,,,,-15.346568,-17.162000,,"",,,,,,,"D1 PROFILE",,,,,,
"82108000001491","Nodes","1491, CSEP 2-4 KINGSBRIDGE RD P07112964/1",22.999998,26.464209,"CSEP Unmatched","Known Flow",404053.000000,91362.868798,,0.000000,,,,,,,,,,,,-9.500000,,-8.495070,-9.500000,,"",,,,,,,,,,,,"",
"82108000001140","Nodes","1140",21.000000,29.034274,"DDS demands","Known Flow",405036.906250,92777.000000,,0.000000,,,,,,,-32.259999,,,,,,,-28.847468,-32.259999,,"",,,,,,,"D1 PROFILE",,,,,,
"821080-4906362","Nodes","-4906362",21.000000,34.020705,"Default Known Flow Node","Known Flow",405835.375000,91873.609375,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82108000015714","Nodes","15714, P08119873, ASTON WAY MANNINGS HEATH ROAD, -78.46",25.000000,34.017269,"CSEP Unmatched","Known Flow",403910.093750,94322.101562,,0.000000,,,,,,,,,,,-78.459997,,,-70.160338,-78.459997,,"",,,,,,,,,,,"CC PROFILE",,
"821080-4313","Nodes","-4313",21.000000,34.160296,"Default Known Flow Node","Known Flow",405837.000000,91878.500000,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82108000001477","Nodes","1477, P08118877, 629-631 (FLATS1-8) WIMBORNE ROAD",22.999998,29.980895,"CSEP Unmatched","Known Flow",408733.675803,94262.329569,,0.000000,,,,,,,,,,,,-7.750000,,-6.930188,-7.750000,,"",,,,,,,,,,,,"DC PROFILE",
"82108000023423","Nodes","23423",21.000000,29.736413,"DDS demands","Known Flow",413345.156250,92965.656250,,0.000000,,,-1.179999,,,,-20.933999,,,,,,,-19.774733,-22.114000,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
