"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82011800000256","Nodes","256",21.000000,24.008232,"DDS demands","Known Flow",438627.010510,119634.934764,,0.000000,,,,,-5.489999,,,,,,-4.909256,-5.489999,,"",,,,,"D1 PROFILE",,,,,
"82011800008033","Nodes","-3437",21.000000,23.723215,"Default Known Flow Node","Known Flow",438715.510534,119724.309788,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000288","Nodes","288",21.000000,24.272798,"DDS demands","Known Flow",438741.510541,119593.809753,,0.000000,,,,,-5.480000,,,,,,-4.900314,-5.480000,,"",,,,,"D1 PROFILE",,,,,
"82011800000289","Nodes","289",21.000000,23.883539,"DDS demands","Known Flow",438704.760531,119561.559744,,0.000000,,,,,-6.480000,,,,,,-5.794532,-6.480000,,"",,,,,"D1 PROFILE",,,,,
"82011800000290","Nodes","290",21.000000,23.845433,"DDS demands","Known Flow",438687.760527,119585.934750,,0.000000,,,,,-4.320000,,,,,,-3.863021,-4.320000,,"",,,,,"D1 PROFILE",,,,,
"82011800008034","Nodes","-3439",21.000000,24.868769,"Default Known Flow Node","Known Flow",438717.231535,119818.867814,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000244","Nodes","244",21.000000,24.721972,"DDS demands","Known Flow",438753.287652,119745.446809,,0.000000,,,,,-4.709999,,,,,,-4.211766,-4.709999,,"",,,,,"D1 PROFILE",,,,,
"82011800008037","Nodes","-3443",21.000000,24.442719,"Default Known Flow Node","Known Flow",438724.385537,119662.809771,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000254","Nodes","254",21.000000,24.490415,"DDS demands","Known Flow",438725.760537,119664.184772,,0.000000,,,,,-6.749999,,,,,,-6.035970,-6.749999,,"",,,,,"D1 PROFILE",,,,,
"82011800000255","Nodes","255",21.000000,24.443909,"DDS demands","Known Flow",438716.635535,119679.309776,,0.000000,,,,,-1.129999,,,,,,-1.010466,-1.129999,,"",,,,,"D1 PROFILE",,,,,
"82011800000248","Nodes","248",21.000000,24.615715,"Default Known Flow Node","Known Flow",438755.135545,119702.184782,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000257","Nodes","257",21.000000,24.465326,"DDS demands","Known Flow",438729.760538,119652.434769,,0.000000,,,,,-4.889999,,,,,,-4.372725,-4.889999,,"",,,,,"D1 PROFILE",,,,,
"82011800000294","Nodes","294",21.000000,23.391485,"DDS demands","Known Flow",438764.885548,119535.184737,,0.000000,,,,,-1.200000,,,,,,-1.073061,-1.200000,,"",,,,,"D1 PROFILE",,,,,
"82011800000252","Nodes","252",21.000000,24.515948,"DDS demands","Known Flow",438763.635548,119742.434793,,0.000000,,,,,-1.019999,,,,,,-0.912102,-1.019999,,"",,,,,"D1 PROFILE",,,,,
"82011800000297","Nodes","297",21.000000,24.231482,"DDS demands","Known Flow",438805.010559,119580.184749,,0.000000,,,,,-1.469999,,,,,,-1.314500,-1.469999,,"",,,,,"D1 PROFILE",,,,,
"82011800000192","Nodes",,21.000000,24.389784,"DDS demands","Known Flow",438906.382586,119920.449841,,0.000000,,,,,-7.159999,,,,,,-6.402599,-7.159999,,"",,,,,"D1 PROFILE",,,,,
"82011800000227","Nodes","227",21.000000,26.170722,"Default Known Flow Node","Known Flow",438887.635581,119965.184854,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000188","Nodes","188",21.000000,25.112029,"DDS demands","Known Flow",438962.564079,119572.832401,,0.000000,,,,,-25.889999,,,,,,-23.151301,-25.889999,,"",,,,,"D1 PROFILE",,,,,
"82011800000058","Nodes","58",21.000000,28.852237,"DDS demands","Known Flow",438994.138018,119893.574083,,0.000000,,,,,-3.240000,,,,,,-2.897266,-3.240000,,"",,,,,"D1 PROFILE",,,,,
"82011800000324","Nodes","324",21.000000,22.830250,"DDS demands","Known Flow",438626.010510,119552.059741,,0.000000,,,,,-5.229999,,,,,,-4.676759,-5.229999,,"",,,,,"D1 PROFILE",,,,,
"82011800008092","Nodes","-73296",21.000000,22.915902,"Default Known Flow Node","Known Flow",438629.635511,119532.934736,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000088","Nodes","88",21.000000,24.480464,"DDS demands","Known Flow",439225.789673,119497.873726,,0.000000,,,,,-5.840000,,,,,,-5.222232,-5.840000,,"",,,,,"D1 PROFILE",,,,,
"82011800000265","Nodes","265",21.000000,24.832282,"DDS demands","Known Flow",439019.010617,119629.684762,,0.000000,,,,,-6.170000,,,,,,-5.517324,-6.170000,,"",,,,,"D1 PROFILE",,,,,
"82011800000226","Nodes",,21.000000,26.224545,"DDS demands","Known Flow",439061.543087,120007.110106,,0.000000,,,,,-5.280000,,,,,,-4.721470,-5.280000,,"",,,,,"D1 PROFILE",,,,,
