"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82007700000072","Nodes","72",21.000000,35.415545,"DDS demands","Known Flow",473138.003951,110775.049251,,0.000000,,,,-16.270000,,,,,,-14.548925,-16.270000,,"",,,,"D1 PROFILE",,,,,
"82007700000075","Nodes","75",21.000000,40.061694,"DDS demands","Known Flow",473362.838564,110677.918051,,0.000000,-4.309999,,,-8.409999,,,,,,-11.374451,-12.719999,,"","C1 PROFILE",,,"D1 PROFILE",,,,,
"82007700000114","Nodes","114",21.000000,42.398570,"DDS demands","Known Flow",473109.349491,110623.126639,,0.000000,,,,-1.350000,,,,,,-1.207194,-1.350000,,"",,,,"D1 PROFILE",,,,,
"82007700000003","Nodes","Kings Meadow DG",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",472417.129748,110256.320394,,359.999986,,,,,,,,,,118.957805,133.029999,,"",,,,,,,,,
"82007700000163","Nodes","163",21.000000,49.375480,"DDS demands","Known Flow",472420.797957,110249.926268,,0.000000,,,,-6.489999,,,,,,-5.803474,-6.489999,,"",,,,"D1 PROFILE",,,,,
"82007700000078","Nodes","78",21.000000,40.231781,"DDS demands","Known Flow",473266.825546,110705.526227,,0.000000,,,-11.170000,-12.839999,,,,,,-21.470172,-24.009999,,"",,,"C4 PROFILE","D1 PROFILE",,,,,
"82007700000096","Nodes","96",21.000000,41.289152,"DDS demands","Known Flow",473083.418973,110666.712285,,0.000000,,,,-34.889999,,,,,,-31.199261,-34.889999,,"",,,,"D1 PROFILE",,,,,
"82007700000055","Nodes","55",21.000000,35.171875,"DDS demands","Known Flow",472827.032719,110910.314317,,0.000000,,,,-14.670000,,,,,,-13.118176,-14.670000,,"",,,,"D1 PROFILE",,,,,
"82007700000083","Nodes","83",21.000000,35.163906,"DDS demands","Known Flow",473540.824011,110474.825271,,0.000000,,,,-2.230000,,,,,,-1.994105,-2.230000,,"",,,,"D1 PROFILE",,,,,
"82007700000188","Nodes","188",21.000000,31.699922,"DDS demands","Known Flow",473694.860324,110344.594172,,0.000000,,-9.699999,,-9.890000,,,,,,-17.517729,-19.589999,,"",,"C2 PROFILE",,"D1 PROFILE",,,,,
"82007700000151","Nodes","151",21.000000,37.571443,"DDS demands","Known Flow",473599.246052,110907.971453,,0.000000,,,-6.000000,-20.009999,,,,,,-23.258606,-26.010001,,"",,,"C4 PROFILE","D1 PROFILE",,,,,
"82007700000152","Nodes","152",21.000000,37.296589,"DDS demands","Known Flow",473732.539275,111225.043671,,0.000000,,,,-6.789999,,,,,,-6.071739,-6.789999,,"",,,,"D1 PROFILE",,,,,
"82007700000048","Nodes","48",21.000000,35.398749,"Default Known Flow Node","Known Flow",472654.222936,109887.297116,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000049","Nodes","49",21.000000,34.365586,"DDS demands","Known Flow",472732.993837,109807.594951,,0.000000,,,-2.959999,-5.739999,,,,,,-7.779695,-8.699999,,"",,,"C4 PROFILE","D1 PROFILE",,,,,
"82007700000094","Nodes","94",21.000000,35.774000,"Default Known Flow Node","Known Flow",472644.389752,109912.092591,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008012","Nodes","8012",21.000000,35.640389,"Default Known Flow Node","Known Flow",472645.137670,109904.690824,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008013","Nodes","8013",21.000000,35.495000,"Default Known Flow Node","Known Flow",472648.568343,109896.622266,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000120","Nodes","120",21.000000,22.969331,"Default Known Flow Node","Known Flow",472662.244440,109711.574759,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000121","Nodes","121",21.000000,22.880011,"DDS demands","Known Flow",472699.860839,109682.864571,,0.000000,,,,-1.729999,,,,,,-1.546996,-1.729999,,"",,,,"D1 PROFILE",,,,,
"82007700000050","Nodes","50",21.000000,34.328401,"Default Known Flow Node","Known Flow",472701.968492,109748.926869,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000052","Nodes","52",21.000000,32.992840,"DDS demands","Known Flow",472814.792939,109660.399989,,0.000000,,,,-5.189999,,,,,,-4.640990,-5.189999,,"",,,,"D1 PROFILE",,,,,
"82007700000053","Nodes","53",21.000000,33.012342,"DDS demands","Known Flow",472764.073802,109704.019740,,0.000000,,,,-14.409999,,,,,,-12.885679,-14.409999,,"",,,,"D1 PROFILE",,,,,
"82007700000101","Nodes","101",21.000000,32.905747,"DDS demands","Known Flow",472811.661259,109618.113937,,0.000000,,,,-3.119999,,,,,,-2.789959,-3.119999,,"",,,,"D1 PROFILE",,,,,
"82007700008007","Nodes","8007",21.000000,34.069260,"Default Known Flow Node","Known Flow",472399.590700,110403.269252,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
