"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006300000157","Nodes","157","21.000000","29.388404","DDS demands","Known Flow","432484.590324","86415.192290","","0.000000","","","","","","","-7.979999","","","","-7.135858","-7.979999","","","","","","","","","D1 PROFILE","","",""
"82006300000463","Nodes","463","21.000000","29.242380","DDS demands","Known Flow","432503.886517","86469.966957","","0.000000","","","","","","","-0.950000","","","","-0.849507","-0.950000","","","","","","","","","D1 PROFILE","","",""
"82006300000647","Nodes","647","21.000000","29.381194","DDS demands","Known Flow","432469.339794","86372.972612","","0.000000","","","","-1.830000","","","-1.049999","","","","-2.575347","-2.879999","","","","","","C4 PROFILE","","","D1 PROFILE","","",""
"82006300000648","Nodes","648","21.000000","29.380318","DDS demands","Known Flow","432437.810733","86346.337099","","0.000000","","","","","","","-1.659999","","","","-1.484401","-1.659999","","","","","","","","","D1 PROFILE","","",""
"82006300001008","Nodes","1008","21.000000","29.511008","Default Known Flow Node","Known Flow","432420.128257","86205.317215","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000726","Nodes","726","21.000000","29.489444","Default Known Flow Node","Known Flow","432727.174703","87348.138844","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000088","Nodes","CSEP, P00077643, HEATHFIELD RD, -17.16 SCMH","24.000000","36.545445","CSEP DDS Matched","Known Flow","433498.459115","87483.421015","","0.000000","","-64.999999","","","","","-22.239999","-17.159999","","","-93.356349","-104.399999","","","","C2 PROFILE","","","","","D1 PROFILE","DC PROFILE","",""
"82006300000233","Nodes","233","21.000000","37.259414","DDS demands","Known Flow","433499.053340","87439.335774","","0.000000","","","","","","","-12.799999","","","","-11.445988","-12.799999","","","","","","","","","D1 PROFILE","","",""
"82006300000076","Nodes","76","21.000000","31.858263","DDS demands","Known Flow","433578.387703","87128.628836","","0.000000","","","","-5.879999","","","","","","","-5.258001","-5.879999","","","","","","C4 PROFILE","","","","","",""
"82006300008006","Nodes","Logger 2425, Queens Road","21.000000","31.346558","Val Log Cath","Known Flow","433580.507581","87098.927029","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
