"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82001000001071","Nodes","1071","21.000000","29.023595","DDS demands","Known Flow","473899.053090","122017.396224","","0.000000","","","","","","-8.689999","","","","","","","","-7.770753","-8.689999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001044","Nodes","P00044612/P00085195, KINGSFERNDEN LANE, -257.18SCMH","26.000000","26.794820","CSEP DDS Matched","Known Flow","475347.065502","123981.168946","","0.000000","","","","","","-1.389999","-193.566998","","","","","","","-174.334046","-194.957001","","","","","","","","D1 PROFILE","DC PROFILE","","","","","",""
"82001000000290","Nodes","290","21.000000","26.889671","DDS demands","Known Flow","475343.673039","123959.134024","","0.000000","","0.000000","","","","-3.110000","","","","","","","","-2.781017","-3.110000","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"82001000001060","Nodes","1060","21.000000","24.318155","DDS demands","Known Flow","476083.644317","124687.777663","","0.000000","","","","","","-4.030000","","","","","","","","-3.603698","-4.030000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001059","Nodes","1059","21.000000","24.432447","DDS demands","Known Flow","476084.999580","124614.219617","","0.000000","","","","","","-3.759999","","","","","","","","-3.362259","-3.759999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000185","Nodes","185","21.000000","24.180618","DDS demands","Known Flow","476077.887904","124698.279967","","0.000000","","","","","","-3.180000","","","","","","","","-2.843613","-3.180000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000339","Nodes","339","21.000000","35.276867","DDS demands","Known Flow","475965.581144","123648.049182","","0.000000","","","","","","-13.930000","","","","","","","","-12.456455","-13.930000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000186","Nodes","186","21.000000","34.140130","DDS demands","Known Flow","475960.543335","123784.146848","","0.000000","","","","","","-7.519999","","","","","","","","-6.724518","-7.519999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000170","Nodes","170","21.000000","33.621618","DDS demands","Known Flow","475950.897086","123834.314711","","0.000000","","","","","","-8.660000","","","","","","","","-7.743927","-8.660000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000564","Nodes","564","21.000000","46.346925","Default Known Flow Node","Known Flow","475964.810670","123328.973769","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000002","Nodes","Group Profile 1, Pulens Place DG, Site ID 1179","21.000000","48.999998","Default Known Pressure Node","Known Pressure","475970.783458","123325.905916","","5750.000282","","","","","","","","","","","","","","1853.449665","2072.704735","","","","","","","","","","","","","","",""
"82001000000200","Nodes","200","21.000000","37.644746","DDS demands","Known Flow","476018.238668","123444.113546","","0.000000","","","","","","-1.339999","","","","","","","","-1.198251","-1.339999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000199","Nodes","199","21.000000","36.603876","DDS demands","Known Flow","475995.727679","123599.562843","","0.000000","","","","","","-13.539999","","","","","","","","-12.107709","-13.539999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000201","Nodes","201","21.000000","39.471831","DDS demands","Known Flow","476053.587120","123447.788635","","0.000000","","","","","","-9.069999","","","","","","","","-8.110555","-9.069999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001103","Nodes","1103","21.000000","40.194635","DDS demands","Known Flow","476089.690704","123208.281736","","0.000000","","","","","","-5.820000","","","","","","","","-5.204348","-5.820000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001042","Nodes","1042","21.000000","40.166969","Default Known Flow Node","Known Flow","476093.346644","123184.644081","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000875","Nodes","875","21.000000","38.778542","Default Known Flow Node","Known Flow","476140.490099","123181.892328","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000001052","Nodes","1052","21.000000","36.393892","Default Known Flow Node","Known Flow","474662.430322","123984.506643","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000065","Nodes","65","21.000000","37.430878","DDS demands","Known Flow","474630.208779","123966.331909","","0.000000","","","","","","-3.209999","","","","","","","","-2.870439","-3.209999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001053","Nodes","1053","21.000000","37.515105","Default Known Flow Node","Known Flow","474617.045712","123949.737435","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000907","Nodes","907","21.000000","37.347717","DDS demands","Known Flow","474615.402971","123886.213729","","0.000000","","","","","","-6.979999","","","","","","","","-6.241640","-6.979999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001114","Nodes","1114","21.000000","37.633699","Default Known Flow Node","Known Flow","474574.754667","123926.766317","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000064","Nodes","64","21.000000","36.842080","DDS demands","Known Flow","474504.901597","124164.256282","","0.000000","","","-6.399999","","","-5.830000","","","","","","","","-10.936285","-12.229999","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","",""
"82001000000312","Nodes","312","21.000000","37.658739","DDS demands","Known Flow","474441.662940","123836.690069","","0.000000","","","","","","-14.399999","","","","","","","","-12.876737","-14.399999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000001034","Nodes","1034","21.000000","37.801531","Default Known Flow Node","Known Flow","474509.394793","123906.614360","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82001000000908","Nodes","908","21.000000","37.670209","DDS demands","Known Flow","474573.996997","123934.785076","","0.000000","","","","","","-4.980000","","","","","","","","-4.453205","-4.980000","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000840","Nodes","840","21.000000","29.751526","DDS demands","Known Flow","474014.770072","124440.789713","","0.000000","","","","","","-2.359999","","","","","","","","-2.110354","-2.359999","","","","","","","","D1 PROFILE","","","","","","",""
"82001000000286","Nodes","286","21.000000","31.587818","DDS demands","Known Flow","474673.042019","124173.500103","","0.000000","","","","","","-16.920000","","","","","","","","-15.130167","-16.920000","","","","","","","","D1 PROFILE","","","","","","",""
