"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82008300002425","Nodes","P12130184-N9004567, PLOTS 1 - 237 CHERITON ROAD, 170.96","22.999998","31.446327","CSEP DDS Matched","Known Flow","445106.969784","117893.813642","","0.000000","","","","","","","","-11.763999","","","","","-10.519579","-11.763999","","","","","","","","","","DC PROFILE","","","",""
"82008300000428","Nodes","Group Profile 2, Sense Point, South Street Eastleigh (West), Site ID 5016","21.000000","31.266575","Low Point","Known Flow","445078.887266","117826.434272","","0.000000","","","","","","","-6.569999","","","","","","-5.875011","-6.569999","","","","","","","","","D1 PROFILE","","","","",""
"82008300001218","Nodes","1218","21.000000","48.326978","DDS demands","Known Flow","445982.762512","119180.934640","","0.000000","","","","-4.699999","","","-1.609999","","","","","","-5.642514","-6.309999","","","","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"82008300001219","Nodes","1219","21.000000","47.434131","DDS demands","Known Flow","446017.512521","119213.059649","","0.000000","-17.670000","","","","","","","","","","","","-15.800830","-17.670000","","","C1 PROFILE","","","","","","","","","","",""
"82008300001278","Nodes","1278","21.000000","47.736018","DDS demands","Known Flow","445971.637509","119403.059701","","0.000000","","","","","","","-29.670000","","","","","","-26.531446","-29.670000","","","","","","","","","D1 PROFILE","","","","",""
"82008300000639","Nodes","639","21.000000","48.397462","DDS demands","Known Flow","445983.387512","119168.184637","","0.000000","","","","","","","-26.610001","","","","","","-23.795140","-26.610001","","","","","","","","","D1 PROFILE","","","","",""
"82008300001216","Nodes","1216","21.000000","49.075290","Default Known Flow Node","Known Flow","445211.387302","119895.184835","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82008300001217","Nodes","1217","21.000000","44.243236","Default Known Flow Node","Known Flow","445250.905019","119886.794919","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82008300001498","Nodes","1498","21.000000","49.049564","DDS demands","Known Flow","445206.262301","119870.809828","","0.000000","","","","","","","-2.409999","","","","","","-2.155065","-2.409999","","","","","","","","","D1 PROFILE","","","","",""
"82008300008124","Nodes","8124","21.000000","49.152863","Default Known Flow Node","Known Flow","445209.762302","119924.559843","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82008300001215","Nodes","1215","21.000000","49.239436","Default Known Flow Node","Known Flow","445204.763256","119939.802660","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82008300001214","Nodes","1214","21.000000","48.180122","DDS demands","Known Flow","445180.637294","119962.184853","","0.000000","","-24.999999","","","","","","","","","","","-22.355447","-24.999999","","","","C2 PROFILE","","","","","","","","","",""
"82008300008896","Nodes","8896","21.000000","51.254650","Default Known Flow Node","Known Flow","445083.637267","119937.559846","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
