"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82002700000056","Nodes","56","21.000000","30.354707","DDS demands","Known Flow","429971.981063","95593.927116","","0.000000","","","","","","","-15.129999","","","","","","","","-13.529516","-15.129999","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700000331","Nodes","Logger 0930, Upper Common","21.000000","32.128499","Val Log Cath","Known Flow","430001.883163","95239.178126","","0.000000","","","","","","","-8.420000","","","","","","","","-7.529314","-8.420000","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700000688","Nodes","688","21.000000","40.470142","DDS demands","Known Flow","431097.707006","94969.042106","","0.000000","-2.419999","","","","","","-10.819999","","","","","","","","-11.839444","-13.239999","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
"82002700000895","Nodes","895","21.000000","41.914164","DDS demands","Known Flow","432076.614926","96396.041361","","0.000000","","","","","","","-1.409999","","","","","","","","-1.260847","-1.409999","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700004251","Nodes","","21.000000","30.716689","DDS demands","Known Flow","432002.470435","95373.665373","","0.000000","-0.499999","","","-1.519999","","","-2.150000","","","","","","","","-3.728888","-4.169999","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","","","","","",""
"82002700008005","Nodes","Logger 0873, St Thomas Street","21.000000","30.199981","Val Log Post","Known Flow","432070.045916","95383.608407","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82002700004378","Nodes","4378, P13131387, WATERFORD LANE. SCH 10.71","22.999998","26.246602","CSEP Unmatched","Known Flow","432808.704873","94991.938392","","0.000000","","","","","","","","","","","","","-10.710000","","-9.577073","-10.710000","","","","","","","","","","","","","","","PL-DC PROFILE",""
"82002700008009","Nodes","P08119472, PHASES 1 & 2, WATERFORD CLOSE, -17.91SCMH","22.999998","23.726608","CSEP DDS Matched","Known Flow","432741.442987","95133.746641","","0.000000","","","","","","","","-17.909999","","","","","","","-16.015442","-17.909999","","","","","","","","","","DC PROFILE","","","","","",""
"82002700000868","Nodes","868","21.000000","28.053655","DDS demands","Known Flow","432928.544960","95057.998076","","0.000000","","","","","","","-4.150000","","","","","","","","-3.711004","-4.150000","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700000830","Nodes","830","21.000000","26.528043","DDS demands","Known Flow","432683.049701","94917.135256","","0.000000","","","-1.360000","","","","-8.050000","","","","","","","","-8.414590","-9.410000","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","","",""
"82002700009001","Nodes","P00064487, MILFORD ROAD, -8.31SCMH","24.000000","33.682761","CSEP DDS Matched","Known Flow","431686.661622","94833.341015","","0.000000","","","","","","-12.279999","","-8.300000","","","","","","","-18.403004","-20.579999","","","","","","","","CT PROFILE","","DC PROFILE","","","","","",""
"82002700000604","Nodes","604","21.000000","26.137153","DDS demands","Known Flow","432215.061088","93651.493965","","0.000000","","","","","","","-8.359999","","","","","","","","-7.475661","-8.359999","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700004347","Nodes","-333","21.000000","26.041467","Default Known Flow Node","Known Flow","432220.615995","93616.928437","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82002700000675","Nodes","675","21.000000","32.451123","DDS demands","Known Flow","431475.402769","95989.961737","","0.000000","","","","","","","-3.559999","","","","","","","","-3.183415","-3.559999","","","","","","","","","D1 PROFILE","","","","","","",""
"82002700004424","Nodes","-56","21.000000","29.513235","Default Known Flow Node","Known Flow","430931.077416","94458.179913","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82002700004427","Nodes","-57","21.000000","29.513239","Default Known Flow Node","Known Flow","430938.057418","94457.690913","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82002700004007","Nodes","-119994","21.000000","29.538281","Default Known Flow Node","Known Flow","430927.996882","94465.569553","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82002700001025","Nodes","1025","21.000000","26.766977","DDS demands","Known Flow","431851.536790","93263.683305","","0.000000","-23.079999","","","","","","","","","","","","","","-20.638548","-23.079999","","","C1 PROFILE","","","","","","","","","","","","",""
"82002700000873","Nodes","","21.000000","31.907539","Default Known Flow Node","Known Flow","431788.539914","93376.888867","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
