"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82010300002501","Nodes",,21.000000,61.036248,"DDS demands","Known Flow",448982.037328,115242.337569,,0.000000,,,,,,-3.859999,,,,,,-3.451680,-3.859999,,"",,,,,,"D1 PROFILE",,,,,
"82010300002516","Nodes",,21.000000,59.394961,"Default Known Flow Node","Known Flow",448960.752322,115312.046588,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002517","Nodes",,21.000000,59.436123,"Default Known Flow Node","Known Flow",448909.394308,115357.673600,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011363","Nodes",,21.000000,59.534597,"DDS demands","Known Flow",448972.513325,115374.433604,,0.000000,,,,,,-5.559999,,,,,,-4.971851,-5.559999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011358","Nodes",,21.000000,59.614582,"Default Known Flow Node","Known Flow",449013.513337,115328.183592,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011362","Nodes",,21.000000,54.164543,"DDS demands","Known Flow",448997.638332,115439.558622,,0.000000,,,,,,-6.530000,,,,,,-5.839243,-6.530000,,"",,,,,,"D1 PROFILE",,,,,
"82010300002521","Nodes",,21.000000,54.206104,"Default Known Flow Node","Known Flow",449030.888341,115476.558632,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002520","Nodes",,21.000000,54.210579,"DDS demands","Known Flow",449024.386429,115416.556603,,0.000000,,,,,,-13.149999,,,,,,-11.758964,-13.149999,,"",,,,,,"D1 PROFILE",,,,,
"82010300002522","Nodes","Terrier Close, -34.19",45.000000,54.096365,"CSEP DDS Matched","Known Flow",449029.263341,115422.433618,,0.000000,,,,,,,-18.709998,,,,,-16.730816,-18.709998,,"",,,,,,,"DC PROFILE",,,,
"82010300002519","Nodes","Peppercorn Way - CP1, -49.3",40.000000,57.795116,"CSEP DDS Matched","Known Flow",449087.513357,115345.183597,,0.000000,,,,,,,-34.909998,,,,,-31.217145,-34.909998,,"",,,,,,,"DC PROFILE",,,,
"82010300002508","Nodes",,21.000000,59.361361,"DDS demands","Known Flow",449134.513370,115254.933572,,0.000000,,,,,,-9.989999,,,,,,-8.933236,-9.989999,,"",,,,,,"D1 PROFILE",,,,,
"82010300002509","Nodes",,21.000000,59.361361,"Default Known Flow Node","Known Flow",449115.388364,115212.308560,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002510","Nodes",,21.000000,59.361361,"Default Known Flow Node","Known Flow",449165.763378,115246.433570,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002511","Nodes",,21.000000,59.768445,"Default Known Flow Node","Known Flow",449063.638350,115282.183579,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002507","Nodes",,21.000000,59.777129,"Default Known Flow Node","Known Flow",449051.263347,115229.933565,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011361","Nodes",,21.000000,59.777129,"Default Known Flow Node","Known Flow",449042.638345,115233.183566,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011360","Nodes",,21.000000,59.777129,"Default Known Flow Node","Known Flow",449064.138350,115226.183564,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002506","Nodes",,21.000000,59.777129,"DDS demands","Known Flow",449057.888349,115269.933576,,0.000000,,,,,,-16.819999,,,,,,-15.040745,-16.819999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011359","Nodes",,21.000000,59.962879,"Default Known Flow Node","Known Flow",449013.888337,115297.433584,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011230","Nodes",,21.000000,61.565157,"Default Known Flow Node","Known Flow",448979.111327,115217.417562,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001411","Nodes",,21.000000,58.971266,"Default Known Flow Node","Known Flow",448852.431293,115073.453523,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
