"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82004900000589","Nodes","589",21.000000,30.143067,"Default Known Flow Node","Known Flow",486930.023654,105178.805830,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900091629","Nodes","91629",21.000000,30.143067,"Default Known Flow Node","Known Flow",486926.523653,105182.930831,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900001939","Nodes","1939",21.000000,43.806221,"Default Known Flow Node","Known Flow",486293.542278,104749.053758,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900001968","Nodes","1968, P12130925, St John's Street, SCH 4.34",22.999998,44.539887,"CSEP Unmatched","Known Flow",486350.237508,104754.176212,,0.000000,,,,,,,,-4.340000,,,,-2.039999,,-5.705109,-6.379999,,"",,,,,,,,"DC PROFILE",,,,"DC PROFILE",
"82004900000324","Nodes","324",21.000000,45.476521,"Default Known Flow Node","Known Flow",486297.273482,104794.555726,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900000447","Nodes","447",21.000000,42.163131,"DDS demands","Known Flow",486290.924971,104705.185117,,0.000000,-64.459997,,,,,,-7.869999,,,,,,,-64.678779,-72.329998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82004900001984","Nodes","1984",21.000000,37.681802,"DDS demands","Known Flow",486001.648402,105224.555843,,0.000000,,,,,,,-5.260000,,,,,,,-4.703586,-5.260000,,"",,,,,,,"D1 PROFILE",,,,,,
"82004900001983","Nodes","1983",21.000000,37.236281,"DDS demands","Known Flow",485886.440949,105180.224317,,0.000000,-0.669999,,,,,,-9.170000,,,,,,,-8.799104,-9.840000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82004900000180","Nodes","180",21.000000,36.956668,"DDS demands","Known Flow",485854.394687,105166.562453,,0.000000,,,,,,,-31.190001,,,,,,,-27.890658,-31.190001,,"",,,,,,,"D1 PROFILE",,,,,,
"82004900001120","Nodes","1120",21.000000,37.357781,"Default Known Flow Node","Known Flow",485934.648383,105202.055836,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900009010","Nodes","9010",21.000000,36.755228,"Default Known Flow Node","Known Flow",485776.523340,105114.055813,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900000850","Nodes","850",21.000000,35.616241,"DDS demands","Known Flow",485713.303407,105038.239863,,0.000000,-3.759999,,,,,,-23.510000,,,,,,,-24.385323,-27.269999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82004900001937","Nodes","1937,P08119491,'Theatre Lane',13.85",22.999998,41.848307,"CSEP Unmatched","Known Flow",486112.418570,104549.986333,,0.000000,,,,,,,,-13.850000,,,,,,-12.384918,-13.850000,,"",,,,,,,,"DC PROFILE",,,,,
"82004900001938","Nodes","1938, P10124391, (ADJ 10) NORTHSIDE, -7.20SCMH",22.999998,62.607334,"CSEP Unmatched","Known Flow",485323.351436,109023.343937,,0.000000,,,,,,,,-7.199999,,,,,,-6.438368,-7.199999,,"",,,,,,,,"DC PROFILE",,,,,
"82004900005264","Nodes","5264",21.000000,36.935117,"Default Known Flow Node","Known Flow",485849.898360,105174.805829,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900004158","Nodes","4158",21.000000,38.656019,"Default Known Flow Node","Known Flow",486220.166401,106572.989769,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82004900001755","Nodes","1755",21.000000,35.594781,"DDS demands","Known Flow",485691.773317,104966.805772,,0.000000,,,,,,,-4.060000,,,,,,,-3.630524,-4.060000,,"",,,,,,,"D1 PROFILE",,,,,,
