"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82007000000137","Nodes","137","21.000000","35.533836","DDS demands","Known Flow","429694.593506","101446.161130","","0.000000","","","","","","-12.529999","","","","-11.204550","-12.529999","","","","","","","","D1 PROFILE","","",""
"82007000000138","Nodes","138","21.000000","35.499171","DDS demands","Known Flow","429796.115107","101382.311797","","0.000000","","","","","","-9.720000","","","","-8.691797","-9.720000","","","","","","","","D1 PROFILE","","",""
"82007000001014","Nodes","1014","21.000000","28.524433","Default Known Flow Node","Known Flow","429440.437011","102230.432028","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000001015","Nodes","1015","21.000000","28.524433","Default Known Flow Node","Known Flow","429472.596691","102252.952202","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000000021","Nodes","21","21.000000","28.696782","DDS demands","Known Flow","429511.359030","102113.180996","","0.000000","","","","","","-10.859999","","","","-9.711205","-10.859999","","","","","","","","D1 PROFILE","","",""
"82007000000109","Nodes","109","21.000000","28.459115","DDS demands","Known Flow","429422.732473","102249.578134","","0.000000","","","","","","-13.720000","","","","-12.268670","-13.720000","","","","","","","","D1 PROFILE","","",""
"82007000000038","Nodes","38","21.000000","29.496480","DDS demands","Known Flow","429982.864990","102602.710990","","0.000000","","","","","","-16.920000","","","","-15.130167","-16.920000","","","","","","","","D1 PROFILE","","",""
"82007000000151","Nodes","151","21.000000","30.195568","DDS demands","Known Flow","430083.444186","102524.599108","","0.000000","","","","","","-6.639999","","","","-5.937606","-6.639999","","","","","","","","D1 PROFILE","","",""
"82007000000042","Nodes","P00099052, Masonic Hall, 22.80","24.000000","31.846834","CSEP DDS Matched","Known Flow","429983.411718","102320.495787","","0.000000","","","","","-22.800000","-3.000000","","","","-23.070821","-25.800000","","","","","","","CC PROFILE","D1 PROFILE","","",""
"82007000000043","Nodes","43","21.000000","32.192184","DDS demands","Known Flow","429997.332162","102264.600037","","0.000000","-5.579999","","","","","-1.100000","","","","-5.973375","-6.679999","","","C1 PROFILE","","","","","D1 PROFILE","","",""
"82007000001012","Nodes","1012","21.000000","32.319067","Default Known Flow Node","Known Flow","429939.087365","102181.458795","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000001013","Nodes","1013","21.000000","32.316524","Default Known Flow Node","Known Flow","429935.421145","102142.814004","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000000087","Nodes","Logger 0837, Avenue Road","21.000000","32.504369","Val Log Post","Known Flow","429879.593532","102075.845773","","0.000000","","","","","","-17.059999","","","","-15.255356","-17.059999","","","","","","","","D1 PROFILE","","",""
"82007000000105","Nodes","105","21.000000","32.252515","DDS demands","Known Flow","429960.177152","102218.547025","","0.000000","","","","-11.260000","","-9.840000","","-4.999999","","-23.339087","-26.099999","","","","","","C4 PROFILE","","D1 PROFILE","","I2 PROFILE",""
"82007000001010","Nodes","1010","21.000000","30.901072","Default Known Flow Node","Known Flow","430066.813181","102020.252971","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000001011","Nodes","1011","21.000000","30.901072","Default Known Flow Node","Known Flow","430057.972179","102003.980966","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82007000000172","Nodes","172","21.000000","30.857853","DDS demands","Known Flow","430058.250179","102035.840975","","0.000000","","","","","","-5.160000","","","","-4.614164","-5.160000","","","","","","","","D1 PROFILE","","",""
