"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82012800008028","Nodes","8028",21.000000,33.089039,"Default Known Flow Node","Known Flow",348015.133383,100990.622109,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82012800000011","Nodes","11",21.000000,32.989271,"DDS demands","Known Flow",348014.578641,100986.797023,,0.000000,,,,,,-14.959999,,,,,,-13.377499,-14.959999,,"",,,,,,"D1 PROFILE",,,,,
"82012800000021","Nodes","21",21.000000,41.865937,"DDS demands","Known Flow",347997.721244,101305.384849,,0.000000,-1.640000,,,-1.469999,,-10.909999,,,,,,-12.536935,-14.019999,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,
"82012800000166","Nodes","166",21.000000,38.033579,"DDS demands","Known Flow",348118.568289,101219.592203,,0.000000,-9.330000,,,,,-3.260000,,,,,,-11.258203,-12.589999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"82012800008029","Nodes","8029",21.000000,38.070508,"Default Known Flow Node","Known Flow",348144.269889,101255.964763,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82012800000173","Nodes","173",21.000000,29.428244,"DDS demands","Known Flow",348608.004701,101332.277624,,0.000000,,,,,,-15.529999,,,,,,-13.887203,-15.529999,,"",,,,,,"D1 PROFILE",,,,,
"82012800000018","Nodes","18",21.000000,31.604035,"Default Known Flow Node","Known Flow",348513.610327,101251.469756,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82012800008033","Nodes","8033",21.000000,31.750655,"Default Known Flow Node","Known Flow",348454.133620,101240.598082,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82012800000229","Nodes","229",21.000000,31.773732,"Default Known Flow Node","Known Flow",348405.111878,101229.629945,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82012800000243","Nodes","243",21.000000,31.822819,"DDS demands","Known Flow",348434.940721,101330.913190,,0.000000,,,,,,-6.999999,,,,,,-6.259525,-6.999999,,"",,,,,,"D1 PROFILE",,,,,
