"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82005700000342","Nodes","342",21.000000,68.951263,"DDS demands","Known Flow",465567.823988,111042.622061,,0.000000,-4.980000,,,,,,,,-26.319998,,-27.989018,-31.299999,,"","C1 PROFILE",,,,,,,,"I2 PROFILE",
"82005700000060","Nodes","60",21.000000,49.676742,"DDS demands","Known Flow",465978.139442,111990.982111,,0.000000,-1.970000,,,,,,-4.579999,,,,-5.857127,-6.549999,,"","",,,,,,"D1 PROFILE",,,
"82005700000154","Nodes","154",21.000000,46.602530,"DDS demands","Known Flow",466149.958854,111941.150776,,0.000000,,,,,,,-11.430000,,,,-10.220911,-11.430000,,"",,,,,,,"D1 PROFILE",,,
"82005700000038","Nodes","38",21.000000,44.863218,"DDS demands","Known Flow",466299.732040,111882.481654,,0.000000,,,,,,,-14.319999,,,,-12.805199,-14.319999,,"",,,,,,,"D1 PROFILE",,,
"82005700000037","Nodes","37",21.000000,44.976125,"DDS demands","Known Flow",466288.723165,111867.039163,,0.000000,,,,,,,-8.430000,,,,-7.538257,-8.430000,,"",,,,,,,"D1 PROFILE",,,
"82005700000036","Nodes","36",21.000000,45.135076,"DDS demands","Known Flow",466252.739626,111827.608731,,0.000000,,,,,,,-10.459999,,,,-9.353518,-10.459999,,"",,,,,,,"D1 PROFILE",,,
"82005700000035","Nodes","35",21.000000,45.700852,"DDS demands","Known Flow",466184.544009,111749.589618,,0.000000,,,,,,,-4.980000,,,,-4.453205,-4.980000,,"",,,,,,,"D1 PROFILE",,,
"82005700000162","Nodes","162",21.000000,44.252450,"DDS demands","Known Flow",466939.997901,111471.556752,,0.000000,,,,,,,-2.689999,,,,-2.405446,-2.689999,,"",,,,,,,"D1 PROFILE",,,
"82005700000163","Nodes","163",21.000000,44.154904,"DDS demands","Known Flow",466895.561149,111216.338607,,0.000000,,,,,,,-15.739999,,-6.000000,,-19.440297,-21.740000,,"",,,,,,,"D1 PROFILE",,"I2 PROFILE",
"82005700000015","Nodes","15",21.000000,45.037070,"DDS demands","Known Flow",466318.711046,111530.193558,,0.000000,,,,,,,-14.040000,,,,-12.554819,-14.040000,,"",,,,,,,"D1 PROFILE",,,
