"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82005600000404","Nodes","404",21.000000,28.144195,"DDS demands","Known Flow",456143.735738,115641.925227,,0.000000,,,,,,-4.689999,,,,,-4.193881,-4.689999,,"",,,,,,"D1 PROFILE",,,,
"82005600001118","Nodes","1118",21.000000,28.518100,"Default Known Flow Node","Known Flow",456150.843963,115599.726184,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005600012431","Nodes","P09121795, SKIPPERS WINCHESTER ROAD, 13.38.",22.999998,43.295267,"CSEP DDS Matched","Known Flow",454933.049418,117561.116055,,0.000000,,,,,,,-13.380000,,,,-11.964636,-13.380000,,"",,,,,,,"DC PROFILE",,,
"82005600001116","Nodes","1116",21.000000,27.823583,"DDS demands","Known Flow",450585.974083,116416.175248,,0.000000,,,,,,-3.020000,,,,,-2.700538,-3.020000,,"",,,,,,"D1 PROFILE",,,,
"82005600001117","Nodes","Stapleford Lane Logger 1035",21.000000,27.818616,"Default Known Flow Node","Known Flow",450497.513740,116417.308888,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005600000126","Nodes","126",21.000000,28.219978,"DDS demands","Known Flow",450521.403615,116504.726760,,0.000000,,,,,,-3.199999,,,,,-2.861497,-3.199999,,"",,,,,,"D1 PROFILE",,,,
"82005600001579","Nodes","1579",21.000000,38.767898,"DDS demands","Known Flow",457011.299232,113917.979112,,0.000000,-3.130000,,,,,-39.369997,,,,,-38.004260,-42.499998,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,
"82005600001115","Nodes","1115",21.000000,39.718571,"Default Known Flow Node","Known Flow",457109.927445,114062.583719,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005600000229","Nodes","229",21.000000,31.055254,"DDS demands","Known Flow",455872.771902,118400.704158,,0.000000,,,,,,-2.819999,,,,,-2.521694,-2.819999,,"",,,,,,"D1 PROFILE",,,,
"82005600000579","Nodes","579",21.000000,31.308949,"DDS demands","Known Flow",455904.668393,118519.339815,,0.000000,,,,,,-8.970000,,,,,-8.021135,-8.970000,,"",,,,,,"D1 PROFILE",,,,
