"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82012300000052","Nodes",,21.000000,30.403587,"DDS demands","Known Flow",378618.584181,113956.185219,,0.000000,,,,,,-6.360000,,,,-5.687226,-6.360000,,"",,,,,,"D1 PROFILE",,,
"82012300000054","Nodes","54",21.000000,32.610017,"DDS demands","Known Flow",378581.869171,114481.558362,,0.000000,,,,,,-5.769999,,,,-5.159637,-5.769999,,"",,,,,,"D1 PROFILE",,,
"82012300000167","Nodes","167",21.000000,30.582137,"DDS demands","Known Flow",378583.494172,114032.308239,,0.000000,,,,,,-3.609999,,,,-3.228126,-3.609999,,"",,,,,,"D1 PROFILE",,,
"82012300000045","Nodes","45",21.000000,32.878435,"DDS demands","Known Flow",378591.744174,114215.808289,,0.000000,,,,,,-1.640000,,,,-1.466517,-1.640000,,"",,,,,,"D1 PROFILE",,,
"82012300008532","Nodes","-270124",21.000000,32.989558,"Default Known Flow Node","Known Flow",378618.369181,114219.808290,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000050","Nodes","50",21.000000,32.607875,"DDS demands","Known Flow",378551.744163,114445.808352,,0.000000,,,,,,-3.349999,,,,-2.995629,-3.349999,,"",,,,,,"D1 PROFILE",,,
"82012300000027","Nodes","27",21.000000,31.831285,"DDS demands","Known Flow",378687.994200,114053.558245,,0.000000,-2.539999,,,,,-13.449999,,,,-14.298543,-15.989999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,
"82012300000153","Nodes","153",21.000000,31.893239,"DDS demands","Known Flow",378652.744191,114409.808342,,0.000000,,,,,,-2.789999,,,,-2.494867,-2.789999,,"",,,,,,"D1 PROFILE",,,
"82012300000154","Nodes","154",21.000000,31.820537,"DDS demands","Known Flow",378651.994190,114375.558333,,0.000000,,,,,,-5.859999,,,,-5.240117,-5.859999,,"",,,,,,"D1 PROFILE",,,
"82012300000181","Nodes","181",21.000000,33.627854,"Default Known Flow Node","Known Flow",378689.739931,114220.062874,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
