"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82108100002117","Nodes","2117",21.000000,26.806538,"DDS demands","Known Flow",457435.531250,106208.773437,,0.000000,-4.150000,,,-6.139999,,-6.869999,,,,,,,-15.344779,-17.159999,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,,
"821081-11287","Nodes","-11287",21.000000,27.267343,"Default Known Flow Node","Known Flow",457400.406250,106208.828125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-16269","Nodes","-16269",21.000000,26.821234,"Default Known Flow Node","Known Flow",456873.625000,107426.382812,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-911553","Nodes","-911553",21.000000,26.777537,"Default Known Flow Node","Known Flow",456882.750000,107423.843750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-16266","Nodes","-16266",21.000000,26.292444,"Default Known Flow Node","Known Flow",456867.250000,107404.382812,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-911552","Nodes","-911552",21.000000,26.292444,"Default Known Flow Node","Known Flow",456876.875000,107402.257812,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-16264","Nodes","-16264",21.000000,25.843177,"Default Known Flow Node","Known Flow",456861.375000,107384.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-911551","Nodes","-911551",21.000000,25.843177,"Default Known Flow Node","Known Flow",456871.031250,107381.218750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-951155","Nodes","-951155",21.000000,24.109546,"Default Known Flow Node","Known Flow",456815.625000,107234.281250,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"821081-16258","Nodes","-16258",21.000000,24.109546,"Default Known Flow Node","Known Flow",456818.250000,107241.992187,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
