"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82012700000198","Nodes","198",21.000000,31.681049,"DDS demands","Known Flow",399517.500000,90410.500000,,0.000000,,,,,,-31.700000,,,,,,,-28.346707,-31.700000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700008001","Nodes","8001, ""Logger Rockley Road ID3148""",21.000000,31.722693,"Val Log Post","Known Flow",399504.250000,90415.609375,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000157","Nodes","157",21.000000,32.258338,"DDS demands","Known Flow",399349.000000,90478.750000,,0.000000,,,,,,-43.249999,,,,,,,-38.674923,-43.249999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001353","Nodes","1353",21.000000,41.038577,"DDS demands","Known Flow",398563.000000,93188.000000,,0.000000,,,,,,-7.159999,,,,,,,-6.402599,-7.159999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001352","Nodes","1352",21.000000,41.276963,"DDS demands","Known Flow",398507.406250,93194.398437,,0.000000,,,,,,-1.399999,,,,,,,-1.251905,-1.399999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000201","Nodes","201",21.000000,35.502216,"DDS demands","Known Flow",398918.750000,90995.500000,,0.000000,,,,,,-7.560000,,,,,,,-6.760287,-7.560000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000230","Nodes","230",21.000000,35.405929,"DDS demands","Known Flow",398903.625000,90974.062500,,0.000000,,,,,,-0.860000,,,,,,,-0.769027,-0.860000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000228","Nodes","228",21.000000,35.386100,"DDS demands","Known Flow",398872.625000,90930.187500,,0.000000,,,,,,-6.289999,,,,,,,-5.624630,-6.289999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000608","Nodes","608",21.000000,26.022662,"DDS demands","Known Flow",398138.500000,91282.750000,,0.000000,,,,,,-1.420000,,,,,,,-1.269789,-1.420000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000610","Nodes","610",21.000000,25.692721,"DDS demands","Known Flow",398202.906250,91273.156250,,0.000000,,,,,,-2.470000,,,,,,,-2.208718,-2.470000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000017","Nodes","17",21.000000,39.878648,"DDS demands","Known Flow",399464.250000,90746.500000,,0.000000,,,,,,-8.630000,,,,,,,-7.717100,-8.630000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000197","Nodes","197",21.000000,38.582728,"DDS demands","Known Flow",399454.937500,90713.500000,,0.000000,,,,,,-13.049999,,,,,,,-11.669543,-13.049999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000450","Nodes","450",21.000000,35.686507,"DDS demands","Known Flow",399417.750000,90631.000000,,0.000000,,,,,,-15.859999,,,,,,,-14.182295,-15.859999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000375","Nodes","375",21.000000,28.431869,"DDS demands","Known Flow",398496.250000,90684.250000,,0.000000,,,,,,-6.540000,,,,,,,-5.848185,-6.540000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000167","Nodes","167",21.000000,28.331755,"DDS demands","Known Flow",398505.593750,90674.601562,,0.000000,,,,,,-20.399999,,,,,,,-18.242045,-20.399999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000458","Nodes","458",21.000000,30.599218,"DDS demands","Known Flow",399071.312500,90596.601562,,0.000000,,,,,,-1.590000,,,,,,,-1.421806,-1.590000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000160","Nodes","160",21.000000,30.459730,"DDS demands","Known Flow",399067.125000,90584.750000,,0.000000,,,,-7.309999,,-2.309999,,,,,,,-8.602375,-9.619999,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,,
"82012700000028","Nodes","28",21.000000,41.554200,"DDS demands","Known Flow",399600.375000,91325.750000,,0.000000,,,,,,-13.749999,,,,,,,-12.295496,-13.749999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000255","Nodes","255",21.000000,41.902636,"DDS demands","Known Flow",399552.406250,91314.500000,,0.000000,,,,,,-0.850000,,,,,,,-0.760085,-0.850000,,"",,,,,,"D1 PROFILE",,,,,,
"820127-145284","Nodes","-145284",21.000000,42.373255,"Default Known Flow Node","Known Flow",399485.000000,91317.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000269","Nodes","269",21.000000,42.265489,"DDS demands","Known Flow",399397.625000,91571.250000,,0.000000,,,,,,-3.980000,,,,,,,-3.558987,-3.980000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000268","Nodes","268",21.000000,42.307012,"DDS demands","Known Flow",399370.906250,91544.296875,,0.000000,,,,,,-3.199999,,,,,,,-2.861497,-3.199999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000283","Nodes","283",21.000000,42.264790,"DDS demands","Known Flow",399377.187500,91561.296875,,0.000000,,,,,,-3.289999,,,,,,,-2.941976,-3.289999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000267","Nodes","267",21.000000,42.419742,"DDS demands","Known Flow",399395.312500,91511.898437,,0.000000,,,,,,-4.280000,,,,,,,-3.827252,-4.280000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000271","Nodes","271",21.000000,42.419763,"DDS demands","Known Flow",399417.906250,91507.296875,,0.000000,,,,,,-3.530000,,,,,,,-3.156589,-3.530000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000266","Nodes","266",21.000000,42.422134,"DDS demands","Known Flow",399454.500000,91459.500000,,0.000000,,,,,,-3.599999,,,,,,,-3.219184,-3.599999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000289","Nodes","289",21.000000,42.921845,"DDS demands","Known Flow",399397.406250,91452.398437,,0.000000,,,,,,-4.419999,,,,,,,-3.952443,-4.419999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000288","Nodes","288",21.000000,42.949239,"DDS demands","Known Flow",399383.000000,91437.000000,,0.000000,,,,,,-0.970000,,,,,,,-0.867391,-0.970000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000065","Nodes","65",21.000000,43.246819,"DDS demands","Known Flow",399276.906250,91532.296875,,0.000000,,,,,,-4.579999,,,,,,,-4.095518,-4.579999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000066","Nodes","66",21.000000,43.331206,"DDS demands","Known Flow",399256.000000,91485.000000,,0.000000,,,,,,-5.110000,,,,,,,-4.569453,-5.110000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000064","Nodes","64",21.000000,43.335254,"DDS demands","Known Flow",399295.500000,91452.250000,,0.000000,,,,,,-4.519999,,,,,,,-4.041864,-4.519999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000546","Nodes","546",21.000000,68.614251,"DDS demands","Known Flow",398810.500000,91337.000000,,0.000000,-30.419999,,,-6.370000,,-3.150000,,,-63.209997,,,,-92.238571,-103.149999,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,"I2 PROFILE",,,
"82012700000547","Nodes","547",21.000000,68.601347,"DDS demands","Known Flow",398809.312500,91347.000000,,0.000000,,,,,,-2.400000,,,-12.780000,,,,-13.574227,-15.180000,,"",,,,,,"D1 PROFILE",,,"I2 PROFILE",,,
"82012700000548","Nodes","548",21.000000,68.520651,"Default Known Flow Node","Known Flow",398795.625000,91454.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000447","Nodes","447",21.000000,39.456404,"DDS demands","Known Flow",399212.875000,91700.500000,,0.000000,,,,,,-14.049999,,,,,,,-12.563761,-14.049999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000472","Nodes","472",21.000000,38.584002,"DDS demands","Known Flow",399165.500000,91750.398437,,0.000000,,,,,,-10.140000,,,,,,,-9.067369,-10.140000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001266","Nodes","1266",21.000000,42.030930,"DDS demands","Known Flow",398136.406250,93203.500000,,0.000000,,,,,,-1.190000,,,,,,,-1.064119,-1.190000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001265","Nodes","1265",21.000000,41.850227,"DDS demands","Known Flow",398141.875000,93244.750000,,0.000000,,,,-4.349999,,,,,,,,,-3.889847,-4.349999,,"",,,,"C4 PROFILE",,,,,,,,
"82012700001083","Nodes","1083",21.000000,35.514138,"DDS demands","Known Flow",397638.812500,92897.500000,,0.000000,,,,,,-14.380000,,,,,,,-12.858853,-14.380000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001085","Nodes","1085",21.000000,34.819300,"DDS demands","Known Flow",397621.000000,92838.250000,,0.000000,,,,,,-1.220000,,,,,,,-1.090945,-1.220000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001130","Nodes","1130",21.000000,34.794869,"DDS demands","Known Flow",397423.000000,92893.898437,,0.000000,,,,,,-23.709998,,,,,,,-21.201905,-23.709998,,"",,,,,,"D1 PROFILE",,,,,,
"820127-272416","Nodes","-272416",21.000000,39.725751,"Default Known Flow Node","Known Flow",400689.625000,89982.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000800","Nodes","800",21.000000,39.725751,"DDS demands","Known Flow",400689.500000,89936.000000,,0.000000,-2.390000,,,,,,,,,,,,-2.137181,-2.390000,,"","C1 PROFILE",,,,,,,,,,,
"820127-157183","Nodes","-157183",21.000000,28.517784,"Default Known Flow Node","Known Flow",398583.500000,90471.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-157182","Nodes","-157182",21.000000,28.517784,"Default Known Flow Node","Known Flow",398576.875000,90462.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-157185","Nodes","-157185",21.000000,28.843054,"Default Known Flow Node","Known Flow",398620.875000,90442.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000816","Nodes","816",21.000000,26.883260,"Default Known Flow Node","Known Flow",398810.000000,90426.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-157223","Nodes","-157223",21.000000,26.883260,"Default Known Flow Node","Known Flow",398813.875000,90427.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000655","Nodes","655",21.000000,27.075766,"DDS demands","Known Flow",398890.250000,90419.750000,,0.000000,,,,,,-11.369999,,,,,,,-10.167257,-11.369999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000657","Nodes","657",21.000000,27.199370,"DDS demands","Known Flow",398915.750000,90453.000000,,0.000000,,,,,,-2.409999,,,,,,,-2.155065,-2.409999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000186","Nodes","186",21.000000,24.074867,"DDS demands","Known Flow",399366.625000,90190.250000,,0.000000,,,,,,-6.860000,,,,,,,-6.134335,-6.860000,,"",,,,,,"D1 PROFILE",,,,,,
"820127-158878","Nodes","-158878",21.000000,24.655574,"Default Known Flow Node","Known Flow",399238.875000,90170.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000180","Nodes","180",21.000000,25.652375,"DDS demands","Known Flow",399032.375000,90242.750000,,0.000000,,,,,,-19.509999,,,,,,,-17.446189,-19.509999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000182","Nodes","182",21.000000,24.830248,"DDS demands","Known Flow",399146.625000,90200.750000,,0.000000,,,,-3.420000,,-25.620001,,,,,,,-25.968088,-29.040002,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,,
"82012700000044","Nodes","44",21.000000,28.255847,"DDS demands","Known Flow",398428.875000,90838.500000,,0.000000,,,,,,-6.800000,,,,,,,-6.080681,-6.800000,,"",,,,,,"D1 PROFILE",,,,,,
"820127-157264","Nodes","-157264",21.000000,28.255847,"Default Known Flow Node","Known Flow",398445.250000,90844.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
