"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82012101470608","Nodes","","21.000000","38.655324","Default Known Flow Node","Known Flow","424632.381702","96364.803432","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470619","Nodes","","21.000000","41.451444","Default Known Flow Node","Known Flow","425035.327812","96678.295517","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470620","Nodes","","21.000000","41.451444","Default Known Flow Node","Known Flow","425013.659806","96678.355517","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470623","Nodes","","21.000000","44.799120","DDS demands","Known Flow","424851.334762","97554.159755","","0.000000","","","","","","","-11.130000","","","","","-9.952645","-11.130000","","","","","","","","","D1 PROFILE","","","",""
"82012101470622","Nodes","","21.000000","44.841576","Default Known Flow Node","Known Flow","424933.153784","97755.175810","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470624","Nodes","","21.000000","44.825874","DDS demands","Known Flow","424852.199762","97592.439766","","0.000000","","","","","","","-2.329999","","","","","-2.083527","-2.329999","","","","","","","","","D1 PROFILE","","","",""
"82012101470696","Nodes","","21.000000","40.379197","Default Known Flow Node","Known Flow","425416.907784","95271.045102","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470855","Nodes","","21.000000","40.264539","Default Known Flow Node","Known Flow","425565.633409","95359.107398","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470669","Nodes","","21.000000","43.474811","DDS demands","Known Flow","425086.193377","95081.815173","","0.000000","","","","","","","-10.339999","","","","","-9.246212","-10.339999","","","","","","","","","D1 PROFILE","","","",""
"82012101470659","Nodes","","21.000000","43.474811","Default Known Flow Node","Known Flow","425102.621830","95067.366079","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470668","Nodes","","21.000000","43.509126","Default Known Flow Node","Known Flow","425095.978828","95092.563086","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470670","Nodes","","21.000000","43.535276","Default Known Flow Node","Known Flow","425071.717822","95108.268090","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470678","Nodes","","21.000000","43.536328","Default Known Flow Node","Known Flow","425065.763138","95112.336350","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470695","Nodes","","21.000000","40.379197","Default Known Flow Node","Known Flow","425429.902919","95263.353132","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470671","Nodes","","21.000000","43.509126","Default Known Flow Node","Known Flow","425110.387832","95080.597082","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470703","Nodes","","21.000000","43.509126","Default Known Flow Node","Known Flow","425108.326832","95057.678076","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470706","Nodes","","21.000000","41.655049","Default Known Flow Node","Known Flow","425287.269002","95323.242189","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470707","Nodes","","21.000000","41.655049","Default Known Flow Node","Known Flow","425308.428886","95328.933150","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470710","Nodes","","21.000000","44.864196","Default Known Flow Node","Known Flow","425121.960629","95255.902393","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470711","Nodes","","21.000000","27.904464","Default Known Flow Node","Known Flow","414361.525049","94755.651536","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470727","Nodes","","21.000000","31.792811","Default Known Flow Node","Known Flow","425118.524560","95798.048448","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470728","Nodes","","21.000000","31.879452","Default Known Flow Node","Known Flow","425106.897831","95892.174303","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470733","Nodes","","21.000000","33.848910","DDS demands","Known Flow","425344.885896","95899.764305","","0.000000","","","","","","","-6.569999","","","","","-5.875011","-6.569999","","","","","","","","","D1 PROFILE","","","",""
"82012101470737","Nodes","","21.000000","31.178459","Default Known Flow Node","Known Flow","425159.198846","95612.811227","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470738","Nodes","","21.000000","31.178459","Default Known Flow Node","Known Flow","425127.832837","95625.180231","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470739","Nodes","","21.000000","32.627304","DDS demands","Known Flow","425203.363858","95852.600292","","0.000000","","","","","","","-32.900000","","","","","-29.419769","-32.900000","","","","","","","","","D1 PROFILE","","","",""
"82012101470743","Nodes","","21.000000","33.707059","Default Known Flow Node","Known Flow","425384.377907","95825.144285","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470747","Nodes","","21.000000","33.538664","Default Known Flow Node","Known Flow","425397.815911","95821.813284","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470730","Nodes","","21.000000","31.041970","Default Known Flow Node","Known Flow","425126.019837","95717.691256","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470753","Nodes","","21.000000","31.764519","Default Known Flow Node","Known Flow","425115.151834","95796.263277","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470740","Nodes","","21.000000","32.526939","Default Known Flow Node","Known Flow","425203.321858","95855.470293","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470755","Nodes","","21.000000","31.178459","Default Known Flow Node","Known Flow","425127.791837","95626.715231","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470757","Nodes","","21.000000","33.884525","Default Known Flow Node","Known Flow","425319.349889","95928.698313","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470761","Nodes","","21.000000","30.992340","Default Known Flow Node","Known Flow","425123.820836","95717.619256","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101469851","Nodes","","21.000000","31.438297","Default Known Flow Node","Known Flow","425125.091836","95647.189237","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470764","Nodes","","21.000000","31.026898","Default Known Flow Node","Known Flow","425129.465838","95717.754256","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470773","Nodes","","21.000000","33.800184","Default Known Flow Node","Known Flow","425405.871913","95804.238279","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470779","Nodes","","21.000000","37.150407","Default Known Flow Node","Known Flow","425300.662884","95582.680219","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470785","Nodes","","21.000000","31.030933","Default Known Flow Node","Known Flow","425105.701831","95754.023266","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470786","Nodes","","21.000000","30.987591","Default Known Flow Node","Known Flow","425106.249831","95715.505255","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470787","Nodes","","21.000000","31.181905","Default Known Flow Node","Known Flow","425127.651837","95630.487232","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470792","Nodes","","21.000000","33.755127","Default Known Flow Node","Known Flow","425390.518909","95828.907286","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470805","Nodes","","21.000000","33.784019","Default Known Flow Node","Known Flow","425407.533913","95804.360279","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470806","Nodes","","21.000000","37.431059","Default Known Flow Node","Known Flow","425117.234834","96318.447419","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470762","Nodes","","21.000000","29.695134","DDS demands","Known Flow","425150.241263","96028.533774","","0.000000","","","","","","","-17.670000","","","","","-15.800830","-17.670000","","","","","","","","","D1 PROFILE","","","",""
"82012101470774","Nodes","","21.000000","35.307368","Default Known Flow Node","Known Flow","425511.284941","95642.810235","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470821","Nodes","","21.000000","35.330094","Default Known Flow Node","Known Flow","425515.114942","95637.580234","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470829","Nodes","","21.000000","33.928328","Default Known Flow Node","Known Flow","425322.662149","95932.881471","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470832","Nodes","","21.000000","41.697469","Default Known Flow Node","Known Flow","425642.345977","95399.330169","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470833","Nodes","","21.000000","41.609638","DDS demands","Known Flow","425639.121976","95406.510171","","0.000000","-13.329999","","","","","","-2.339999","","","","","-14.012394","-15.669999","","","C1 PROFILE","","","","","","D1 PROFILE","","","",""
