"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"82011700000121","Nodes","121",21.000000,22.586055,"DDS demands","Known Flow",367656.088198,118482.628450,,0.000000,,,-2.049999,,,,-1.833146,-2.049999,,"",,,"D1 PROFILE",,,
"82011700000119","Nodes","119",21.000000,22.590506,"DDS demands","Known Flow",367668.603389,118488.636648,,0.000000,,,-1.710000,,,,-1.529112,-1.710000,,"",,,"D1 PROFILE",,,
"82011700008008","Nodes","8008",21.000000,34.113169,"Default Known Flow Node","Known Flow",367877.077764,119000.505729,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82011700000018","Nodes","18",21.000000,34.481233,"DDS demands","Known Flow",367744.730222,118935.676574,,0.000000,,,-9.370000,,,,-8.378822,-9.370000,,"",,,"D1 PROFILE",,,
"82011700000135","Nodes","135",21.000000,33.363012,"DDS demands","Known Flow",368014.741296,119054.410606,,0.000000,,,-1.830000,,,,-1.636418,-1.830000,,"",,,"D1 PROFILE",,,
"82011700000134","Nodes","134",21.000000,34.032348,"DDS demands","Known Flow",367941.461276,119026.260598,,0.000000,,,-0.950000,,,,-0.849507,-0.950000,,"",,,"D1 PROFILE",,,
"82011700000014","Nodes","P08120166, The Tannery, 49.57",25.000000,36.386511,"CSEP DDS Matched","Known Flow",367540.565685,118902.548309,,0.000000,,,-1.679999,-49.570001,,,-45.828668,-51.250003,,"",,,"D1 PROFILE","DC PROFILE",,
"82011700000011","Nodes","11",21.000000,37.140963,"DDS demands","Known Flow",367488.673153,118912.953567,,0.000000,,,-7.840000,,,,-7.010668,-7.840000,,"",,,"D1 PROFILE",,,
"82011700000160","Nodes","160",21.000000,35.240653,"DDS demands","Known Flow",367604.961140,118857.543050,,0.000000,,,-4.360000,,,,-3.898790,-4.360000,,"",,,"D1 PROFILE",,,
"82011700000148","Nodes","148",21.000000,28.772573,"DDS demands","Known Flow",367759.636227,118758.022525,,0.000000,,,-5.030000,,,,-4.497916,-5.030000,,"",,,"D1 PROFILE",,,
