"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82001900002886","Nodes","","21.000000","40.731138","Default Known Flow Node","Known Flow","449326.477359","130361.044304","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900002888","Nodes","","21.000000","40.689410","DDS demands","Known Flow","449330.513423","130374.562686","","0.000000","","","","","","","","","","-24.319998","","","","","-21.747379","-24.319998","","","","","","","","","","","","I2 PROFILE","","","",""
"82001900001287","Nodes","","21.000000","23.852113","Default Known Flow Node","Known Flow","451364.419093","132144.772212","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900006031","Nodes","","21.000000","23.679341","DDS demands","Known Flow","451439.859520","132260.697885","","0.000000","","","","","","-13.069999","","","","","","","","","-11.687427","-13.069999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900016531","Nodes","","21.000000","23.637008","Default Known Flow Node","Known Flow","451528.549023","132264.082366","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900001176","Nodes","P11127653, Worthy Road, -77.73","25.000000","34.282908","CSEP DDS Matched","Known Flow","448506.270992","131191.632513","","0.000000","","","","","","","-77.730006","","","","","","","","-69.507561","-77.730006","","","","","","","","","DC PROFILE","","","","","","",""
"82001900002591","Nodes","","21.000000","37.835632","DDS demands","Known Flow","448284.385427","129952.762537","","0.000000","","-32.669998","","","","","","","","","","","","","-29.214098","-32.669998","","","","C2 PROFILE","","","","","","","","","","","",""
"82001900000844","Nodes","","21.000000","37.832801","Default Known Flow Node","Known Flow","448279.388137","129952.562571","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900002807","Nodes","","21.000000","39.976226","Default Known Flow Node","Known Flow","447332.137879","129492.437446","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900002809","Nodes","","21.000000","39.883695","DDS demands","Known Flow","447327.402511","129492.188216","","0.000000","-7.829999","","","","","","","","","","","","","","-7.001726","-7.829999","","","C1 PROFILE","","","","","","","","","","","","",""
"82001900017033","Nodes","","21.000000","38.738478","Default Known Flow Node","Known Flow","447337.387881","129557.937464","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000644","Nodes","","21.000000","36.428129","DDS demands","Known Flow","447304.353184","130096.766361","","0.000000","","","","","","-6.730000","","","","","","","","","-6.018086","-6.730000","","","","","","","","D1 PROFILE","","","","","","","",""
