"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82620900000118","Nodes",,21.000000,23.190285,"DDS demands","Known Flow",394349.307462,94233.049852,,0.000000,,,,,-21.280001,,,,,-19.028959,-21.280001,,"",,,,,"D1 PROFILE",,,,
"82620900000034","Nodes",,21.000000,30.914247,"DDS demands","Known Flow",394673.477800,95108.005036,,0.000000,,,,,-6.610000,,,,,-5.910780,-6.610000,,"",,,,,"D1 PROFILE",,,,
"82620900000044","Nodes",,21.000000,29.834716,"DDS demands","Known Flow",394696.008019,95147.735110,,0.000000,,,,,-6.049999,,,,,-5.410018,-6.049999,,"",,,,,"D1 PROFILE",,,,
"82620900000020","Nodes",,21.000000,34.230231,"DDS demands","Known Flow",394197.517059,95541.356790,,0.000000,,,,,-5.229999,,,,,-4.676759,-5.229999,,"",,,,,"D1 PROFILE",,,,
"82620900000125","Nodes",,21.000000,23.505012,"Default Known Flow Node","Known Flow",394469.074145,96542.049383,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82620900008001","Nodes",,21.000000,22.001554,"Default Known Flow Node","Known Flow",394473.456687,96686.815161,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82620900000016","Nodes",,21.000000,34.719038,"DDS demands","Known Flow",394183.480094,95256.652598,,0.000000,,,,,-8.609999,,,,,-7.699215,-8.609999,,"",,,,,"D1 PROFILE",,,,
"82620900303802","Nodes",,21.000000,23.864353,"Default Known Flow Node","Known Flow",394473.074364,96491.047225,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82620900000123","Nodes",,21.000000,28.178023,"Default Known Flow Node","Known Flow",394489.897461,96187.846233,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82620900000124","Nodes",,21.000000,25.381639,"DDS demands","Known Flow",394489.347108,96355.413055,,0.000000,,,,,-4.909999,,,,,-4.390609,-4.909999,,"",,,,,"D1 PROFILE",,,,
