"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"82060900000002","Nodes","THE CROSS, CHURCH ROAD",21.000000,25.999999,"Default Known Pressure Node","Known Pressure",382458.625000,111316.632812,,419.999989,,,,,,,,63.095483,70.559413,,"",,,,,,,
"82060900000060","Nodes","60",21.000000,25.965579,"Default Known Flow Node","Known Flow",382457.093750,111315.601562,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000061","Nodes","61",21.000000,25.889874,"DDS demands","Known Flow",382452.500000,111333.898437,,0.000000,,,,,,-8.619999,,-7.708158,-8.619999,,"",,,,,,"D1 PROFILE",
"82060900000065","Nodes","65",21.000000,24.962470,"DDS demands","Known Flow",382385.812500,111387.000000,,0.000000,,-8.720000,,,,-6.399999,,-13.520574,-15.120000,,"",,"C2 PROFILE",,,,"D1 PROFILE",
"82060900000063","Nodes","63",21.000000,25.394356,"DDS demands","Known Flow",382691.500000,111204.601562,,0.000000,,,,,,-1.529999,,-1.368153,-1.529999,,"",,,,,,"D1 PROFILE",
"82060900000062","Nodes","62",21.000000,25.547707,"DDS demands","Known Flow",382584.312500,111274.898437,,0.000000,,,,,,-0.810000,,-0.724316,-0.810000,,"",,,,,,"D1 PROFILE",
"82060900000057","Nodes","57",21.000000,46.112522,"Default Known Flow Node","Known Flow",383178.812500,112483.101562,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000126","Nodes","-225588",21.000000,45.859211,"Default Known Flow Node","Known Flow",383194.625000,112419.500000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000058","Nodes","58",21.000000,44.592901,"DDS demands","Known Flow",383076.312500,112451.898437,,0.000000,,,,,,-16.620000,,-14.861901,-16.620000,,"",,,,,,"D1 PROFILE",
"82060900000059","Nodes","59",21.000000,45.736264,"DDS demands","Known Flow",383154.312500,112408.296875,,0.000000,,,,,,-5.570000,,-4.980793,-5.570000,,"",,,,,,"D1 PROFILE",
"82060900000129","Nodes","-225593",21.000000,39.072255,"Default Known Flow Node","Known Flow",383279.375000,112341.382812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000128","Nodes","-225592",21.000000,39.072255,"Default Known Flow Node","Known Flow",383276.750000,112341.000000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000046","Nodes","46",21.000000,37.941422,"DDS demands","Known Flow",383242.593750,112484.398437,,0.000000,,,,,,-12.930000,,-11.562238,-12.930000,,"",,,,,,"D1 PROFILE",
"82060900000045","Nodes","45",21.000000,39.790583,"Default Known Flow Node","Known Flow",383365.906250,112360.398437,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000043","Nodes","43",21.000000,41.388427,"DDS demands","Known Flow",383334.812500,112487.898437,,0.000000,,,,,,-20.040000,,-17.920126,-20.040000,,"",,,,,,"D1 PROFILE",
"82060900000047","Nodes","47",21.000000,39.581204,"DDS demands","Known Flow",383410.093750,112375.601562,,0.000000,,0.000000,,,,-18.309999,,-16.373129,-18.309999,,"",,"C2 PROFILE",,,,"D1 PROFILE",
"82060900000048","Nodes","48",21.000000,39.105785,"DDS demands","Known Flow",383435.593750,112297.000000,,0.000000,,,,,,-3.180000,,-2.843613,-3.180000,,"",,,,,,"D1 PROFILE",
"82060900000049","Nodes","49",21.000000,39.019911,"Default Known Flow Node","Known Flow",383461.593750,112174.398437,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000050","Nodes","50",21.000000,38.846753,"DDS demands","Known Flow",383532.906250,112292.601562,,0.000000,,,,,,-6.260000,,-5.597804,-6.260000,,"",,,,,,"D1 PROFILE",
"82060900000113","Nodes","113",21.000000,38.529447,"DDS demands","Known Flow",383890.906250,112144.500000,,0.000000,,,,,,-0.970000,,-0.867391,-0.970000,,"",,,,,,"D1 PROFILE",
"82060900000052","Nodes","52",21.000000,38.287877,"DDS demands","Known Flow",383679.906250,112292.398437,,0.000000,,,,,,-6.829999,,-6.107508,-6.829999,,"",,,,,,"D1 PROFILE",
"82060900000051","Nodes","51",21.000000,39.137224,"DDS demands","Known Flow",383510.093750,112443.500000,,0.000000,,,,,,-27.590000,,-24.671472,-27.590000,,"",,,,,,"D1 PROFILE",
"82060900000132","Nodes","-225609",21.000000,39.744014,"Default Known Flow Node","Known Flow",383499.125000,112464.000000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000041","Nodes","41",21.000000,43.446833,"Default Known Flow Node","Known Flow",383310.812500,112569.000000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000044","Nodes","44",21.000000,41.044249,"DDS demands","Known Flow",383395.312500,112504.601562,,0.000000,,,,,,-11.060000,,-9.890050,-11.060000,,"",,,,,,"D1 PROFILE",
"82060900000127","Nodes","-225589",21.000000,49.475791,"Default Known Flow Node","Known Flow",383212.375000,112595.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000012","Nodes","12",21.000000,48.083410,"DDS demands","Known Flow",383347.093750,112673.601562,,0.000000,,,,,,-13.499999,,-12.071941,-13.499999,,"",,,,,,"D1 PROFILE",
"82060900000055","Nodes","55",21.000000,44.475638,"Default Known Flow Node","Known Flow",383011.000000,112494.398437,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000125","Nodes","-225584",21.000000,49.973142,"Default Known Flow Node","Known Flow",383169.250000,112613.750000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000001","Nodes","GREENWAY LANE",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",383169.000000,112611.882812,,7150.000080,,,,,,,,352.572199,394.279998,,"",,,,,,,
"82060900000053","Nodes","53",21.000000,48.560489,"Default Known Flow Node","Known Flow",383170.812500,112602.296875,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000011","Nodes","11",21.000000,49.926001,"DDS demands","Known Flow",383178.312500,112615.898437,,0.000000,,,,,,-8.489999,,-7.591909,-8.489999,,"",,,,,,"D1 PROFILE",
"82060900000042","Nodes","42",21.000000,43.377081,"DDS demands","Known Flow",383262.093750,112554.101562,,0.000000,,,,,,-2.779999,,-2.485925,-2.779999,,"",,,,,,"D1 PROFILE",
"82060900000131","Nodes","-225601",21.000000,45.710472,"Default Known Flow Node","Known Flow",383383.500000,112595.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000130","Nodes","-225596",21.000000,47.631536,"Default Known Flow Node","Known Flow",383334.000000,112734.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000014","Nodes","14",21.000000,47.360816,"DDS demands","Known Flow",383320.500000,112905.898437,,0.000000,,,,,,-2.230000,,-1.994105,-2.230000,,"",,,,,,"D1 PROFILE",
"82060900000013","Nodes","13",21.000000,47.631540,"DDS demands","Known Flow",383334.093750,112730.898437,,0.000000,-9.359999,,,,,-0.379999,,-8.709682,-9.739999,,"","C1 PROFILE",,,,,"D1 PROFILE",
"82060900000015","Nodes","15",21.000000,47.079625,"DDS demands","Known Flow",383455.593750,112726.101562,,0.000000,,,,,,-4.559999,,-4.077633,-4.559999,,"",,,,,,"D1 PROFILE",
"82060900000016","Nodes","16",21.000000,47.002969,"DDS demands","Known Flow",383481.500000,112765.000000,,0.000000,,,,-3.079999,,-3.489999,,-5.875011,-6.569999,,"",,,,"C4 PROFILE",,"D1 PROFILE",
"82060900000018","Nodes","18",21.000000,46.874898,"DDS demands","Known Flow",383484.093750,112790.000000,,0.000000,,-5.700000,,,,-14.100000,,-17.705514,-19.799999,,"",,"C2 PROFILE",,,,"D1 PROFILE",
"82060900000098","Nodes","98",21.000000,46.673897,"DDS demands","Known Flow",383501.406250,112760.296875,,0.000000,,,,,,-8.800000,,-7.869117,-8.800000,,"",,,,,,"D1 PROFILE",
"82060900000019","Nodes","19",21.000000,46.993940,"DDS demands","Known Flow",383666.906250,112900.601562,,0.000000,,,-3.469999,,,-1.649999,,-4.578395,-5.119999,,"",,,"C3  PROFILE",,,"D1 PROFILE",
"82060900000017","Nodes","17",21.000000,46.617616,"DDS demands","Known Flow",383526.406250,112764.796875,,0.000000,-10.439999,,,,,,,-9.335634,-10.439999,,"","C1 PROFILE",,,,,,
