"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"82011100000439","Nodes","439",21.000000,39.647154,"DDS demands","Known Flow",386855.629753,123857.268576,,0.000000,,,,,,-2.850000,,,,,-2.548521,-2.850000,,"",,,,,,"D1 PROFILE",,,,
"82011100001004","Nodes","1004",21.000000,39.638681,"Default Known Flow Node","Known Flow",386866.996426,123880.685919,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011100000342","Nodes","342",21.000000,41.582158,"DDS demands","Known Flow",387037.871472,123842.560909,,0.000000,,,,,,-2.219999,,,,,-1.985163,-2.219999,,"",,,,,,"D1 PROFILE",,,,
"82011100000338","Nodes","338",21.000000,41.717417,"DDS demands","Known Flow",387041.871473,123806.685899,,0.000000,,,,,,-4.980000,,,,,-4.453205,-4.980000,,"",,,,,,"D1 PROFILE",,,,
"82011100010766","Nodes","-4904566",21.000000,41.658493,"Default Known Flow Node","Known Flow",386998.464912,123808.188153,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011100000336","Nodes","336",21.000000,41.976555,"Default Known Flow Node","Known Flow",387020.496468,123760.435886,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011100000440","Nodes","440",21.000000,39.638681,"Default Known Flow Node","Known Flow",386847.746421,123890.060922,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011100000134","Nodes","134",21.000000,37.552444,"DDS demands","Known Flow",387028.246470,123453.810803,,0.000000,,-0.029999,,,,-1.510000,,,,,-1.377095,-1.540000,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,
"82011100000351","Nodes","351",21.000000,37.301180,"Default Known Flow Node","Known Flow",387072.496482,123491.810813,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011100000287","Nodes","287",21.000000,36.322845,"DDS demands","Known Flow",386483.246321,123078.810701,,0.000000,,,-12.210000,,,-3.720000,,,,,-14.244892,-15.930000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,
