"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82017200004546","Nodes","4546",21.000000,38.003135,"DDS demands","Known Flow",463503.229037,86439.481822,,0.000000,,,,,,,-6.309999,,,,,,-5.642515,-6.309999,,"",,,,,,,"D1 PROFILE",,,,,
"82017200003114","Nodes","3114",21.000000,36.662228,"DDS demands","Known Flow",462456.682153,90568.657250,,0.000000,,,,,,,-12.000000,,,,,,-10.730614,-12.000000,,"",,,,,,,"D1 PROFILE",,,,,
"82017200003116","Nodes","3116",21.000000,35.402205,"DDS demands","Known Flow",462508.650174,90595.770822,,0.000000,,,,,,,-3.079999,,,,,,-2.754191,-3.079999,,"",,,,,,,"D1 PROFILE",,,,,
"82017200003117","Nodes","3117",21.000000,34.141677,"DDS demands","Known Flow",462526.123565,90663.721502,,0.000000,,,,,,,-6.030000,,,,,,-5.392134,-6.030000,,"",,,,,,,"D1 PROFILE",,,,,
"82017200003017","Nodes","3017",21.000000,39.198300,"Default Known Flow Node","Known Flow",464232.897009,88654.135670,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82017200003581","Nodes","3581",21.000000,39.286542,"Default Known Flow Node","Known Flow",464283.331629,88663.001899,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82017200003028","Nodes","3028",21.000000,31.768256,"DDS demands","Known Flow",462817.089988,91516.237774,,0.000000,-7.450000,,,,,,-1.409999,,,,,,-7.922770,-8.859999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"82017200003538","Nodes","3538",21.000000,31.614440,"Default Known Flow Node","Known Flow",463318.043911,89305.429715,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82017200003540","Nodes","3540",21.000000,30.741020,"DDS demands","Known Flow",463605.112307,89474.856557,,0.000000,,,-2.759999,,,,-5.899999,,,,,,-7.743927,-8.660000,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,
"82017200004538","Nodes","4538",21.000000,33.379269,"DDS demands","Known Flow",463913.373806,86725.273533,,0.000000,,-3.489999,,,,,-8.279999,,,,,,-10.524944,-11.769999,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,
