"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"82422900000011","Nodes",,21.000000,34.596823,"DDS demands","Known Flow",412717.500102,144058.699827,,0.000000,,,,-0.669999,,-0.599125,-0.669999,,"",,,,"D1 PROFILE",
"82422900000006","Nodes",,21.000000,35.167872,"DDS demands","Known Flow",412687.389452,143837.962350,,0.000000,,,,-6.360000,,-5.687226,-6.360000,,"",,,,"D1 PROFILE",
"82422900001060","Nodes",,21.000000,26.347377,"DDS demands","Known Flow",414004.885810,143257.975192,,0.000000,,,,-12.369999,,-11.061474,-12.369999,,"",,,,"D1 PROFILE",
"82422900001056","Nodes",,21.000000,29.362292,"DDS demands","Known Flow",413958.956798,143490.947255,,0.000000,,,,-7.940000,,-7.100090,-7.940000,,"",,,,"D1 PROFILE",
"82422900001059","Nodes",,21.000000,26.403894,"DDS demands","Known Flow",413877.808776,143302.360204,,0.000000,,,,-7.799999,,-6.974899,-7.799999,,"",,,,"D1 PROFILE",
"82422900001057","Nodes",,21.000000,26.814200,"DDS demands","Known Flow",413858.451771,143358.102219,,0.000000,,,,-4.900000,,-4.381668,-4.900000,,"",,,,"D1 PROFILE",
"82422900001058","Nodes",,21.000000,26.858522,"Default Known Flow Node","Known Flow",413835.309070,143377.074093,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"82422900001055","Nodes",,21.000000,30.090401,"DDS demands","Known Flow",413992.804807,143534.258267,,0.000000,,,,-5.550000,,-4.962909,-5.550000,,"",,,,"D1 PROFILE",
"82422900001049","Nodes",,21.000000,31.614952,"DDS demands","Known Flow",414107.369285,143527.635963,,0.000000,,,,-10.509999,,-9.398229,-10.509999,,"",,,,"D1 PROFILE",
"82422900021038","Nodes",,21.000000,44.023118,"Default Known Flow Node","Known Flow",414356.288752,143694.353795,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"82422900001054","Nodes",,21.000000,43.653353,"DDS demands","Known Flow",414294.874889,143698.338312,,0.000000,,,,-3.380000,,-3.022456,-3.380000,,"",,,,"D1 PROFILE",
"82422900001053","Nodes",,21.000000,39.144017,"DDS demands","Known Flow",414279.154885,143609.009287,,0.000000,,,,-2.720000,,-2.432272,-2.720000,,"",,,,"D1 PROFILE",
