"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"82000700002758","Nodes","-44723",21.000000,32.374590,"Default Known Flow Node","Known Flow",485046.717356,92420.467164,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700002757","Nodes","-44722",21.000000,32.364984,"Default Known Flow Node","Known Flow",485045.990237,92417.999393,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700000026","Nodes","26",21.000000,32.014191,"DDS demands","Known Flow",486295.398516,93656.571197,,0.000000,,,,,,-7.159999,,,,,,,-6.402599,-7.159999,,"",,,,,,"D1 PROFILE",,,,,,
"82000700008006","Nodes","Logger 5827,59, MANOR LANE",21.000000,31.542979,"Val Log Cath","Known Flow",486317.292605,93823.570351,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700000025","Nodes","25",21.000000,31.503479,"DDS demands","Known Flow",486335.452492,93899.064761,,0.000000,,,,,,-22.250000,,,,,,,-19.896348,-22.250000,,"",,,,,,"D1 PROFILE",,,,,,
"82000700001021","Nodes","1021",21.000000,41.973202,"Default Known Flow Node","Known Flow",485471.255257,93388.501622,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700001352","Nodes","1352",21.000000,42.051634,"DDS demands","Known Flow",485441.470249,93405.247626,,0.000000,-2.669999,,,,,-1.029999,,,,-9.720000,,,-12.000404,-13.420000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,"I2 PROFILE",,
"82000700001351","Nodes","1351",21.000000,41.897729,"DDS demands","Known Flow",485503.226266,93378.743619,,0.000000,,,,,,-6.979999,,,,,,,-6.241640,-6.979999,,"",,,,,,"D1 PROFILE",,,,,,
"82000700001019","Nodes","1019, Maximo Ref:351328",21.000000,42.077380,"Point Loads","Known Flow",485415.561242,93427.139632,,0.000000,,,,,,,,,,,-3.690000,,-3.299664,-3.690000,,"",,,,,,,,,,,"PL-AF PROFILE",
"82000700001020","Nodes","1020",21.000000,40.804840,"DDS demands","Known Flow",485319.537407,93434.520711,,0.000000,-15.999999,,,,,,,,,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,,,,,,,,,
"82000700001018","Nodes","1018",21.000000,42.148686,"DDS demands","Known Flow",485443.812250,93410.196628,,0.000000,-6.599999,,,,,-3.700000,,,,,,,-9.210444,-10.299999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,
"82000700000355","Nodes","355",21.000000,44.281295,"DDS demands","Known Flow",485499.834265,93509.592655,,0.000000,,,,,,-5.670000,,,,,,,-5.070216,-5.670000,,"",,,,,,"D1 PROFILE",,,,,,
"82000700001016","Nodes","1016",21.000000,45.267795,"Default Known Flow Node","Known Flow",485389.531197,93562.004061,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700001017","Nodes","1017",21.000000,45.267795,"Default Known Flow Node","Known Flow",485363.586228,93495.743651,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82000700000104","Nodes","104",21.000000,46.776954,"Default Known Flow Node","Known Flow",485243.642438,93615.797289,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
