"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82016400298808","Nodes","","21.000000","25.617310","Default Known Flow Node","Known Flow","418657.255076","96644.553508","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"82016400000234","Nodes","","21.000000","25.687520","DDS demands","Known Flow","418608.130063","96707.053525","","0.000000","","","-1.039999","","","","-0.929986","-1.039999","","","","","D1 PROFILE","","",""
"82016400000262","Nodes","","21.000000","59.330141","Default Known Flow Node","Known Flow","420158.402038","99943.919381","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"82016400000263","Nodes","","21.000000","58.943140","DDS demands","Known Flow","420268.505515","99921.054399","","0.000000","","","-5.919999","","","","-5.293770","-5.919999","","","","","D1 PROFILE","","",""
"82016400000258","Nodes","","21.000000","60.472756","DDS demands","Known Flow","420101.380469","100005.304422","","0.000000","","","-4.429999","","","","-3.961385","-4.429999","","","","","D1 PROFILE","","",""
"82016400040541","Nodes","","21.000000","60.648035","Default Known Flow Node","Known Flow","419977.130436","100058.679437","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"82016400000085","Nodes","","21.000000","33.872213","DDS demands","Known Flow","419003.130170","98303.928959","","0.000000","","","-8.339999","","","","-7.457777","-8.339999","","","","","D1 PROFILE","","",""
"82016400000071","Nodes","","21.000000","33.912140","DDS demands","Known Flow","418986.755166","98324.678965","","0.000000","","","-7.380000","","","","-6.599328","-7.380000","","","","","D1 PROFILE","","",""
"82016400000244","Nodes","","21.000000","34.690904","DDS demands","Known Flow","419000.880170","98478.304007","","0.000000","","","-8.749999","","","","-7.824406","-8.749999","","","","","D1 PROFILE","","",""
"82016400025181","Nodes","","21.000000","34.512215","Default Known Flow Node","Known Flow","418977.438327","98459.731134","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
