"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82010500001007","Nodes","1007",21.000000,27.332823,"DDS demands","Known Flow",459452.516177,83995.675066,,0.000000,,,-1.240000,,,,-7.060000,,,,,,,-7.422008,-8.300000,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82010500013266","Nodes","13266",21.000000,30.671321,"Default Known Flow Node","Known Flow",459483.766186,83930.675048,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013265","Nodes","13265",21.000000,30.671321,"Default Known Flow Node","Known Flow",459480.451304,83935.958141,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000039","Nodes","39",21.000000,33.674157,"DDS demands","Known Flow",459014.141058,83653.674973,,0.000000,,,,,,,-16.330000,,,,,,,-14.602578,-16.330000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000672","Nodes","672",21.000000,32.750248,"Default Known Flow Node","Known Flow",459044.641066,83715.424990,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000673","Nodes","673",21.000000,31.872054,"Default Known Flow Node","Known Flow",459117.516086,83731.924994,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000032","Nodes","32",21.000000,28.300391,"DDS demands","Known Flow",459113.516085,83532.924940,,0.000000,,,,,,,-22.219999,,,,,,,-19.869521,-22.219999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013254","Nodes","13254",21.000000,28.300391,"Default Known Flow Node","Known Flow",459113.141085,83530.299939,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000037","Nodes","37",21.000000,31.815019,"DDS demands","Known Flow",459121.640991,83731.905115,,0.000000,-0.399999,,,,,,-21.990000,,,,,,,-20.021539,-22.390000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82010500000035","Nodes","35",21.000000,31.540979,"DDS demands","Known Flow",459169.391100,83731.674994,,0.000000,,,,,,,-4.419999,,,,,,,-3.952443,-4.419999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013255","Nodes","13255",21.000000,28.950689,"Default Known Flow Node","Known Flow",459125.266088,83562.424948,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000036","Nodes","36",21.000000,31.181314,"DDS demands","Known Flow",459221.016114,83730.549994,,0.000000,,,,,,,-9.600000,,,,,,,-8.584492,-9.600000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000033","Nodes","33",21.000000,31.116816,"DDS demands","Known Flow",459171.016101,83662.549975,,0.000000,,,,,,,-21.770001,,,,,,,-19.467124,-21.770001,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000034","Nodes","34",21.000000,31.019184,"DDS demands","Known Flow",459172.516101,83577.299952,,0.000000,,,,,,,-4.060000,,,,,,,-3.630524,-4.060000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013260","Nodes","13260",21.000000,31.202712,"Default Known Flow Node","Known Flow",459291.516133,83725.924993,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
